"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_capacity_worker3_1G.csv 1",,,,"Date:","16 Dec 2025 20:33:02 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 20:33:02,,943860,5699064,31684,739364,,
16-12 20:33:03,0.499,0,98.969,0,0,943848,5699064,31692,739368,3044.349,3806.184,0,87.751
16-12 20:33:04,0.502,0.251,99.053,0,0,943848,5699064,31692,739368,3500.725,3949.099,0,0
16-12 20:33:05,0.500,0.250,98.996,0,0,943848,5699064,31692,739368,166.994,630.977,0,0
16-12 20:33:06,0.750,0.500,98.754,0,0,943848,5699064,31692,739368,449.020,773.034,0,0
16-12 20:33:07,0,0,99.506,0,0,943848,5699064,31692,739368,274.017,1155.072,0,4.000
16-12 20:33:08,1.749,2.249,92.968,0,0,949132,5669956,31692,762904,25607602.003,24358723.079,0,3.999
16-12 20:33:09,2.501,3.001,94.020,0,0,948528,5648800,31700,784084,22440515.412,21519081.753,0,48.010
16-12 20:33:10,30.222,6.993,61.193,0,0,989360,5561804,31700,828896,10043.620,6784.664,0,0
16-12 20:33:11,55.395,3.493,40.423,0,0,1038040,5513168,31700,828896,208.605,707.659,0,0
16-12 20:33:12,44.358,4.260,50.122,0,0,1095244,5455964,31700,828896,420.023,3126.617,0,0
16-12 20:33:13,51.249,3.750,44.499,0,0,1117572,5433604,31700,828928,1747.973,4804.927,0,0
16-12 20:33:14,58.232,5.998,33.490,0,0,1218608,5332552,31712,828932,1500.539,1586.512,0,255.921
16-12 20:33:15,68.299,3.753,26.519,0,0,1261196,5289964,31712,828932,5105.634,721.514,0,0
16-12 20:33:16,77.761,3.739,18.194,0,0,1266900,5284252,31712,828940,11156.689,8029.307,0,19.939
16-12 20:33:17,39.122,2.006,58.432,0,0,1300512,5250512,31712,829064,20821.830,141554.742,0,0
16-12 20:33:18,2.997,0.499,94.890,0,0,1304292,5246732,31712,829064,5501.647,5124.083,0,7.991
16-12 20:33:19,63.189,6.993,29.222,0.250,0,1383440,5167380,31720,829160,6879.381,15542.046,0,107.896
16-12 20:33:20,81.694,8.494,9.244,0,0,1438416,5111964,31720,829252,5325.361,10199.031,0,259.822
16-12 20:33:21,85.307,7.005,6.754,0,0,1485224,5065148,31720,829260,6314.185,10843.187,0,0
16-12 20:33:22,87.883,6.510,5.508,0,0,1546292,5003940,31720,829388,6224.413,9969.076,0,4.006
16-12 20:33:23,87.222,5.748,6.498,0,0,1568872,4981260,31720,829488,19258.783,12425.989,0,0
16-12 20:33:24,74.802,8.256,16.011,0,0,1611868,4937960,31732,829508,22811.735,17210.871,0,148.102
16-12 20:33:25,50.227,4.748,43.980,0,0,1683988,4865928,31732,829508,31661.736,42945.653,0,7.996
16-12 20:33:26,13.009,1.001,85.557,0,0,1693564,4856352,31732,829508,10158.823,16458.054,0,168.113
16-12 20:33:27,8.498,1.250,89.478,0,0,1714216,4835688,31732,829524,5951.532,13162.753,0,0
16-12 20:33:28,16.254,2.251,81.019,0,0,1726764,4823116,31732,829548,7062.615,15198.476,0,4.001
16-12 20:33:29,46.984,7.248,44.235,0,0,1746784,4803040,31740,829596,82083.837,97964.389,0,191.934
16-12 20:33:30,27.757,4.751,65.016,0,0,1763600,4786156,31740,829660,99066.871,105388.458,0,4.001
16-12 20:33:31,1.000,0,98.767,0,0,1763600,4786156,31740,829660,1227.216,6483.143,0,28.005
16-12 20:33:32,3.250,1.000,95.002,0,0,1763596,4786156,31740,829664,4813.080,6842.114,0,4.000
16-12 20:33:33,31.744,3.749,64.239,0,0,1785372,4764316,31740,829696,6676.810,15827.179,0,0
16-12 20:33:34,1.000,0,98.762,0,0,1785372,4764316,31740,829696,1161.145,6428.805,0,0
16-12 20:33:35,1.999,0.500,96.194,0,0,1785360,4764316,31752,829696,4786.228,6234.390,0,103.940
16-12 20:33:36,2.751,0.750,96.549,0,0,1785360,4764316,31752,829696,1054.532,5906.980,0,0
16-12 20:33:37,13.500,1.500,83.500,0,0,1791304,4758324,31752,829744,10307.059,50258.285,0,0
16-12 20:33:38,1.000,1.000,97.498,0,0,1517964,5032052,31752,829548,5637.891,6368.876,0,39.999
16-12 20:33:39,9.749,1.250,87.988,0,0,1330176,5220312,31752,829392,16467.743,44609.885,0,31.996
16-12 20:33:40,4.001,0.500,94.277,0,0,1318492,5231808,31752,829580,8711.495,193842.513,0,16.005
16-12 20:33:41,1.000,0.250,98.241,0,0,1315004,5235280,31764,829584,2133.807,10288.067,0,135.988
16-12 20:33:42,0.500,0.500,81.506,16.501,0,1315256,5235028,31764,829584,341.024,775.054,0,89606.235
16-12 20:33:43,0.500,0.250,98.997,0,0,1315256,5235028,31764,829584,273.993,1190.970,0,0
16-12 20:33:44,0.250,0,99.240,0,0,1315256,5235028,31764,829584,166.983,658.932,0,43.995
16-12 20:33:45,0.250,0,99.013,0,0,1315256,5235028,31764,829584,167.023,659.089,0,0
16-12 20:33:46,2.250,1.750,96.250,0,0,954276,5641924,31776,784612,2008.996,6323.987,0,303.999
16-12 20:33:47,1.250,0.750,97.248,0,0,959788,5681996,31776,740172,291408.204,230796.202,0,20.000
