"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_random100_fair.csv 1",,,,"Date:","17 Dec 2025 16:50:44 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
17-12 16:50:44,,959816,4591884,40340,1815968,,
17-12 16:50:45,0.500,0,99.223,0,0,959812,4591884,40340,1815972,3153.138,4435.788,0,0
17-12 16:50:46,0.500,0,99.031,0,0,959812,4591884,40340,1815972,3167.988,3438.073,0,0
17-12 16:50:47,0.250,0.250,98.953,0,0,959812,4591884,40340,1815972,1216.423,1492.292,0,0
17-12 16:50:48,0.250,0.250,99.048,0,0,959812,4591884,40340,1815972,316.153,1069.518,0,16.008
17-12 16:50:49,0.750,0,98.748,0,0,959812,4591884,40348,1815964,166.997,502.992,0,79.999
17-12 16:50:50,0.250,0.250,99.504,0,0,959804,4591884,40348,1815972,167.007,503.020,0,4.000
17-12 16:50:51,1.999,2.749,93.451,0,0,943816,4589864,40348,1833860,19560940.535,18543631.245,0,0
17-12 16:50:52,4.002,3.251,89.787,0,0,941544,4564492,40348,1860680,28487168.457,27434494.406,0,0
17-12 16:50:53,0.250,0.250,99.227,0,0,941544,4564492,40348,1860680,208.951,552.870,0,0
17-12 16:50:54,0.500,0.250,99.011,0,0,941544,4564492,40348,1860680,274.031,1027.117,0,0
17-12 16:50:55,0.500,0.250,99.211,0,0,941532,4564492,40360,1860680,166.934,502.801,0,99.960
17-12 16:50:56,0.500,0,98.768,0,0,941532,4564492,40360,1860680,167.030,503.090,0,4.001
17-12 16:50:57,0.250,0,99.513,0,0,941532,4564492,40360,1860680,274.036,1027.135,0,0
17-12 16:50:58,0.750,0.500,98.954,0,0,941532,4564492,40360,1860680,208.903,544.748,0,0
17-12 16:50:59,0.250,0,99.295,0,0,941532,4564492,40360,1860680,167.075,503.226,0,0
17-12 16:51:00,0.500,0,98.488,0,0,941532,4564492,40360,1860680,273.966,1026.873,0,0
17-12 16:51:01,3.495,1.997,93.117,0,0,946548,4545164,40368,1874624,20193.065,10416707.608,0,15.977
17-12 16:51:02,46.037,11.009,41.033,0,0,1016944,4442916,40368,1905560,48947.127,35443405.679,0,4.003
17-12 16:51:03,76.472,9.715,8.967,0,0,1072596,4387224,40368,1905584,374.638,2301.632,0,19.928
17-12 16:51:04,87.610,7.009,4.506,0,0,1096172,4363548,40368,1905596,347.436,4093.132,0,0
17-12 16:51:05,76.005,6.750,15.001,0,0,1121368,4338348,40368,1905600,1331.083,4180.262,0,0
17-12 16:51:06,91.414,5.760,1.753,0,0,1186216,4273360,40380,1905724,15926.610,7551.565,0,240.432
17-12 16:51:07,85.405,5.494,7.991,0,0,1207516,4251940,40380,1905844,14563.785,8693.321,0,0
17-12 16:51:08,75.140,8.516,14.527,0,0,1257576,4201792,40380,1905844,20323.926,16346.504,0,48.090
17-12 16:51:09,75.651,4.993,18.226,0,0,1324856,4134508,40380,1905848,15308.042,16263.795,0,11.984
17-12 16:51:10,14.280,1.002,83.678,0,0,1333676,4125688,40380,1905848,334.711,991.106,0,0
17-12 16:51:11,6.247,0.750,92.703,0,0,1336432,4122916,40380,1905864,1010.487,2202.883,0,0
17-12 16:51:12,17.002,1.750,80.259,0.250,0,1343188,4116124,40392,1905888,2109.224,4349.461,0,84.009
