"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_random100_fifo.csv 1",,,,"Date:","18 Dec 2025 17:23:06 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
18-12 17:23:06,,666160,6052824,31340,664552,,
18-12 17:23:07,0.750,0.500,98.777,0,0,665964,6052824,31340,664676,3364.924,8665.379,0,0
18-12 17:23:08,0.250,0,99.751,0,0,665964,6052824,31340,664676,2609.037,3013.043,0,0
18-12 17:23:09,0.250,0,99.493,0,0,665964,6052824,31340,664676,166.989,622.957,0,0
18-12 17:23:10,2.989,0.249,95.898,0,0,666600,6051844,31340,665020,767172.045,2907.317,0,0
18-12 17:23:11,20.754,5.436,72.393,0,0,664932,6008012,31348,709284,46470368.646,125873.658,0,106.737
18-12 17:23:12,0.508,0.254,98.786,0,0,665940,6007004,31348,709284,457.107,2098.628,0,4.063
18-12 17:23:13,0.750,0,98.998,0,0,665940,6007004,31348,709284,1689.971,2250.961,0,0
18-12 17:23:14,0,0,99.253,0,0,666180,6006752,31356,709284,309.008,807.021,0,76.002
18-12 17:23:15,0.250,0.250,99.002,0,0,666180,6006752,31356,709284,233.005,677.015,0,20.000
18-12 17:23:16,0.750,0,99.750,0,0,666180,6006752,31356,709284,274.001,1147.004,0,0
18-12 17:23:17,0.250,0.250,99.000,0,0,662924,6010008,31356,709284,482.999,880.998,0,4.000
18-12 17:23:18,0.250,0.250,99.252,0,0,663400,6009532,31356,709284,865.016,1238.023,0,0
18-12 17:23:19,0.500,0,98.987,0,0,663400,6009532,31356,709284,273.964,1146.851,0,7.999
18-12 17:23:20,0.250,0,99.008,0,0,663392,6009532,31364,709284,167.013,623.050,0,60.005
18-12 17:23:21,0.750,0,98.998,0,0,663268,6009532,31364,709404,125392.843,2551.956,0,0
18-12 17:23:22,0.250,0,99.255,0,0,663268,6009532,31364,709404,454.024,1263.067,0,0
18-12 17:23:23,0,0.250,99.493,0,0,663724,6009044,31364,709436,208.985,664.953,0,4.000
18-12 17:23:24,0.500,0.250,99.249,0,0,663724,6009044,31364,709436,166.998,622.994,0,0
18-12 17:23:25,0.500,0.250,99.250,0,0,663724,6009044,31364,709436,273.999,1146.995,0,0
18-12 17:23:26,0,0,99.004,0,0,663716,6009044,31372,709436,167.007,623.025,0,64.003
18-12 17:23:27,0.250,0,99.250,0,0,663716,6009044,31372,709436,227.000,1786.997,0,0
18-12 17:23:28,0.250,0,99.499,0,0,663716,6009044,31372,709436,509.996,1262.990,0,40.000
18-12 17:23:29,0.250,0,98.988,0,0,663716,6009044,31372,709436,166.980,1094.870,0,4.000
18-12 17:23:30,0.500,0.250,99.514,0,0,663716,6009044,31372,709436,1084.151,1484.207,0,0
18-12 17:23:31,0.250,0,99.250,0.250,0,663708,6009044,31380,709436,273.999,1154.995,0,36.000
18-12 17:23:32,0,0,98.994,0,0,663708,6009044,31380,709436,166.990,622.964,0,0
18-12 17:23:33,0.750,0,99.506,0,0,663708,6009044,31380,709436,209.014,665.043,0,0
18-12 17:23:34,0.500,0.250,99.250,0,0,663708,6009044,31380,709436,334.001,1209.005,0,0
18-12 17:23:35,0.500,0.250,98.746,0,0,663692,6009044,31380,709452,3447.844,2804.873,0,4.000
18-12 17:23:36,0.250,0.250,99.255,0,0,663692,6009044,31380,709452,353.016,731.034,0,0
18-12 17:23:37,0.250,0.250,99.002,0,0,663680,6009044,31388,709456,340.005,1201.019,0,256.004
18-12 17:23:38,0.500,0,99.245,0,0,663680,6009044,31388,709456,274.985,718.961,0,0
18-12 17:23:39,0,0,99.505,0,0,663680,6009044,31388,709456,167.008,623.031,0,0
18-12 17:23:40,0.250,0,98.990,0,0,663680,6009044,31388,709456,315.969,1188.882,0,0
18-12 17:23:41,0.250,0,99.509,0,0,663680,6009044,31388,709456,287.026,677.060,0,4.000
18-12 17:23:42,0,0.250,94.750,4.250,0,663664,6009044,31404,709456,167.000,623.002,0,44624.132
18-12 17:23:43,0,0,98.999,0,0,663664,6009044,31404,709456,315.996,1196.984,0,0
18-12 17:23:44,0.750,0,99.503,0,0,663664,6009044,31404,709456,291.008,683.019,0,0
18-12 17:23:45,0.250,0.250,98.996,0,0,663664,6009044,31404,709456,240.989,704.968,0,203.991
18-12 17:23:46,0.750,0.250,98.744,0,0,664924,6007784,31404,709456,405.976,1329.923,0,0
18-12 17:23:47,0,0.250,99.261,0,0,664924,6007784,31404,709456,167.018,631.067,0,4.000
