"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_capacity_worker1_4G.csv 1",,,,"Date:","16 Dec 2025 20:10:19 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 20:10:19,,643628,6226624,28856,518772,,
16-12 20:10:20,0.750,0,98.530,0,0,643552,6226624,28856,518816,3738.156,8207.539,0,0
16-12 20:10:21,0.250,0,99.254,0,0,643552,6226624,28856,518816,1427.055,1639.064,0,0
16-12 20:10:22,0.500,0,98.755,0,0,643552,6226624,28856,518816,315.014,1189.054,0,0
16-12 20:10:23,0.500,0.250,99.247,0,0,643552,6226624,28856,518816,226.994,684.983,0,0
16-12 20:10:24,0,0.750,99.000,0,0,643552,6226624,28856,518816,227.000,623.000,0,0
16-12 20:10:25,3.499,0,95.733,0,0,644560,6225616,28864,518808,1155.795,1867.669,0,39.993
16-12 20:10:26,26.749,8.250,63.499,0,0,638456,6185868,28864,563408,47923161.022,45888301.293,0,0
16-12 20:10:27,1.732,0.247,97.469,0,0,639304,6184888,28864,563532,109165.781,106429.710,0,0
16-12 20:10:28,0.505,0.253,99.304,0,0,639304,6184888,28864,563532,275.928,1167.386,0,84.901
16-12 20:10:29,0.500,0,99.264,0,0,639304,6184888,28864,563532,167.023,631.087,0,0
16-12 20:10:30,0.250,0,98.745,0,0,640812,6183380,28864,563532,1320.933,2181.889,0,0
16-12 20:10:31,1.250,0.500,98.489,0,0,640804,6183380,28872,563532,584.933,2446.719,0,59.993
16-12 20:10:32,0.500,0.500,98.763,0,0,639948,6184236,28872,563532,1529.200,2194.287,0,0
16-12 20:10:33,0.750,0.250,99.007,0,0,637720,6186464,28872,563532,607.043,1447.103,0,0
16-12 20:10:34,0.500,0,97.993,0,0,639960,6184224,28872,563532,1288.908,2581.816,0,0
16-12 20:10:35,0.500,0,99.001,0,0,637840,6186344,28872,563532,495.007,1255.018,0,20.000
16-12 20:10:36,0.500,0,98.992,0.250,0,638812,6185364,28880,563532,125094.430,2415.815,0,31.998
16-12 20:10:37,1.000,0.250,98.500,0,0,638688,6185364,28880,563652,417.001,1279.002,0,8.000
16-12 20:10:38,7.250,1.000,91.256,0,0,659100,6164952,28880,563652,3661.250,1427.097,76.005,4.000
16-12 20:10:39,34.001,2.750,62.002,0,0,692656,6131184,28880,563864,657.017,1418.036,132.003,0
16-12 20:10:40,66.941,7.993,24.478,0,0,711040,6066640,28880,608464,6339.383,5177.413,0,12892.578
16-12 20:10:41,51.019,4.977,41.562,0,0,775292,6002184,28920,608656,584.352,9573.617,0,258.827
16-12 20:10:42,60.284,4.019,35.166,0,0,795792,5981520,28920,608656,288.358,2997.118,0,0
16-12 20:10:43,55.279,4.252,37.270,2.001,0,829216,5941452,28920,615300,1760.931,11226.937,6523.450,21535.388
16-12 20:10:44,38.451,3.995,56.678,0,0,860268,5910244,28924,615296,3809.143,5599.860,7.990,15356.421
16-12 20:10:45,69.020,6.752,21.756,0.500,0,932156,5838240,28928,615376,12443.652,11989.519,8.002,9958.923
16-12 20:10:46,78.023,5.001,15.755,0.500,0,1008972,5750796,28944,625952,9157.718,5788.718,10583.142,22562.698
16-12 20:10:47,55.025,5.753,38.268,0,0,1168244,5580724,28944,636704,5769.645,1373.630,10756.931,0
16-12 20:10:48,42.763,4.501,52.515,0,0,1290756,5445904,28944,648996,4845.423,8596.525,12291.610,4.001
16-12 20:10:49,68.448,3.248,25.980,0.749,0,1374508,5353924,28944,657188,404.694,1847.604,8185.816,8093.885
16-12 20:10:50,31.769,5.003,63.038,0,0,1480292,5233720,28944,671592,472.283,2858.711,14412.624,0
16-12 20:10:51,49.994,6.499,42.745,0,0,1681124,5020568,28944,683880,166.979,666.917,12286.470,7.999
16-12 20:10:52,65.505,2.250,31.253,0,0,1718804,4976720,28952,690024,393.033,1245.104,6144.515,88.007
16-12 20:10:53,35.746,3.750,59.993,0,0,1773656,4903388,28952,708456,339.963,2592.714,18429.969,0
16-12 20:10:54,37.562,3.234,57.961,0,0,1844496,4820228,28952,720744,207.961,705.476,12226.930,0
16-12 20:10:55,92.950,5.527,1.507,0,0,1999696,4662980,28952,722792,348.688,1251.056,2057.963,4.019
16-12 20:10:56,47.276,2.751,50.027,0,0,2048520,4603760,28952,733156,406.220,2818.528,10365.619,0
16-12 20:10:57,44.219,2.498,52.213,0,0,2093324,4558932,28960,733172,226.839,720.488,0,19.986
16-12 20:10:58,40.261,6.002,53.765,0,0,2246844,4405212,28960,733172,273.076,1191.334,0,4.001
16-12 20:10:59,94.502,4.750,0,0,0,2400060,4251996,28960,733172,389.009,2515.055,0,0
16-12 20:11:00,96.765,1.000,2.250,0,0,2401068,4250988,28960,733172,167.026,667.105,0,0
