"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fair_worker1_4G.csv 1",,,,"Date:","17 Dec 2025 16:33:51 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
17-12 16:33:51,,888908,4788940,38828,1692456,,
17-12 16:33:52,0.250,0.500,98.759,0,0,888904,4788940,38828,1692460,2957.268,3831.348,0,0
17-12 16:33:53,0.250,0,99.003,0,0,888904,4788940,38828,1692460,1007.028,1277.036,0,0
17-12 16:33:54,0.500,0,99.237,0,0,888896,4788940,38836,1692460,273.963,1026.861,0,39.995
17-12 16:33:55,0.250,0.500,99.011,0,0,888896,4788940,38836,1692460,167.019,503.057,0,4.000
17-12 16:33:56,0.750,0,99.248,0,0,888896,4788940,38836,1692460,208.997,544.991,0,0
17-12 16:33:57,0.500,0.999,97.161,0,0,888444,4783200,38836,1698652,6899470.581,20507.166,0,3.996
17-12 16:33:58,5.005,2.753,90.084,0,0,887640,4744420,38836,1737168,41011591.600,215230.675,0,0
17-12 16:33:59,1.000,0.500,97.495,0,0,888280,4743708,38836,1737176,61036.800,45725085.634,0,0
17-12 16:34:00,0.500,0.500,99.005,0,0,888272,4743708,38844,1737176,274.014,1027.051,0,60.003
17-12 16:34:01,0.500,0.250,98.956,0,0,888272,4743708,38844,1737176,274.879,606.733,0,0
17-12 16:34:02,0.250,0,99.294,0,0,888272,4743708,38844,1737176,479.214,677.303,0,0
17-12 16:34:03,0.750,0.250,98.495,0,0,888272,4743708,38844,1737176,273.987,1026.951,0,4.000
17-12 16:34:04,0.250,0.500,99.007,0,0,888240,4743708,38844,1737208,167.012,503.036,0,0
17-12 16:34:05,0,0,98.997,0,0,888240,4743708,38844,1737208,240.992,576.980,0,0
17-12 16:34:06,0.500,0.250,99.256,0,0,888232,4743708,38852,1737208,316.018,1143.064,0,20.001
17-12 16:34:07,6.248,2.999,89.714,0,0,889616,4702424,38852,1776080,6583.376,3978.415,0,0
17-12 16:34:08,41.708,6.993,49.700,0,0,961444,4624408,38852,1782004,2708.267,102395.684,0,0
17-12 16:34:09,56.797,3.753,38.282,0,0,979256,4606556,38852,1782004,274.228,1071.891,0,4.003
17-12 16:34:10,56.185,3.995,38.955,0,0,1004104,4581608,38852,1782104,1370.411,5296.857,0,51.940
17-12 16:34:11,41.784,4.504,52.543,0,0,1047820,4537760,38852,1782124,2286.852,6121.958,0,0
17-12 16:34:12,52.712,4.747,40.721,0,0,1097620,4487876,38864,1782172,2938.902,6189.581,0,219.843
17-12 16:34:13,29.046,2.003,67.857,0,0,1131128,4454360,38864,1782180,19972.580,10863.176,0,0
17-12 16:34:14,6.750,0.750,91.254,0.500,0,1130456,4450832,38868,1786360,13679.669,263689.895,4180.204,0
17-12 16:34:15,0.500,0.500,98.734,0,0,1128152,4450832,38868,1788664,2457.611,1094395.659,2303.635,11.998
17-12 16:34:16,0.500,0.250,98.756,0,0,1127852,4449068,38868,1790712,4151.259,1997789.680,2048.128,0
17-12 16:34:17,5.000,1.000,93.258,0,0,1125832,4449068,38876,1792760,4930.414,2190342.726,2048.172,80.007
17-12 16:34:18,0.750,0.500,98.499,0,0,1125548,4447304,38876,1794808,7305.961,3504289.333,2047.989,0
17-12 16:34:19,0.750,0.250,98.476,0,0,1126844,4439492,38876,1801324,12805.820,6499186.031,6654.347,3.999
17-12 16:34:20,1.000,0.500,97.260,0,0,1125144,4426668,38876,1815800,26130.567,13272717.686,14337.408,20.002
17-12 16:34:21,0.750,0.250,98.253,0,0,1122264,4421340,38876,1823992,16744.533,8380019.677,8192.261,4.000
17-12 16:34:22,0.250,0.499,98.383,0,0,1117896,4419560,38876,1830136,13285.139,6677110.465,6204.593,0
17-12 16:34:23,1.251,0.751,97.602,0,0,1113688,4413436,38884,1840444,23368.485,11940387.995,10250.741,20.021
17-12 16:34:24,0.500,0.500,97.767,0,0,1111780,4403040,38884,1852732,24314.122,12314842.760,12290.084,0
17-12 16:34:25,0.750,0.250,99.001,0,0,1111704,4403116,38884,1852732,287.004,1831.027,0,0
