"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu02",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fifo_w02.csv.csv 1",,,,"Date:","15 Dec 2025 16:54:17 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 16:54:17,,965436,4232464,53368,2113460,,
15-12 16:54:18,0.500,0,99.019,0,0,965432,4232464,53368,2113464,3497.687,4586.901,0,0
15-12 16:54:19,0,0.250,99.006,0,0,965432,4232464,53368,2113464,2843.179,5732.360,0,0
15-12 16:54:20,0.500,0.250,99.216,0,0,965432,4232464,53368,2113464,332.886,1223.582,0,0
15-12 16:54:21,0.250,0,99.275,0,0,965432,4232464,53368,2113464,381.095,798.200,0,0
15-12 16:54:22,0.250,0.250,99.490,0,0,965432,4232464,53368,2113464,208.979,689.930,0,31.997
15-12 16:54:23,0,0,99.008,0,0,965424,4232464,53376,2113464,273.022,1178.097,0,48.004
15-12 16:54:24,0,0.250,99.503,0,0,965424,4232464,53376,2113464,167.006,656.022,0,0
15-12 16:54:25,0.250,0,98.998,0,0,965424,4232464,53376,2113464,166.996,647.985,0,0
15-12 16:54:26,0.250,0.250,99.476,0,0,965424,4232464,53376,2113464,392.906,1277.694,0,0
15-12 16:54:27,0.250,0,99.513,0,0,965424,4232464,53376,2113464,269.035,690.089,0,0
15-12 16:54:28,0,0.250,98.995,0,0,965424,4232464,53376,2113464,226.988,701.963,0,0
15-12 16:54:29,3.242,3.242,90.026,0.249,0,968064,4202812,53384,2139952,28622305.984,76620.233,0,15.960
15-12 16:54:30,2.757,3.259,91.991,0,0,968100,4183916,53384,2158180,19242609.988,52634.173,0,24.063
15-12 16:54:31,0.250,0,99.254,0,0,968100,4183916,53384,2158180,167.006,656.024,0,0
15-12 16:54:32,0.500,0.250,98.502,0,0,969608,4182408,53384,2158180,1879.045,4095.098,0,88.002
15-12 16:54:33,0.500,0.250,98.980,0,0,969608,4182408,53384,2158180,730.853,1177.763,0,0
15-12 16:54:34,0,0.250,99.244,0.250,0,969852,4182156,53392,2158180,398.976,713.957,0,119.993
15-12 16:54:35,0.250,0.250,98.773,0,0,971360,4180648,53392,2158180,1723.409,3259.774,0,4.001
15-12 16:54:36,10.978,3.493,84.830,0,0,995952,4156064,53392,2158208,1008.975,2578.824,23.952,0
15-12 16:54:37,4.258,0.250,94.669,0,0,997556,4154048,53392,2158620,1779.175,10004.853,468.837,4.007
15-12 16:54:38,0.500,0.250,98.518,0,0,997780,4153824,53392,2158620,125352.329,5392.003,0,0
15-12 16:54:39,0,0.250,98.999,0.250,0,993384,4158100,53392,2158740,298.997,921.991,0,319.997
15-12 16:54:40,16.659,7.211,75.090,0,0,993748,4111568,53404,2203488,6731.204,3438.205,0,358.043
15-12 16:54:41,52.574,7.010,36.551,0,0,1021200,4084100,53404,2203524,273.383,1289.808,0,12.017
15-12 16:54:42,62.538,4.983,28.404,0,0,1042364,4062932,53404,2203528,268.092,1957.369,0,7.973
15-12 16:54:43,64.420,6.517,27.824,0,0,1051328,4053876,53404,2203536,287.761,3040.039,0,0
15-12 16:54:44,55.743,4.749,38.246,0,0,1070480,4034724,53404,2203536,722.916,1642.808,0,0
15-12 16:54:45,72.243,4.013,20.569,0,0,1078976,4026212,53416,2203536,804.702,1632.482,0,180.606
15-12 16:54:46,60.252,5.679,31.854,0,0,1095740,4009328,53416,2203656,5185.592,957.112,0,0
15-12 16:54:47,47.515,5.813,44.735,0,0,1127644,3977376,53416,2203656,16261.196,7827.817,0,4.044
15-12 16:54:48,57.252,6.500,34.001,0,0,1136164,3968808,53416,2203704,11627.348,19544.585,0,8.000
15-12 16:54:49,66.554,7.006,23.519,0,0,1169428,3935544,53416,2203704,227.183,1853.496,0,0
15-12 16:54:50,79.169,9.241,11.238,0,0,1193080,3911856,53428,2203712,1727.230,2279.663,0,283.709
15-12 16:54:51,84.222,6.229,8.223,0,0,1217968,3886964,53428,2203716,1223.961,1019.635,0,0
15-12 16:54:52,79.114,7.260,12.518,0,0,1256776,3848156,53428,2203716,209.300,727.043,0,0
15-12 16:54:53,82.965,6.266,10.026,0,0,1286512,3818420,53428,2203716,447.158,3002.779,0,8.021
15-12 16:54:54,74.125,5.970,18.158,0,0,1341448,3763484,53428,2203716,225.859,742.249,0,0
15-12 16:54:55,59.999,10.042,28.870,0,0,1448044,3656888,53428,2203716,318.321,867.599,0,8.033
15-12 16:54:56,60.085,4.256,34.299,0,0,1476760,3628160,53436,2203720,446.635,3216.577,0,68.097
15-12 16:54:57,36.723,8.743,52.461,0,0,1643328,3461588,53436,2203724,208.845,733.454,0,0
15-12 16:54:58,80.441,5.996,12.990,0,0,1664988,3439928,53436,2203724,166.877,683.496,0,0
15-12 16:54:59,48.113,7.016,44.354,0,0,1806108,3298808,53436,2203724,447.048,3139.363,0,8.019
15-12 16:55:00,37.665,14.966,44.400,0,0,1883712,3221176,53436,2203736,166.625,690.446,0,0
15-12 16:55:01,37.332,25.556,33.323,1.002,0,1887844,3216952,53444,2203760,413.911,1896.175,0,44906.885
15-12 16:55:02,69.375,17.718,11.479,0,0,2030764,3074068,53444,2203724,913.353,14342.136,0,7.986
15-12 16:55:03,78.828,3.754,17.517,0,0,2043364,3061468,53444,2203724,460.456,5314.261,0,0
15-12 16:55:04,48.008,6.751,44.508,0,0,2109628,2995204,53444,2203724,707.122,10389.786,0,0
15-12 16:55:05,35.983,6.497,54.225,1.499,0,2192788,2912044,53444,2203724,692.679,8791.932,0,17140.069
15-12 16:55:06,34.764,4.752,59.273,0.250,0,2218984,2885836,53456,2203724,700.273,10635.143,0,192.075
15-12 16:55:07,75.283,13.006,11.255,0,0,2367128,2737688,53456,2203728,209.093,734.325,0,0
15-12 16:55:08,88.601,9.734,1.997,0,0,2404924,2699888,53456,2203732,512.139,6467.124,0,0
15-12 16:55:09,51.084,1.753,45.324,0,0,2404924,2699888,53456,2203732,340.559,2615.296,0,0
15-12 16:55:10,53.566,8.928,35.711,0.248,0,2402388,2702412,53456,2203748,165.657,678.501,0,27933.589
15-12 16:55:11,65.274,16.129,17.894,0,0,2419740,2685132,53456,2203744,275.208,1223.817,0,12.097
15-12 16:55:12,73.967,19.991,3.748,0,0,2649300,2455560,53468,2203744,568.746,8924.022,0,223.900
15-12 16:55:13,90.977,7.248,2.249,0,0,2690344,2414516,53468,2203744,504.871,873.777,0,0
15-12 16:55:14,97.698,2.249,0,0,0,2698632,2406228,53468,2203744,1090.417,12625.245,0,0
15-12 16:55:15,32.282,1.251,65.065,0,0,2698632,2406228,53468,2203744,340.341,2558.563,0,0
15-12 16:55:16,33.253,2.250,62.505,0,0,2699120,2405724,53468,2203760,167.015,1318.115,0,0
