"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu04",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fifo_w04.csv 1",,,,"Date:","15 Dec 2025 16:54:20 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 16:54:20,,251668,6295520,43912,808516,,
15-12 16:54:21,0.750,0,98.766,0,0,251664,6295520,43912,808520,3516.563,7663.226,0,0
15-12 16:54:22,0,0,99.255,0,0,251656,6295520,43920,808520,3240.155,3452.166,0,68.003
15-12 16:54:23,0.250,0.500,99.498,0,0,251656,6295520,43920,808520,359.991,579.986,0,0
15-12 16:54:24,0.250,0.250,98.998,0,0,251656,6295520,43920,808520,179.996,391.991,0,0
15-12 16:54:25,0.250,0.250,99.004,0,0,251656,6295520,43920,808520,192.007,470.018,0,0
15-12 16:54:26,0.250,0,99.745,0,0,251656,6295520,43920,808520,119.993,391.978,0,4.000
15-12 16:54:27,0.250,0,99.251,0,0,251648,6295520,43928,808520,60.001,346.005,0,32.000
15-12 16:54:28,0.250,0,99.001,0,0,251648,6295520,43928,808520,60.001,346.004,0,0
15-12 16:54:29,0,0,99.507,0,0,251648,6295520,43928,808520,300.022,500.037,0,0
15-12 16:54:30,0.500,0,99.239,0,0,251648,6295520,43928,808520,251.971,469.947,0,4.000
15-12 16:54:31,0,0,99.256,0,0,251648,6295520,43928,808520,60.004,346.021,0,0
15-12 16:54:32,0,0,99.507,0,0,251648,6295520,43928,808520,60.004,338.023,0,4.000
15-12 16:54:33,0,0,98.997,0,0,251640,6295520,43936,808520,59.998,345.989,0,43.999
15-12 16:54:34,0.750,0,99.500,0,0,251640,6295520,43936,808520,60.000,345.999,0,0
15-12 16:54:35,0,0.250,99.254,0,0,251640,6295520,43936,808520,102.004,380.013,0,0
15-12 16:54:36,0.250,0,99.499,0,0,251640,6295520,43936,808520,59.999,337.996,0,0
15-12 16:54:37,0,0,99.251,0,0,251640,6295520,43936,808520,60.001,338.005,0,0
15-12 16:54:38,0.500,0.250,99.247,0,0,251632,6295520,43944,808520,59.998,337.990,0,16.000
15-12 16:54:39,0.500,0,99.243,0,0,251632,6295520,43944,808520,1015.925,1253.907,0,0
15-12 16:54:40,0.250,0,99.254,0,0,251632,6295520,43944,808520,162.007,434.019,0,0
15-12 16:54:41,0.500,0,99.503,0,0,251632,6295520,43944,808520,60.002,338.009,0,0
15-12 16:54:42,0.250,0.250,98.999,0,0,251632,6295520,43944,808520,60.000,337.998,0,0
15-12 16:54:43,0,0.250,99.249,0,0,251632,6295520,43944,808520,59.999,337.997,0,0
15-12 16:54:44,0.250,0,99.744,0,0,251624,6295520,43952,808520,59.997,337.981,0,19.999
15-12 16:54:45,0.500,0,99.004,0,0,251624,6295520,43952,808520,102.005,388.017,0,0
15-12 16:54:46,0,0,99.246,0,0,251624,6295520,43952,808520,59.998,337.988,0,0
15-12 16:54:47,0.500,0,99.249,0,0,251624,6295520,43952,808520,60.000,337.998,0,0
15-12 16:54:48,0,0,99.254,0,0,251624,6295520,43952,808520,120.005,1330.060,0,0
15-12 16:54:49,0.500,0,99.494,0,0,251624,6295520,43952,808520,149.990,427.972,0,0
15-12 16:54:50,0,0.250,99.256,0,0,251616,6295520,43960,808520,102.006,1014.060,0,16.001
15-12 16:54:51,0.250,0,99.000,0,0,251616,6295520,43960,808520,60.000,346.000,0,0
15-12 16:54:52,0.500,0.250,99.500,0,0,251616,6295520,43960,808520,60.000,338.001,0,64.000
15-12 16:54:53,0,0.250,98.996,0,0,251616,6295520,43960,808520,119.995,399.983,0,0
15-12 16:54:54,0.250,0.250,99.754,0,0,251616,6295520,43960,808520,126.005,392.014,0,0
15-12 16:54:55,0.500,0,99.249,0,0,251616,6295520,43960,808520,59.999,337.995,0,0
15-12 16:54:56,0.500,0,98.998,0.250,0,251608,6295520,43968,808520,101.998,379.991,0,16.000
15-12 16:54:57,0,0,99.252,0,0,251608,6295520,43968,808520,60.001,346.008,0,0
15-12 16:54:58,0.250,0,99.496,0,0,251608,6295520,43968,808520,59.998,337.987,0,0
15-12 16:54:59,0.500,0,99.253,0,0,251608,6295520,43968,808520,180.005,446.012,0,0
15-12 16:55:00,0.250,0.250,99.252,0,0,251608,6295520,43968,808520,240.005,392.008,0,0
15-12 16:55:01,3.250,7.250,88.500,0,0,255588,6291540,43968,808520,664.001,10654.017,0,0
15-12 16:55:02,1.750,4.500,93.000,0,0,261100,6286028,43976,808512,881.997,18203.936,0,76.000
15-12 16:55:03,0.750,0.250,98.500,0,0,261084,6286028,43976,808524,779.998,12411.965,0,0
15-12 16:55:04,0.500,0.250,99.249,0,0,261084,6286028,43976,808524,59.999,337.995,0,0
15-12 16:55:05,0.250,0,99.251,0,0,261084,6286028,43976,808524,360.003,5980.043,0,0
15-12 16:55:06,0,0,99.246,0,0,261084,6286028,43976,808524,59.998,337.988,0,0
15-12 16:55:07,0.500,0,99.241,0,0,261336,6285776,43988,808512,101.991,379.967,0,91.992
15-12 16:55:08,0,0,99.014,0,0,261320,6285776,43988,808524,60.009,346.050,0,8.001
15-12 16:55:09,0.250,0.250,99.251,0,0,261320,6285776,43988,808524,180.002,454.006,0,0
15-12 16:55:10,0.250,0.250,99.494,0,0,261320,6285776,43988,808524,59.996,337.978,0,4.000
15-12 16:55:11,0.500,0,99.247,0,0,261320,6285776,43988,808524,179.994,399.987,0,0
15-12 16:55:12,0.250,0,99.503,0,0,261320,6285776,43988,808524,102.003,380.012,0,0
15-12 16:55:13,0.250,0,98.995,0,0,261312,6285776,43996,808524,59.997,337.982,0,19.999
15-12 16:55:14,0.250,0,99.255,0,0,261312,6285776,43996,808524,60.003,346.016,0,4.000
15-12 16:55:15,0.250,0.250,99.502,0,0,261312,6285776,43996,808524,60.001,346.007,0,0
15-12 16:55:16,0.250,0.250,99.002,0,0,261312,6285776,43996,808524,120.003,392.009,0,0
15-12 16:55:17,0.250,0,99.252,0,0,261280,6285776,43996,808556,102.002,380.009,0,0
15-12 16:55:18,0.250,0.250,98.997,0,0,261272,6285776,44004,808556,59.998,337.990,0,16.000
15-12 16:55:19,0,0,99.505,0,0,261272,6285776,44004,808556,60.003,882.045,0,0
15-12 16:55:20,0.250,0,99.495,0,0,261272,6285776,44004,808556,59.997,337.984,0,4.000
15-12 16:55:21,0.500,0.250,99.254,0,0,261272,6285776,44004,808556,60.003,346.015,0,0
15-12 16:55:22,0.250,0,99.252,0,0,261272,6285776,44004,808556,60.001,338.007,0,36.001
15-12 16:55:23,0,0,99.250,0,0,261272,6285776,44004,808556,162.000,442.000,0,0
15-12 16:55:24,0.250,0.250,98.993,0,0,261264,6285776,44012,808556,59.996,337.978,0,27.998
15-12 16:55:25,0.250,0,99.250,0,0,261264,6285776,44012,808556,60.000,345.999,0,0
15-12 16:55:26,0.250,0.500,99.755,0,0,261264,6285776,44012,808556,60.003,338.019,0,92.005
15-12 16:55:27,0.500,0,98.995,0,0,261264,6285776,44012,808556,119.994,399.981,0,0
15-12 16:55:28,0,0,99.500,0,0,261264,6285776,44012,808556,102.000,380.001,0,0
15-12 16:55:29,0.250,0,98.999,0,0,261264,6285776,44012,808556,60.000,337.998,0,0
15-12 16:55:30,0.500,0,99.251,0,0,261256,6285776,44020,808556,60.001,338.005,0,12.000
15-12 16:55:31,0,0.250,99.747,0,0,261256,6285776,44020,808556,179.994,399.986,0,0
15-12 16:55:32,0.250,0.250,99.003,0.500,0,261256,6285776,44020,808556,60.002,338.009,0,268.007
15-12 16:55:33,0.250,0,99.493,0,0,261256,6285776,44020,808556,59.996,345.974,0,0
15-12 16:55:34,0.250,0,99.006,0,0,261256,6285776,44020,808556,162.011,434.028,0,0
15-12 16:55:35,0,0,99.499,0,0,261256,6285776,44020,808556,133.999,391.997,0,0
15-12 16:55:36,0.250,0,99.000,0,0,261248,6285776,44028,808556,60.000,337.999,0,20.000
15-12 16:55:37,0.250,0,99.504,0,0,261248,6285776,44028,808556,60.002,346.012,0,4.000
15-12 16:55:38,0.250,0,99.247,0,0,261248,6285776,44028,808556,59.998,345.989,0,4.000
15-12 16:55:39,0.250,0.250,99.250,0,0,261248,6285776,44028,808556,102.000,388.000,0,0
15-12 16:55:40,0.250,0,99.006,0,0,261248,6285776,44028,808556,60.004,338.021,0,0
15-12 16:55:41,0,0.250,99.738,0,0,261248,6285776,44028,808556,119.986,391.954,0,0
15-12 16:55:42,0.500,0.250,99.258,0,0,261240,6285776,44036,808556,60.005,338.027,0,12.001
15-12 16:55:43,1.500,2.750,94.250,0,0,249944,6297072,44036,808556,1377.001,8950.005,0,8.000
15-12 16:55:44,0.500,0,99.247,0,0,249944,6297072,44036,808556,641.980,11517.638,0,4.000
15-12 16:55:45,0.250,0,99.001,0,0,249944,6297072,44036,808556,184.003,406.006,0,0
15-12 16:55:46,0.250,0,99.493,0,0,249944,6297072,44036,808556,59.996,337.976,0,0
15-12 16:55:47,0.250,0.250,99.257,0,0,249944,6297072,44036,808556,126.009,392.027,0,0
15-12 16:55:48,0.250,0.500,99.249,0,0,249932,6297072,44048,808556,119.999,2135.983,0,83.999
15-12 16:55:49,0.500,0,98.994,0,0,249932,6297072,44048,808556,221.987,495.970,0,0
15-12 16:55:50,0,0,99.506,0,0,249932,6297072,44048,808556,60.003,338.020,0,4.000
15-12 16:55:51,0.250,0,99.253,0,0,249932,6297072,44048,808556,60.002,346.012,0,0
15-12 16:55:52,0.250,0,98.999,0,0,250180,6296820,44048,808560,60.000,337.998,0,0
15-12 16:55:53,0.500,0,99.247,0,0,250180,6296820,44048,808560,59.998,337.991,0,175.995
15-12 16:55:54,0.500,0,99.504,0,0,250172,6296820,44056,808560,102.004,388.014,0,12.000
15-12 16:55:55,0.250,0,99.251,0,0,250172,6296820,44056,808560,300.002,454.003,0,0
15-12 16:55:56,0.500,0,98.992,0,0,250172,6296820,44056,808560,185.985,445.965,0,7.999
15-12 16:55:57,0,0.250,99.758,0,0,250172,6296820,44056,808560,60.005,346.029,0,0
15-12 16:55:58,0.500,0,98.996,0,0,250172,6296820,44056,808560,59.997,337.985,0,0
15-12 16:55:59,0.250,0.250,99.250,0,0,250172,6296820,44056,808560,162.000,434.001,0,0
15-12 16:56:00,0.250,0.250,99.000,0.250,0,250164,6296820,44064,808560,120.001,392.002,0,20.000
15-12 16:56:01,0.250,0,99.497,0,0,250164,6296820,44064,808560,119.997,345.990,0,71.998
15-12 16:56:02,0.250,0,99.502,0,0,250164,6296820,44064,808560,180.003,400.006,0,4.000
15-12 16:56:03,0.250,0.250,98.999,0,0,250164,6296820,44064,808560,59.999,345.996,0,0
15-12 16:56:04,0.500,0,99.750,0,0,250164,6296820,44064,808560,227.999,487.998,0,0
15-12 16:56:05,0,0,99.003,0,0,250164,6296820,44064,808560,120.004,392.013,0,0
15-12 16:56:06,0.500,0,98.999,0,0,250156,6296820,44072,808560,60.000,337.998,0,12.000
15-12 16:56:07,0.250,0,99.747,0,0,250156,6296820,44072,808560,59.998,345.990,0,0
15-12 16:56:08,0.250,0,99.002,0,0,250156,6296820,44072,808560,120.002,392.007,0,4.000
15-12 16:56:09,0.250,0.250,99.246,0,0,250156,6296820,44072,808560,101.996,387.985,0,0
15-12 16:56:10,0,0.250,99.253,0,0,250156,6296820,44072,808560,60.002,338.010,0,0
15-12 16:56:11,0.500,0,99.503,0,0,250156,6296820,44072,808560,60.002,338.011,0,0
15-12 16:56:12,0,0,98.996,0,0,250148,6296820,44080,808560,119.995,391.985,0,12.000
15-12 16:56:13,0.750,0.250,98.998,0,0,250148,6296820,44080,808560,59.999,345.992,0,8.000
15-12 16:56:14,0.250,0,99.754,0,0,250148,6296820,44080,808560,102.004,388.016,0,4.000
15-12 16:56:15,0.500,0,99.250,0,0,250148,6296820,44080,808560,120.001,400.002,0,0
15-12 16:56:16,0,0.250,98.999,0,0,250148,6296820,44080,808560,119.999,391.995,0,0
15-12 16:56:17,0.250,0,99.248,0,0,250148,6296820,44080,808560,119.997,873.980,0,0
15-12 16:56:18,0.250,0,99.499,0,0,250108,6296820,44088,808592,60.000,337.997,0,16.000
15-12 16:56:19,0.500,0,99.252,0,0,250108,6296820,44088,808592,102.002,388.008,0,0
15-12 16:56:20,0,0.500,99.494,0,0,250108,6296820,44088,808592,59.997,337.981,0,4.000
15-12 16:56:21,0.250,0,98.746,0,0,250108,6296820,44088,808592,59.998,345.987,0,0
15-12 16:56:22,0.250,0,99.757,0,0,250108,6296820,44088,808592,60.004,338.025,0,36.003
15-12 16:56:23,0,0,99.242,0,0,250108,6296820,44088,808592,59.995,345.972,0,0
15-12 16:56:24,0.250,0,99.011,0,0,250100,6296820,44096,808592,102.011,380.042,0,28.003
15-12 16:56:25,0.250,0,99.242,0,0,250100,6296820,44096,808592,59.995,345.971,0,0
15-12 16:56:26,0.250,0,99.508,0,0,250100,6296820,44096,808592,60.005,338.028,0,4.000
15-12 16:56:27,0.500,0.500,99.241,0,0,250100,6296820,44096,808592,59.995,345.969,0,0
15-12 16:56:28,0,0,98.986,0,0,250100,6296820,44096,808592,59.992,337.954,0,0
15-12 16:56:29,0.250,0,99.747,0,0,250100,6296820,44096,808592,225.994,439.989,0,0
15-12 16:56:30,0,0.250,98.759,0,0,250092,6296820,44104,808592,60.006,338.031,0,12.001
15-12 16:56:31,0.750,0,99.250,0,0,250092,6296820,44104,808592,120.000,399.999,0,0
15-12 16:56:32,0,0,99.506,0,0,250092,6296820,44104,808592,120.007,392.024,0,4.000
15-12 16:56:33,0.750,0,99.258,0,0,250092,6296820,44104,808592,60.005,346.026,0,0
15-12 16:56:34,0,0.250,99.257,0,0,250092,6296820,44104,808592,60.004,338.023,0,0
15-12 16:56:35,0.250,0.250,99.003,0,0,250092,6296820,44112,808584,102.003,380.011,0,12.000
15-12 16:56:36,0,0,99.249,0,0,250084,6296820,44112,808592,59.999,345.995,0,16.000
15-12 16:56:37,0.250,0,99.250,0,0,250084,6296820,44112,808592,60.000,346.002,0,0
15-12 16:56:38,0.750,0,99.248,0,0,250084,6296820,44112,808592,59.999,337.992,0,4.000
15-12 16:56:39,0.250,0,99.502,0,0,250084,6296820,44112,808592,120.002,400.006,0,0
15-12 16:56:40,0,0.250,99.246,0,0,250084,6296820,44112,808592,101.996,379.986,0,0
15-12 16:56:41,0.500,0,99.248,0,0,250072,6296820,44120,808596,59.999,337.993,0,12.000
15-12 16:56:42,0,0,99.004,0,0,250072,6296820,44120,808596,120.005,400.015,0,0
15-12 16:56:43,0.250,0.250,99.498,0,0,250072,6296820,44120,808596,179.996,445.990,0,0
15-12 16:56:44,0.250,0,98.999,0,0,250072,6296820,44120,808596,179.999,391.998,0,8.000
15-12 16:56:45,0.250,0.250,99.248,0,0,250072,6296820,44120,808596,59.999,345.994,0,0
15-12 16:56:46,0.250,0,99.750,0,0,250064,6296820,44128,808596,102.000,916.001,0,20.000
15-12 16:56:47,0.500,0,98.750,0,0,250064,6296820,44128,808596,888.000,1157.000,0,0
15-12 16:56:48,0.500,0,99.499,0,0,250064,6296820,44128,808596,119.999,1501.991,0,0
15-12 16:56:49,0.250,0,99.251,0,0,250064,6296820,44128,808596,60.000,338.002,0,0
15-12 16:56:50,0.250,0.500,99.245,0,0,250064,6296820,44128,808596,59.997,337.983,0,4.000
