"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_stanford_capacity.csv 1",,,,"Date:","16 Dec 2025 18:26:39 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 18:26:39,,1055500,5279900,47952,1007656,,
16-12 18:26:40,0,0.250,98.753,0,0,1055496,5279900,47952,1007660,2987.081,4043.109,0,4.000
16-12 18:26:41,0.750,0.500,99.021,0,0,1055496,5279900,47952,1007660,2867.602,3323.698,0,0
16-12 18:26:42,0.250,0.250,98.994,0,0,1055496,5279900,47952,1007660,1184.932,2006.886,0,0
16-12 18:26:43,0.250,0.250,98.990,0,0,1055496,5279900,47952,1007660,166.983,622.935,0,0
16-12 18:26:44,0.250,0,99.016,0,0,1055496,5279900,47952,1007660,419.070,785.130,0,4.001
16-12 18:26:45,0.750,0,98.733,0,0,1055488,5279900,47960,1007660,332.943,1200.796,0,35.994
16-12 18:26:46,1.250,2.249,95.223,0,0,1062592,5253188,47960,1027268,21425286.964,64680.723,0,0
16-12 18:26:47,1.751,2.251,94.291,0,0,1057340,5233336,47960,1052372,26468948.961,187628.611,0,16.007
16-12 18:26:48,32.225,8.993,57.205,0,0,1109440,5135212,47960,1097216,8675.245,4831.238,0,0
16-12 18:26:49,55.507,4.501,38.505,0,0,1128848,5115808,47960,1097212,260.030,763.090,0,0
16-12 18:26:50,52.728,4.748,40.983,0,0,1172440,5072212,47960,1097216,478.804,3974.369,0,0
16-12 18:26:51,46.790,3.253,49.042,0,0,1209216,5035420,47972,1097216,1301.108,2845.424,0,588.501
16-12 18:26:52,47.963,3.997,44.965,0,0,1244996,4999636,47972,1097220,1934.505,2429.123,0,0
16-12 18:26:53,71.758,6.251,20.752,0,0,1339496,4905136,47972,1097220,15126.776,841.099,0,40.005
16-12 18:26:54,61.799,4.003,32.025,0,0,1351548,4893068,47972,1097220,9383.405,14664.572,0,0
16-12 18:26:55,79.016,3.240,16.202,0,0,1365096,4879516,47972,1097224,5888.525,6386.049,0,0
16-12 18:26:56,45.101,3.257,50.613,0,0,1397440,4847036,47980,1097352,6419.369,127182.689,0,112.251
16-12 18:26:57,2.501,1.000,96.278,0,0,1399204,4845272,47980,1097352,5842.721,5751.694,0,12.004
16-12 18:26:58,59.383,8.234,30.939,0,0,1473660,4770708,47992,1097448,5755.701,11360.699,0,0
