"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_stanford_fair.csv 1",,,,"Date:","16 Dec 2025 22:03:08 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 22:03:08,,1019792,5374992,38260,973392,,
16-12 22:03:09,0.500,0.250,99.246,0,0,1019788,5374992,38260,973396,2956.888,4078.846,0,0
16-12 22:03:10,0.250,0.250,99.009,0,0,1019788,5374992,38260,973396,886.080,1639.148,0,0
16-12 22:03:11,0.250,0.250,99.251,0,0,1019788,5374992,38260,973396,227.003,677.008,0,0
16-12 22:03:12,0,0.250,98.992,0,0,1019788,5374992,38260,973396,166.987,622.952,0,0
16-12 22:03:13,0.250,0,99.002,0,0,1019884,5374864,38260,973428,274.005,1147.021,0,8.000
16-12 22:03:14,0.500,0,99.498,0,0,1019876,5374864,38268,973428,426.992,750.985,0,183.996
16-12 22:03:15,2.750,3.250,91.010,0,0,1012980,5336464,38268,1018028,47786498.463,153080.486,0,0
16-12 22:03:16,0.750,0.250,98.740,0,0,1012860,5336464,38268,1018144,107020.703,4126.564,0,0
16-12 22:03:17,0.250,0.250,98.996,0,0,1012860,5336464,38268,1018144,286.989,684.973,0,4.000
16-12 22:03:18,0,0.250,99.249,0,0,1012860,5336464,38268,1018144,226.999,676.996,0,36.000
16-12 22:03:19,0.500,0.250,99.001,0,0,1012860,5336464,38268,1018144,540.003,1399.008,0,184.001
16-12 22:03:20,0.250,0,99.241,0.250,0,1012848,5336464,38276,1018144,350.970,690.941,0,83.993
16-12 22:03:21,0.250,0,99.016,0,0,1012848,5336464,38276,1018144,239.038,719.116,0,0
16-12 22:03:22,0.250,0.250,98.733,0,0,1012848,5336464,38276,1018144,333.942,1200.790,0,3.999
16-12 22:03:23,0.750,0.250,98.993,0,0,1012980,5336212,38276,1018264,125140.387,2551.824,0,0
16-12 22:03:24,0.250,0.500,99.531,0,0,1012980,5336212,38276,1018264,287.090,739.232,0,0
16-12 22:03:25,18.485,6.745,73.192,0,0,1037484,5265740,38288,1063060,66675.556,45699794.415,0,79.937
16-12 22:03:26,54.235,5.249,39.239,0,0,1080832,5222396,38288,1063056,274.922,798.772,0,19.994
