"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_capacity.csv 1",,,,"Date:","16 Dec 2025 20:17:38 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 20:17:38,,786028,5867132,30088,731880,,
16-12 20:17:39,0.250,0.250,99.510,0,0,786024,5867132,30088,731884,3437.345,4079.409,0,0
16-12 20:17:40,0,0.250,98.992,0,0,786024,5867132,30088,731884,374.972,1242.906,0,0
16-12 20:17:41,0.500,0.250,99.004,0,0,786024,5867132,30088,731884,167.007,623.027,0,0
16-12 20:17:42,0.250,0,99.249,0,0,786024,5867132,30088,731884,226.998,684.995,0,0
16-12 20:17:43,0.750,0,99.257,0.250,0,786016,5867132,30096,731884,273.019,1147.078,0,32.002
16-12 20:17:44,0,0,99.246,0,0,786016,5867132,30096,731884,166.994,630.976,0,39.998
16-12 20:17:45,1.249,0.749,97.177,0,0,786176,5859080,30096,739748,8633304.655,26730.960,0,0
16-12 20:17:46,39.522,6.754,51.779,0,0,814892,5792656,30096,776508,39270615.596,201817.143,0,0
16-12 20:17:47,0,0.250,99.255,0,0,814640,5792656,30096,776596,227.011,631.031,0,0
16-12 20:17:48,0.250,0.250,99.007,0,0,814640,5792656,30096,776596,167.012,623.044,0,0
16-12 20:17:49,0.250,0.250,99.238,0,0,814624,5792656,30108,776596,332.961,1200.859,0,79.991
16-12 20:17:50,0.250,0,99.516,0,0,814624,5792656,30108,776596,209.033,665.106,0,4.001
16-12 20:17:51,0.500,0,98.751,0,0,814624,5792656,30108,776596,167.001,623.005,0,0
16-12 20:17:52,0.500,0,99.238,0,0,814624,5792656,30108,776596,272.967,1154.860,0,0
16-12 20:17:53,0.500,0,99.016,0,0,814504,5792656,30108,776716,124296.907,2486.398,0,0
16-12 20:17:54,0.500,0,98.740,0,0,814504,5792656,30108,776716,166.984,630.939,0,0
16-12 20:17:55,24.988,4.748,69.717,0,0,810576,5750676,30116,821104,6715.784,4753.723,0,51.975
16-12 20:17:56,48.691,5.743,44.197,0,0,870240,5690708,30116,821504,1322.401,1279.453,0,3.995
16-12 20:17:57,46.240,4.499,48.239,0,0,892264,5668532,30116,821504,856.807,3427.229,0,3.999
16-12 20:17:58,56.345,3.256,39.817,0,0,915320,5645348,30120,821624,909.541,3307.604,0,0
16-12 20:17:59,23.673,11.213,64.041,0,0,1486000,5074608,30128,821632,2885.562,2594.514,7.974,0
16-12 20:18:00,9.282,2.258,87.556,0,0,828900,5731952,30140,821464,34584.924,4367.270,0,256.898
16-12 20:18:01,0.500,0.500,98.992,0,0,828900,5731952,30140,821464,851.931,10453.156,0,4.000
16-12 20:18:02,22.492,3.749,72.724,0,0,852144,5708600,30152,821556,4342.436,9765.482,0,3.999
16-12 20:18:03,48.732,3.749,45.734,0,0,884772,5675856,30152,821564,226.918,1826.343,0,0
16-12 20:18:04,53.253,4.250,41.752,0,0,910816,5649676,30152,821684,1490.078,4787.251,0,0
16-12 20:18:05,41.532,4.253,53.291,0,0,948084,5612380,30164,821696,1530.173,3788.905,4.003,168.129
16-12 20:18:06,20.499,2.250,76.496,0,0,796272,5764376,30164,821504,22679.932,9983.530,0,211.990
16-12 20:18:07,22.496,3.499,72.988,0,0,851688,5708940,30172,821584,4550.257,14896.569,0,0
16-12 20:18:08,51.480,3.749,43.733,0,0,873732,5686792,30172,821600,5388.892,5630.798,0,23.991
16-12 20:18:09,53.529,4.002,41.522,0,0,902880,5657560,30172,821684,2303.239,5162.778,0,0
16-12 20:18:10,40.233,3.748,54.477,0,0,958468,5601936,30184,821724,2284.033,5871.513,0,187.920
16-12 20:18:11,19.010,2.501,78.041,0,0,823680,5737060,30184,821540,12554.529,12477.489,0,32.017
