"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_fair.csv 1",,,,"Date:","17 Dec 2025 16:38:40 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
17-12 16:38:40,,892372,4666088,39228,1810948,,
17-12 16:38:41,1.000,0.250,99.259,0,0,892368,4666088,39228,1810952,2837.254,3463.310,0,0
17-12 16:38:42,0.500,0.250,98.749,0,0,892368,4666088,39228,1810952,1078.993,1354.991,0,0
17-12 16:38:43,0.250,0,99.224,0,0,892368,4666088,39228,1810952,363.906,1116.711,0,0
17-12 16:38:44,0.500,0,99.026,0,0,892368,4666088,39228,1810952,167.045,503.134,0,0
17-12 16:38:45,0.500,0.250,98.997,0,0,892360,4666088,39236,1810952,166.995,502.986,0,51.999
17-12 16:38:46,1.998,2.248,93.664,0,0,900752,4632068,39236,1836064,27117767.847,80838.656,0,3.996
17-12 16:38:47,2.502,2.002,94.088,0,0,895948,4616696,39236,1855652,20756877.496,165935.460,0,44.041
17-12 16:38:48,0.250,0.500,98.250,0,0,896396,4616248,39236,1855652,59704.131,45744945.044,0,0
17-12 16:38:49,0.500,0,98.752,0,0,896396,4616248,39236,1855652,274.005,1027.020,0,20.000
17-12 16:38:50,0.500,0.250,99.000,0,0,896396,4616248,39236,1855652,166.999,502.998,0,0
17-12 16:38:51,0.250,0.250,99.198,0,0,896388,4616248,39244,1855652,166.913,502.739,0,67.965
17-12 16:38:52,0.250,0.250,99.301,0,0,896388,4616248,39244,1855652,448.232,1135.587,0,24.012
17-12 16:38:53,0.750,0,99.245,0,0,896388,4616248,39244,1855652,166.992,502.975,0,0
17-12 16:38:54,0.250,0.250,98.754,0,0,896388,4616248,39244,1855652,167.007,503.021,0,0
17-12 16:38:55,0.250,0,98.979,0,0,896388,4616248,39244,1855652,393.916,1080.769,0,0
17-12 16:38:56,0.500,0.250,99.263,0,0,896388,4616248,39256,1855640,287.039,611.082,0,52.007
17-12 16:38:57,0.250,0.250,98.753,0,0,896376,4616248,39256,1855652,269.007,545.015,0,0
17-12 16:38:58,0.250,0.250,99.254,0,0,896376,4616248,39256,1855652,274.010,1027.039,0,4.000
17-12 16:38:59,0.750,0.500,98.498,0,0,896376,4616248,39256,1855652,124232.928,1645.959,0,0
17-12 16:39:00,0.250,0.250,98.978,0,0,896256,4616248,39256,1855772,428.907,1276.722,0,0
17-12 16:39:01,7.240,4.494,87.131,0,0,907440,4559312,39256,1900320,6644.940,4551.794,0,0
17-12 16:39:02,39.735,7.497,51.731,0,0,955268,4511212,39264,1900564,1373.489,1202.553,0,131.951
17-12 16:39:03,56.258,4.001,36.255,0,0,975348,4491052,39264,1900596,167.023,547.076,0,0
