"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu02",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_fifo_new002.csv 1",,,,"Date:","16 Dec 2025 17:28:10 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 17:28:10,,983624,5301464,42084,1073008,,
16-12 17:28:11,0.250,0,98.993,0,0,983620,5301464,42084,1073012,2656.802,3250.758,0,0
16-12 17:28:12,0.250,0,98.987,0,0,983620,5301464,42084,1073012,2372.692,4012.479,0,0
16-12 17:28:13,2.500,3.250,93.512,0,0,984364,5300736,42084,1073012,167.022,653.085,0,8.001
16-12 17:28:14,0.250,0,99.017,0.250,0,984352,5300736,42096,1073012,167.029,661.113,0,128.022
16-12 17:28:15,0.750,0.250,98.994,0,0,984352,5300736,42096,1073012,314.982,1224.930,0,23.999
16-12 17:28:16,0,0,99.503,0,0,984352,5300736,42096,1073012,167.005,661.018,0,0
16-12 17:28:17,0.250,0.250,99.255,0,0,984352,5300736,42096,1073012,287.015,761.041,0,0
16-12 17:28:18,0.250,0,98.734,0,0,984352,5300736,42096,1073012,392.935,1174.807,0,0
16-12 17:28:19,0.500,0.500,99.273,0,0,984352,5300736,42096,1073012,167.039,653.154,0,0
16-12 17:28:20,0.250,0,98.938,0.250,0,984352,5300736,42104,1073004,208.869,694.565,0,15.990
16-12 17:28:21,0.250,0,99.316,0,0,984344,5300736,42104,1073012,273.181,1183.783,0,12.008
16-12 17:28:22,0.250,0.250,98.996,0,0,984344,5300736,42104,1073012,286.989,714.973,0,0
16-12 17:28:23,0.750,0,99.247,0,0,984344,5300736,42104,1073012,166.994,652.977,0,0
16-12 17:28:24,0.750,0.500,98.504,0,0,984344,5300736,42104,1073012,273.011,1175.048,0,0
16-12 17:28:25,1.249,0.500,98.160,0,0,986480,5292924,42104,1078688,6134282.379,17985.491,0,0
16-12 17:28:26,2.002,2.502,92.335,0,0,981960,5258400,42112,1117724,41782638.749,130408.850,0,40.037
16-12 17:28:27,0.250,0,98.721,0,0,981960,5258400,42112,1117724,346.899,1236.641,0,0
16-12 17:28:28,0.250,0.250,99.527,0,0,981960,5258400,42112,1117724,167.045,653.177,0,0
16-12 17:28:29,0.500,0,99.251,0,0,981960,5258400,42112,1117724,167.001,653.005,0,0
16-12 17:28:30,0,0,99.252,0,0,981960,5258400,42112,1117724,435.008,1271.023,0,0
16-12 17:28:31,0.750,0.250,98.986,0,0,981960,5258400,42120,1117716,286.958,706.897,0,63.991
16-12 17:28:32,0,0,99.223,0,0,981952,5258400,42120,1117724,166.954,660.819,0,0
16-12 17:28:33,0.250,0,98.784,0,0,981952,5258400,42120,1117724,273.093,1175.401,0,0
16-12 17:28:34,0.500,0,99.473,0,0,981952,5258400,42120,1117724,226.939,706.810,0,0
16-12 17:28:35,0.497,0.497,98.983,0,0,981832,5258400,42120,1117844,123751.401,2554.652,0,0
16-12 17:28:36,0,0.251,99.049,0,0,981832,5258400,42120,1117844,377.089,1278.080,0,0
16-12 17:28:37,14.750,5.000,79.503,0,0,1000196,5194812,42128,1162584,6722.216,3434.110,0,52.002
16-12 17:28:38,53.205,4.496,39.716,0,0,1045148,5149704,42128,1162628,290.753,756.358,0,0
16-12 17:28:39,61.447,3.247,33.471,0,0,1082908,5111932,42128,1162640,1416.785,4798.884,0,219.811
16-12 17:28:40,54.297,3.503,40.035,0,0,1122416,5072368,42128,1162760,1862.629,3524.081,0,0
16-12 17:28:41,14.012,11.760,74.063,0,0,1666196,4528352,42128,1162788,20745.549,4577.872,0,84.071
16-12 17:28:42,0.250,1.500,97.476,0,0,1029332,5165616,42128,1162588,5435.683,6237.489,0,31.992
16-12 17:28:43,0.250,0.250,98.771,0,0,1024048,5170884,42140,1162592,10044.171,5084.099,0,248.054
16-12 17:28:44,27.990,4.498,67.476,0,0,1061856,5132992,42140,1162676,4264.503,9953.505,0,0
16-12 17:28:45,55.966,4.247,36.727,0,0,1082228,5112580,42140,1162716,452.721,4704.101,0,0
