"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_roadNet_capacity.csv 1",,,,"Date:","16 Dec 2025 18:32:46 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 18:32:46,,1053092,5501604,48436,792728,,
16-12 18:32:47,0.250,0,98.499,0,0,1053284,5501364,48436,792776,3284.963,4824.945,0,0
16-12 18:32:48,0.750,0,99.258,0,0,1053284,5501364,48436,792776,2657.208,2873.225,0,0
16-12 18:32:49,0.250,0,99.233,0,0,1053284,5501364,48436,792776,1372.762,1764.694,0,0
16-12 18:32:50,0.500,0.250,99.013,0,0,1053284,5501364,48436,792776,273.036,1147.150,0,0
16-12 18:32:51,0.250,0.250,98.968,0,0,1053284,5501364,48436,792776,1189.616,1592.487,0,0
16-12 18:32:52,1.999,1.999,94.947,0,0,1049816,5490824,48444,806776,15263159.610,14429401.255,0,47.973
16-12 18:32:53,3.253,4.254,90.093,0,0,1044700,5465224,48444,837492,32802678.281,31575569.564,0,48.049
16-12 18:32:54,0.250,0.250,99.232,0,0,1044700,5465224,48444,837492,228.957,684.872,0,3.999
16-12 18:32:55,0.250,0,99.269,0,0,1044700,5465224,48444,837492,227.043,677.127,0,60.011
16-12 18:32:56,0.250,0.250,98.743,0,0,1044700,5465224,48444,837492,338.976,1200.914,0,15.999
16-12 18:32:57,0.500,0,98.757,0.250,0,1044692,5465224,48452,837492,293.021,731.052,0,92.007
16-12 18:32:58,0.500,0.250,99.249,0,0,1044692,5465224,48452,837492,330.995,780.989,0,4.000
16-12 18:32:59,0.250,0.250,98.756,0,0,1044692,5465224,48452,837492,273.016,1147.067,0,0
16-12 18:33:00,0.500,0.250,98.949,0,0,1044692,5465224,48452,837492,166.914,622.678,0,0
16-12 18:33:01,0.500,0.250,98.772,0,0,1044572,5465224,48452,837612,124370.466,2420.535,0,16.004
16-12 18:33:02,0.499,0.250,98.844,0,0,1044564,5465224,48460,837612,272.569,1153.175,0,55.911
16-12 18:33:03,21.269,7.006,69.813,0,0,1081160,5383340,48468,882200,6664.969,3426.068,0,0
16-12 18:33:04,53.513,5.001,39.760,0,0,1117140,5347304,48468,882400,227.055,721.175,0,4.001
16-12 18:33:05,41.981,4.248,52.476,0,0,1137296,5327144,48468,882404,1357.389,3601.378,0,0
16-12 18:33:06,60.560,3.754,34.534,0,0,1163132,5301188,48468,882524,287.282,3017.967,0,0
16-12 18:33:07,20.749,12.000,65.998,0,0,1705884,4758420,48468,882524,1800.955,1762.956,0,0
16-12 18:33:08,74.981,4.999,19.495,0,0,1797340,4666944,48480,882524,1405.635,1586.588,0,223.942
16-12 18:33:09,26.205,3.244,68.633,0,0,1882516,4581768,48480,882524,14533.165,5672.307,0,0
16-12 18:33:10,26.041,3.005,70.111,0,0,1930644,4533636,48480,882528,10238.203,6081.625,0,4.006
16-12 18:33:11,34.999,2.250,60.998,0,0,1979024,4485252,48480,882532,4847.867,9033.751,0,8.000
16-12 18:33:12,27.252,1.500,70.256,0,0,2003440,4460836,48480,882532,167.015,667.059,0,0
16-12 18:33:13,34.726,2.998,61.457,0,0,2043752,4420516,48488,882532,644.551,2504.255,0,43.969
16-12 18:33:14,33.260,0.250,66.020,0,0,2043752,4420516,48488,882532,565.173,1449.442,0,0
16-12 18:33:15,25.514,0.500,73.041,0,0,2043752,4420516,48488,882532,287.162,721.406,0,4.002
16-12 18:33:16,26.754,0.750,72.010,0,0,2043752,4420516,48488,882532,274.038,2003.276,0,4.001
16-12 18:33:17,25.247,0.250,73.492,0,0,2043752,4420516,48488,882532,332.965,1244.870,0,0
16-12 18:33:18,25.505,0,74.014,0,0,2043752,4420516,48488,882532,233.045,799.155,0,0
16-12 18:33:19,25.998,0.500,73.246,0.250,0,2043744,4420516,48496,882532,315.981,1482.912,0,35.998
16-12 18:33:20,25.500,0.500,73.749,0,0,2043744,4420516,48496,882532,272.998,1190.990,0,0
16-12 18:33:21,24.752,0,73.756,0,0,2043744,4420516,48496,882532,167.014,667.056,0,4.000
16-12 18:33:22,26.750,0.500,71.999,0,0,2043744,4420516,48496,882532,273.995,1440.974,0,0
16-12 18:33:23,25.742,0.500,73.228,0,0,2043744,4420516,48496,882532,332.902,1244.634,0,0
16-12 18:33:24,27.004,1.500,70.510,0,0,2035772,4388260,48504,921844,389.057,763.112,0,24.004
16-12 18:33:25,24.747,3.250,72.241,0,0,2040828,4307620,48504,995540,393.951,1552.805,0,7.999
16-12 18:33:26,16.003,3.501,77.515,2.000,0,2014180,4296124,48504,1032608,20828.942,9200.741,0,18031.413
16-12 18:33:27,0.500,1.750,94.250,2.500,0,1127564,5182944,48504,1032404,355.001,954.003,0,26752.074
16-12 18:33:28,0,0.500,99.013,0,0,1122368,5188136,48504,1032408,347.045,3891.500,0,116.015
16-12 18:33:29,38.667,4.740,55.132,0,0,1132184,5178312,48504,1032416,4000.414,2072.552,0,0
16-12 18:33:30,60.997,5.228,31.619,0.249,0,1144676,5165712,48516,1032504,375.440,4215.484,0,211.123
16-12 18:33:31,53.199,4.517,41.154,0,0,1183708,5126680,48516,1032504,1328.967,3090.551,0,0
16-12 18:33:32,51.605,4.509,41.585,0.752,0,1209248,5101004,48516,1032624,459.935,1301.646,0,17150.866
16-12 18:33:33,30.759,4.001,63.769,0,0,1256948,5015564,48516,1069504,10318.062,2130.632,0,41836.416
16-12 18:33:34,70.465,6.497,20.490,0,0,1271564,4993696,48516,1076480,22354.825,2227601.469,0,0
16-12 18:33:35,41.269,6.503,51.524,0,0,1343788,4909420,48528,1088264,39549.196,12061544.360,0,248.114
16-12 18:33:36,29.996,6.499,61.242,0,0,1461732,4778768,48528,1100652,36694.400,12632538.347,0,7.999
16-12 18:33:37,16.495,3.749,70.231,7.748,0,1477476,4809120,48528,1055632,26326.758,5091844.320,0,152725.988
16-12 18:33:38,35.495,6.249,57.242,0,0,1193448,5093276,48528,1055520,4080.453,2177.708,0,0
16-12 18:33:39,55.265,3.751,39.761,0,0,1206040,5080676,48528,1055528,697.192,5292.460,0,4.001
16-12 18:33:40,48.233,3.999,45.734,0,0,1236772,5049932,48540,1055528,1522.461,4373.453,0,443.843
16-12 18:33:41,54.003,3.750,39.502,0,0,1257312,5029272,48540,1055648,273.016,1191.070,0,0
16-12 18:33:42,40.267,5.752,49.520,1.251,0,1320540,4971828,48540,1050004,5624.318,2076.856,0,14562.002
16-12 18:33:43,68.990,5.999,23.996,0,0,1298808,4982416,48540,1060864,19441.145,2939197.358,0,0
16-12 18:33:44,42.979,6.997,47.977,0,0,1355588,4912920,48540,1073288,39440.996,12831462.506,0,3.998
16-12 18:33:45,38.271,9.505,48.776,0.250,0,1424480,4830716,48552,1086276,35655.143,13233392.863,0,116.062
16-12 18:33:46,14.256,3.752,81.035,0,0,1172116,5131436,48552,1039104,19522.379,3014088.617,0,32.014
16-12 18:33:47,33.442,5.990,59.148,0,0,1212556,5090880,48552,1039220,4008.090,2085.405,0,0
16-12 18:33:48,53.590,4.758,40.819,0,0,1213604,5089820,48552,1039232,486.819,6850.531,0,0
16-12 18:33:49,54.664,3.230,40.253,0,0,1215736,5087628,48552,1039292,2180.608,3880.171,0,0
16-12 18:33:50,47.276,4.778,46.522,0,0,1234232,5069040,48564,1039356,557.256,1672.773,0,233.363
16-12 18:33:51,28.757,3.751,66.267,0,0,1296028,5021296,48564,1025676,334.087,1532.398,0,4.001
16-12 18:33:52,45.588,2.989,50.820,0,0,1303088,4994276,48564,1045128,11332.811,3173.745,0,0
16-12 18:33:53,61.971,8.781,27.599,0,0,1363624,4924360,48564,1054300,49187.712,9629344.716,0,36.129
16-12 18:33:54,32.504,5.001,60.257,0,0,1420824,4852680,48564,1068460,43349.768,14611967.053,0,4.000
16-12 18:33:55,27.000,5.250,64.500,0.250,0,1516360,4800080,48572,1026500,224877.602,7841661.136,0,299.999
16-12 18:33:56,0.750,1.250,97.994,0,0,1180368,5136272,48572,1026300,272.984,1291.924,0,35.998
16-12 18:33:57,0.750,2.249,95.451,0,0,1145980,5154836,48572,1041780,16928151.458,16030430.101,0,3.998
16-12 18:33:58,2.001,3.002,93.054,0,0,1107408,5163432,48572,1070992,31125053.477,29865268.718,0,4.002
16-12 18:33:59,0.500,0.500,98.500,0,0,1120056,5195688,48572,1026120,554.001,1197.003,0,0
16-12 18:34:00,0.500,0.250,98.989,0,0,1120052,5195688,48572,1026124,232.973,684.921,0,0
16-12 18:34:01,0.250,0.250,99.009,0,0,1120040,5195688,48584,1026124,299.027,731.067,0,208.019
16-12 18:34:02,0,0,99.494,0,0,1120040,5195688,48584,1026124,272.984,1146.931,0,0
16-12 18:34:03,21.000,8.500,69.251,0,0,1129144,5238432,48612,975888,8587.082,4267.041,0,56.001
16-12 18:34:04,42.983,4.498,50.980,0,0,1131732,5235764,48612,976160,166.936,738.716,0,0
16-12 18:34:05,54.220,3.748,38.229,0,0,1139788,5227700,48612,976168,374.791,2391.668,0,0
16-12 18:34:06,51.022,5.002,43.519,0,0,1164736,5202752,48612,976168,287.125,3016.316,0,72.031
16-12 18:34:07,49.500,3.000,45.750,0,0,1192664,5174808,48624,976172,2974.974,4094.964,0,255.998
16-12 18:34:08,65.997,5.000,28.249,0,0,1270248,5097220,48624,976176,392.980,1244.936,0,19.999
16-12 18:34:09,65.484,5.749,27.243,0,0,1329968,5037496,48624,976180,14368.564,5688.640,0,7.998
16-12 18:34:10,67.725,3.249,26.740,0,0,1339292,5028172,48624,976180,14306.713,13581.981,0,0
16-12 18:34:11,71.076,5.005,21.523,0,0,1370580,4996756,48624,976308,4464.792,125294.484,0,8.009
16-12 18:34:12,2.500,0.500,96.017,0,0,1376368,4990960,48632,976308,1174.202,2110.364,0,420.072
16-12 18:34:13,24.248,1.750,71.744,1.500,0,1406352,4960972,48632,976312,2992.732,6359.431,0,12910.845
16-12 18:34:14,1.250,0,98.500,0,0,1406352,4960972,48632,976312,1218.999,2877.997,0,0
16-12 18:34:15,1.500,0.750,97.493,0,0,1406348,4960972,48632,976316,2298.841,2812.806,0,4.000
16-12 18:34:16,0.750,0,98.500,0,0,1406348,4960972,48632,976316,1157.002,1776.003,0,0
16-12 18:34:17,0.750,0,98.504,0,0,1406340,4960972,48640,976316,1159.051,2258.099,0,100.004
16-12 18:34:18,1.000,1.000,89.747,7.000,0,1406340,4960972,48640,976316,1052.965,1733.943,0,63157.922
16-12 18:34:19,1.000,0.250,98.750,0,0,1406340,4960972,48640,976316,987.004,1680.007,0,0
16-12 18:34:20,1.500,0.250,97.991,0,0,1406340,4960972,48640,976316,1443.874,2310.799,0,0
16-12 18:34:21,1.750,0,97.254,0,0,1404304,4963008,48640,976316,1699.074,1883.082,0,4.000
16-12 18:34:22,0.750,0,98.762,0,0,1402576,4964736,48640,976316,1127.137,1788.218,0,52.006
16-12 18:34:23,4.750,1.000,90.756,2.750,0,1410896,4956404,48652,976316,2193.134,2725.167,0,31265.912
16-12 18:34:24,0.500,0.500,98.992,0,0,1410896,4956404,48652,976316,1114.914,1787.863,0,0
16-12 18:34:25,0.500,0,98.734,0,0,1410896,4956404,48652,976316,1046.829,1725.718,0,0
16-12 18:34:26,6.248,0.500,92.476,0,0,1411904,4955396,48652,976316,5729.533,23438.998,0,0
