"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_roadNet_fair.csv 1",,,,"Date:","16 Dec 2025 22:12:17 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 22:12:17,,996508,5617220,38968,759020,,
16-12 22:12:18,0,0,99.037,0,0,996496,5617220,38976,759024,2237.826,2992.104,0,80.030
16-12 22:12:19,0.500,0.250,98.752,0,0,996496,5617220,38976,759024,2734.061,3307.074,0,0
16-12 22:12:20,0.500,0.250,99.256,0,0,996496,5617220,38976,759024,1787.107,2071.124,0,0
16-12 22:12:21,0.250,0.250,99.243,0,0,996496,5617220,38976,759024,166.988,630.955,0,4.000
16-12 22:12:22,0.749,0,98.918,0,0,996496,5617220,38976,759024,315.739,1188.019,0,0
16-12 22:12:23,0.250,0,99.084,0,0,996496,5617220,38984,759016,287.242,739.624,0,40.034
16-12 22:12:24,3.000,2.750,91.000,0,0,991200,5577460,38984,803740,47882912.069,147190.437,0,0
16-12 22:12:25,0.250,0,99.242,0,0,991200,5577460,38984,803740,393.968,1208.901,0,0
16-12 22:12:26,0.750,0.250,99.008,0,0,991200,5577460,38984,803740,1617.128,100971.978,0,0
16-12 22:12:27,0,0.250,99.240,0,0,991200,5577460,38984,803740,402.959,746.923,0,0
16-12 22:12:28,0.250,0.250,98.824,0,0,991200,5577460,38984,803740,393.299,1198.864,0,0
16-12 22:12:29,0.501,0,99.431,0,0,991192,5577460,38992,803740,1295.364,1442.633,0,60.110
16-12 22:12:30,0.500,0,99.010,0,0,991192,5577460,38992,803740,359.036,751.075,0,0
16-12 22:12:31,0.500,0,98.732,0,0,991192,5577460,38992,803740,1038.806,1814.661,0,0
16-12 22:12:32,0.250,0,98.891,0,0,991072,5577460,38992,803860,125436.089,122339.493,0,11.987
16-12 22:12:33,0.496,0.248,99.223,0,0,991072,5577460,38992,803860,165.703,618.160,0,0
16-12 22:12:34,0.252,0.504,99.040,0,0,991072,5577460,38992,803860,276.203,1156.224,0,0
16-12 22:12:35,0.501,0.501,98.858,0.250,0,991064,5577460,39000,803860,167.183,631.692,0,56.061
16-12 22:12:36,0.500,0,98.996,0,0,991064,5577460,39000,803860,166.994,630.977,0,4.000
16-12 22:12:37,0.500,0,99.247,0,0,991064,5577460,39000,803860,315.989,1188.959,0,0
16-12 22:12:38,0.250,0,99.253,0,0,991064,5577460,39000,803860,167.005,623.018,0,0
16-12 22:12:39,0.500,0.250,99.239,0,0,991064,5577460,39000,803860,166.981,622.929,0,0
16-12 22:12:40,0,0.249,99.115,0,0,991064,5577460,39000,803860,272.939,1142.559,0,0
16-12 22:12:41,0.753,0,99.145,0,0,991056,5577460,39008,803860,167.668,625.490,0,16.064
16-12 22:12:42,0,0,99.003,0,0,991056,5577460,39008,803860,209.007,673.024,0,0
16-12 22:12:43,0.500,0.250,99.249,0,0,991056,5577460,39008,803860,273.998,1146.990,0,4.000
16-12 22:12:44,0.250,0,99.253,0,0,991056,5577460,39008,803860,167.005,623.021,0,20.001
16-12 22:12:45,0.500,0.250,98.999,0,0,991056,5577460,39008,803860,166.999,622.995,0,0
16-12 22:12:46,0.250,0,99.255,0,0,991056,5577460,39008,803860,274.013,1147.055,0,0
16-12 22:12:47,0.500,0.250,99.488,0,0,991048,5577460,39016,803860,208.975,1226.853,0,23.997
16-12 22:12:48,0.500,0,99.013,0,0,991048,5577460,39016,803860,167.023,623.085,0,0
16-12 22:12:49,0.250,0,99.003,0,0,991048,5577460,39016,803860,1102.036,1964.064,0,84.003
16-12 22:12:50,0.250,0.250,99.247,0,0,991048,5577460,39016,803860,226.993,676.980,0,0
