"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu02",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_roadNet_fifo_new02.csv 1",,,,"Date:","16 Dec 2025 17:09:40 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 17:09:40,,992032,5302556,39604,1068828,,
16-12 17:09:41,0.500,0.250,99.012,0,0,992028,5302556,39604,1068832,2929.349,4085.487,0,0
16-12 17:09:42,0.250,0.250,98.757,0,0,992028,5302556,39612,1068824,1893.126,2615.174,0,52.003
16-12 17:09:43,0,0.500,99.251,0,0,989608,5304968,39612,1068832,299.004,845.010,0,0
16-12 17:09:44,0.750,0.250,98.751,0,0,989524,5305052,39612,1068832,403.005,769.010,0,0
16-12 17:09:45,0.250,0,98.995,0,0,989776,5304800,39612,1068832,416.981,1282.941,0,0
16-12 17:09:46,0.250,0,99.505,0,0,989748,5304800,39612,1068860,167.009,653.035,0,16.001
16-12 17:09:47,0.250,0,98.995,0,0,989748,5304800,39612,1068860,166.992,660.966,0,0
16-12 17:09:48,0.250,0.250,99.246,0,0,989740,5304800,39620,1068860,670.972,1410.940,0,39.998
16-12 17:09:49,0.250,0.250,99.005,0,0,989740,5304800,39620,1068860,329.016,757.036,0,0
16-12 17:09:50,4.000,3.500,90.498,0,0,1005416,5244000,39620,1113572,47881596.540,239730.971,0,12.000
16-12 17:09:51,0.750,0,98.749,0,0,1005416,5244000,39620,1113572,272.997,1182.986,0,32.000
16-12 17:09:52,0.500,0,99.005,0,0,1006676,5242740,39620,1113572,1871.096,2974.153,0,24.001
16-12 17:09:53,0.250,0.250,98.997,0,0,1006928,5242488,39620,1113572,770.975,1082.965,0,0
16-12 17:09:54,0.500,0,99.498,0,0,1006916,5242488,39632,1113572,314.993,1216.974,0,115.998
16-12 17:09:55,0,0,99.003,0,0,1006916,5242488,39632,1113572,361.010,735.020,0,4.000
16-12 17:09:56,0.500,0.250,98.992,0,0,1004528,5244876,39632,1113572,442.963,952.921,0,0
16-12 17:09:57,0.250,0.250,99.513,0,0,1004528,5244876,39632,1113572,273.036,1175.154,0,0
16-12 17:09:58,0.500,0,98.997,0,0,1004528,5244876,39632,1113572,226.994,706.980,0,12.000
16-12 17:09:59,0.500,0.250,98.748,0,0,1005380,5243896,39640,1113692,124713.705,2745.949,0,39.999
16-12 17:10:00,0,0,99.501,0,0,1005380,5243896,39640,1113692,1101.016,1992.028,0,0
16-12 17:10:01,4.249,3.000,92.236,0,0,994264,5209252,39640,1158240,6720.948,3367.473,0,0
