"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu02",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_stanford_capacity_02.csv 1",,,,"Date:","16 Dec 2025 18:13:22 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 18:13:22,,756540,5520104,45320,1077888,,
16-12 18:13:23,0.250,0,98.993,0,0,756536,5520104,45320,1077892,3046.776,4056.702,0,0
16-12 18:13:24,0.500,0.250,99.000,0,0,756536,5520104,45320,1077892,1023.000,1735.000,0,0
16-12 18:13:25,0,0.250,99.503,0,0,756536,5520104,45320,1077892,167.005,583.019,0,0
16-12 18:13:26,0.250,0,99.252,0,0,756536,5520104,45320,1077892,209.005,625.016,0,0
16-12 18:13:27,0.500,0.250,98.989,0.250,0,756528,5520104,45328,1077892,392.957,2322.745,0,31.996
16-12 18:13:28,0.500,0.999,96.694,0,0,759584,5502772,45328,1092168,15481486.848,50388.032,0,3.998
16-12 18:13:29,5.503,1.251,91.798,0,0,762164,5469752,45328,1122608,32409948.638,215052.582,0,20.011
16-12 18:13:30,0,0.247,98.552,0,0,762164,5469752,45328,1122608,269.721,1091.727,0,0
16-12 18:13:31,1.012,0,99.212,0,0,762164,5469752,45328,1122608,333.070,687.400,0,0
16-12 18:13:32,0.250,0,99.256,0,0,762164,5469752,45328,1122608,167.010,583.036,0,0
16-12 18:13:33,0,0,98.992,0,0,762156,5469752,45336,1122608,392.970,1158.911,0,67.995
16-12 18:13:34,0.250,0.500,99.254,0,0,762156,5469752,45336,1122608,301.011,691.024,0,4.000
16-12 18:13:35,0.500,0.500,99.252,0,0,762156,5469752,45336,1122608,287.005,637.011,0,0
16-12 18:13:36,0,0,99.255,0,0,762156,5469752,45336,1122608,381.018,1201.057,0,4.000
16-12 18:13:37,0.500,0,99.173,0,0,762156,5469752,45336,1122608,166.871,582.548,0,0
16-12 18:13:38,0.250,0,99.073,0,0,762156,5469752,45336,1122608,167.123,583.429,0,0
16-12 18:13:39,0.250,0,98.989,0,0,762148,5469752,45344,1122608,272.970,1104.877,0,19.998
16-12 18:13:40,0.500,0,99.509,0,0,762148,5469752,45344,1122608,167.016,583.056,0,8.001
16-12 18:13:41,0.250,0.250,98.980,0,0,762148,5469752,45344,1122608,268.947,678.865,0,0
16-12 18:13:42,0.500,0.500,99.268,0,0,762148,5469752,45344,1122608,273.049,1105.198,0,0
16-12 18:13:43,0.250,0,98.506,0,0,762028,5469752,45344,1122728,124353.233,2576.150,0,0
16-12 18:13:44,0.250,0,99.479,0,0,762028,5469752,45344,1122728,166.965,582.876,0,0
16-12 18:13:45,40.994,2.500,54.993,0,0,772080,5459672,45352,1122764,3718.495,2050.721,0,135.982
16-12 18:13:46,47.252,6.000,45.501,0,0,811684,5374812,45352,1167468,3175.104,2671.088,0,4.000
16-12 18:13:47,50.695,4.745,42.954,0,0,870312,5316096,45352,1167552,166.820,618.333,0,0
16-12 18:13:48,54.038,4.003,40.779,0,0,903228,5283084,45352,1167552,616.439,1159.825,0,0
16-12 18:13:49,64.042,3.502,28.769,0,0,943932,5242260,45352,1167672,922.599,4983.236,0,0
16-12 18:13:50,22.218,11.356,64.432,0.247,0,1495316,4690896,45364,1167672,2991.038,2307.711,0,244.892
16-12 18:13:51,66.050,3.290,28.343,0,0,1599896,4586316,45364,1167672,5216.197,1079.074,0,36.442
16-12 18:13:52,28.506,1.750,68.764,0,0,1647992,4538212,45364,1167680,9700.972,5964.213,0,24.005
16-12 18:13:53,34.010,1.250,63.769,0,0,1681004,4505200,45364,1167680,9583.834,6360.881,0,0
16-12 18:13:54,25.748,0.500,73.743,0,0,1681004,4505200,45364,1167680,4787.547,8839.163,0,7.999
16-12 18:13:55,26.488,0.250,72.468,0,0,1680996,4505200,45372,1167680,166.927,618.729,0,75.967
16-12 18:13:56,27.764,0.250,71.036,0,0,1680996,4505200,45372,1167680,382.193,1568.793,0,0
16-12 18:13:57,29.498,1.500,69.246,0,0,1670152,4501420,45372,1181956,396.980,1258.935,0,8.000
16-12 18:13:58,26.996,2.750,69.491,0,0,1673860,4462400,45372,1216324,19755.433,3571.536,0,3.999
16-12 18:13:59,5.752,1.751,91.526,0,0,827704,5308804,45372,1216124,520.149,4900.401,0,36.010
16-12 18:14:00,0.250,0.500,94.751,3.250,0,827692,5308804,45384,1216124,492.005,1776.020,0,44936.495
16-12 18:14:01,5.997,1.249,93.208,0,0,827944,5308552,45384,1216124,4103.169,4750.880,0,0
