"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_stanford_fair.csv 1",,,,"Date:","16 Dec 2025 21:55:13 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 21:55:13,,688924,5941076,37284,746760,,
16-12 21:55:14,2.001,3.501,93.781,0,0,689284,5940680,37284,746796,2944.963,4470.461,0,8.003
16-12 21:55:15,0.250,0.250,98.992,0,0,689508,5940456,37284,746796,2960.758,6132.498,0,0
16-12 21:55:16,0.250,0,98.739,0,0,689508,5940456,37284,746796,388.958,718.922,0,87.990
16-12 21:55:17,0.750,0.250,99.256,0,0,689508,5940456,37284,746796,394.025,1201.078,0,0
16-12 21:55:18,0.500,0,99.013,0,0,689508,5940456,37284,746796,167.022,631.083,0,0
16-12 21:55:19,0,0,98.991,0,0,689496,5940456,37296,746796,166.985,630.943,0,139.987
16-12 21:55:20,20.728,4.495,73.671,0,0,696640,5915940,37296,763824,18804358.034,17824883.348,0,0
16-12 21:55:21,20.522,6.757,71.076,0,0,702048,5882232,37296,791400,29131318.052,28084035.797,0,16.017
16-12 21:55:22,0.750,0.250,98.707,0,0,702688,5881476,37296,791512,104743.371,2295.000,0,0
16-12 21:55:23,0.250,0.250,98.767,0,0,702688,5881476,37296,791512,274.046,1155.193,0,0
16-12 21:55:24,6.502,1.500,92.021,0,0,706704,5877444,37308,791512,32420.538,45753686.373,0,100.023
16-12 21:55:25,0,0.250,99.254,0,0,706704,5877444,37308,791512,558.021,100564.697,0,32.001
16-12 21:55:26,0,0,99.246,0,0,706704,5877444,37308,791512,315.988,1188.953,0,0
16-12 21:55:27,0.750,0,99.249,0,0,706956,5877192,37308,791512,823.993,1137.990,0,0
