"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu02",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_stanford_fifo_new02.csv 1",,,,"Date:","16 Dec 2025 16:49:26 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 16:49:26,,1027464,5275636,37380,1064796,,
16-12 16:49:27,0.250,0.250,98.771,0.250,0,1027200,5275636,37516,1064920,2715.585,5049.088,136.029,0
16-12 16:49:28,0.250,0.250,99.003,0,0,1027200,5275636,37516,1064920,2903.086,7324.217,0,0
16-12 16:49:29,0.250,0,99.256,0,0,1027200,5275636,37516,1064920,317.019,796.048,0,0
16-12 16:49:30,0.750,0,99.493,0,0,1027200,5275636,37516,1064920,272.982,1173.921,0,0
16-12 16:49:31,0,0.748,98.752,0,0,1025256,5277580,37524,1064912,226.432,704.233,0,111.720
16-12 16:49:32,2.255,1.503,94.695,0,0,1016268,5265908,37524,1085096,21908740.332,20897306.903,0,4.008
16-12 16:49:33,2.501,2.251,93.534,0,0,1003592,5253380,37524,1109632,26158483.307,25068375.690,0,0
16-12 16:49:34,0.250,0,99.258,0,0,1003592,5253380,37524,1109632,167.014,652.054,0,0
16-12 16:49:35,0.750,0.500,98.998,0,0,1003592,5253380,37524,1109632,166.997,651.987,0,0
16-12 16:49:36,0.250,0,98.990,0,0,1003592,5253380,37524,1109632,332.966,1227.874,0,0
16-12 16:49:37,0.750,0,99.506,0,0,1003580,5253380,37532,1109632,167.010,652.038,0,224.013
16-12 16:49:38,0,0.250,98.999,0,0,1003580,5253380,37532,1109632,208.998,701.994,0,0
16-12 16:49:39,0.250,0,99.261,0,0,1003580,5253380,37532,1109632,407.046,1282.145,0,0
16-12 16:49:40,0.250,0,99.242,0,0,1003580,5253380,37532,1109632,226.981,651.947,0,0
16-12 16:49:41,0.750,0,99.002,0,0,1003580,5253380,37532,1109632,167.003,652.011,0,0
16-12 16:49:42,0.250,0,99.001,0,0,1003832,5253128,37532,1109632,124628.983,3149.025,0,0
16-12 16:49:43,0.250,0,99.506,0,0,1003700,5253128,37540,1109752,209.012,694.039,0,44.002
16-12 16:49:44,9.743,4.497,85.686,0,0,1018540,5192240,37540,1154536,7416.442,4133.902,0,0
16-12 16:49:45,54.025,5.002,39.268,0,0,1077848,5132808,37540,1154572,333.156,1264.592,0,0
16-12 16:49:46,49.732,3.499,44.983,0,0,1114856,5095792,37540,1154580,1311.518,4278.428,0,0
16-12 16:49:47,44.515,3.501,50.017,0,0,1158832,5051692,37540,1154700,1921.665,2995.037,0,0
16-12 16:49:48,42.941,10.985,44.938,0,0,1761112,4449412,37540,1154700,10214.993,6345.299,0,0
16-12 16:49:49,30.784,2.731,65.044,0,0,1833392,4377116,37552,1154700,5645.446,928.495,0,214.497
16-12 16:49:50,31.759,1.764,65.787,0,0,1889336,4321172,37552,1154700,4936.330,6380.126,0,56.461
16-12 16:49:51,27.007,0.250,72.518,0,0,1889336,4321172,37552,1154700,5079.287,1326.336,0,8.002
16-12 16:49:52,25.738,0.250,73.716,0,0,1889332,4321172,37552,1154704,4619.881,8520.092,0,0
16-12 16:49:53,29.995,0.500,68.989,0,0,1889332,4321172,37552,1154704,315.949,1504.757,0,0
16-12 16:49:54,28.021,2.001,69.052,0,0,1901112,4271288,37564,1191868,339.254,1343.004,0,76.057
16-12 16:49:55,9.251,2.500,88.011,0.250,0,1074112,5086520,37564,1203152,20222.510,7312.908,0,36.004
16-12 16:49:56,0,0,99.250,0,0,1071816,5088816,37564,1203152,286.999,2783.993,0,0
16-12 16:49:57,0.500,0,98.750,0,0,1065208,5095424,37564,1203152,391.001,1737.004,0,8.000
16-12 16:49:58,23.981,3.747,72.192,0,0,1092884,5067660,37564,1203236,3985.825,1634.698,0,0
16-12 16:49:59,47.028,3.252,47.778,0,0,1118064,5042460,37576,1203244,347.204,4214.477,0,164.096
16-12 16:50:00,58.984,3.749,35.490,0,0,1169604,4990800,37576,1203364,1369.625,2469.325,0,0
16-12 16:50:01,37.756,3.251,58.509,0,0,1174968,4969672,37576,1218744,615.097,1935.307,0,15746.494
16-12 16:50:02,64.162,6.715,23.874,0,0,1240564,4901088,37576,1221588,13767.525,2595831.037,0,19.895
16-12 16:50:03,55.302,4.776,37.706,0,0,1348028,4804604,37576,1210844,34062.796,5108930.724,0,0
16-12 16:50:04,1.750,1.000,96.501,0,0,1082180,5070716,37588,1210652,9937.126,9010.114,0,156.002
16-12 16:50:05,25.246,3.999,66.240,3.499,0,1107380,5045428,37588,1210740,3886.433,1539.775,0,44709.477
16-12 16:50:06,52.756,3.500,41.505,0,0,1128032,5024764,37588,1210752,352.042,1280.153,0,0
16-12 16:50:07,35.755,3.000,56.758,0.500,0,1131028,5021768,37588,1210752,1384.194,4280.600,0,8809.234
16-12 16:50:08,51.183,3.495,42.444,0,0,1161368,4991288,37588,1210876,507.335,2356.910,0,0
16-12 16:50:09,50.682,3.745,44.190,0.250,0,1198880,4941392,37600,1222912,1931.399,4325.175,0,12243.511
16-12 16:50:10,62.386,6.514,28.562,0,0,1283000,4866140,37600,1214256,26140.863,7683844.298,0,0
16-12 16:50:11,1.751,1.501,95.546,0,0,1071696,5077676,37600,1214060,15315.421,10343.012,0,4.002
16-12 16:50:12,25.494,3.749,69.234,0.750,0,1097456,5051824,37600,1214152,9175.903,10577.582,0,11461.380
16-12 16:50:13,53.243,4.499,37.995,2.500,0,1128912,5020372,37600,1214164,485.935,4307.426,0,45589.920
