"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_capacity_worker2_3G.csv 1",,,,"Date:","16 Dec 2025 19:48:07 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 19:48:07,,1033764,4472596,53512,1809624,,
16-12 19:48:08,0.250,0.250,98.966,0,0,1033760,4472596,53512,1809628,3345.853,4003.627,0,55.981
16-12 19:48:09,0.750,0,99.053,0,0,1033760,4472596,53512,1809628,3520.884,3903.089,0,0
16-12 19:48:10,0.250,0.250,99.006,0,0,1033760,4472596,53512,1809628,1337.087,1621.105,0,0
16-12 19:48:11,0.500,0.500,99.005,0,0,1033992,4472356,53520,1809628,2065.108,3337.175,0,48.003
16-12 19:48:12,0.750,0.500,98.500,0,0,1033984,4472356,53520,1809636,5615.011,1889.004,0,24.000
16-12 19:48:13,0.500,0.750,95.968,0,0,1022720,4475112,53520,1818048,9295395.048,8749140.280,0,0
16-12 19:48:14,5.001,6.502,86.521,0,0,1022560,4437932,53520,1854344,38755009.487,37138960.114,0,4.001
16-12 19:48:15,12.991,6.995,78.443,0,0,1035140,4379272,53520,1898980,21025.795,8156.102,0,0
16-12 19:48:16,44.727,5.747,46.476,0,0,1093496,4320932,53532,1899152,476.754,2075.929,0,283.854
16-12 19:48:17,68.017,4.751,25.006,0,0,1109124,4305308,53532,1899148,275.068,763.188,0,8.002
16-12 19:48:18,54.733,4.976,39.060,0,0,1149940,4264484,53532,1899156,391.093,3611.390,0,3.981
16-12 19:48:19,45.498,3.016,49.520,0,0,1182168,4232256,53532,1899156,5923.239,4682.486,0,386.101
16-12 19:48:20,51.213,4.747,43.469,0,0,1237100,4177320,53532,1899160,12749.767,3020.813,0,0
16-12 19:48:21,74.283,7.753,17.508,0,0,1321248,4093156,53540,1899164,11114.005,10667.804,0,128.058
16-12 19:48:22,60.245,3.750,32.997,0,0,1336116,4078288,53540,1899164,14132.874,13701.908,0,4.000
16-12 19:48:23,74.211,2.988,20.670,0,0,1343084,4071316,53540,1899168,226.119,664.413,0,7.969
16-12 19:48:24,63.019,3.766,32.388,0,0,1379696,4034580,53544,1899288,6901.478,130481.321,0,0
16-12 19:48:25,6.002,1.000,92.535,0,0,1383724,4030548,53544,1899292,5128.935,5402.038,0,0
16-12 19:48:26,21.994,1.750,75.229,0,0,1406656,4007616,53544,1899292,6639.189,10572.116,0,3.999
16-12 19:48:27,3.499,0.750,94.715,0,0,1406644,4007616,53552,1899296,5320.036,8593.827,0,79.970
16-12 19:48:28,3.252,0.250,95.555,0,0,1398832,4015428,53552,1899296,6183.557,8283.765,0,0
16-12 19:48:29,1.499,0.750,97.463,0,0,1398832,4015428,53552,1899296,5542.903,9989.220,0,0
16-12 19:48:30,2.500,0.250,96.507,0,0,1399084,4015176,53552,1899296,5801.448,8589.664,0,16.001
16-12 19:48:31,1.250,0.750,97.789,0,0,1399336,4014924,53552,1899296,5241.087,7962.170,0,4.002
16-12 19:48:32,1.250,0.500,96.996,0,0,1399336,4014924,53552,1899296,5334.795,7456.713,0,0
16-12 19:48:33,2.998,0.999,95.950,0,0,1400080,4014168,53560,1899300,4905.426,7773.920,0,31.983
