"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_capacity.csv 1",,,,"Date:","16 Dec 2025 19:15:26 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 19:15:26,,1040656,4560904,51408,1718212,,
16-12 19:15:27,0.500,0.500,98.805,0,0,1040656,4560904,51408,1718212,3394.879,4587.539,0,0
16-12 19:15:28,0.500,0,98.969,0,0,1040652,4560904,51408,1718216,2776.122,2880.089,0,11.996
16-12 19:15:29,0.500,0.250,98.757,0,0,1040648,4560904,51412,1718216,2285.169,2249.167,0,32.002
16-12 19:15:30,0.250,0,98.970,0,0,1040648,4560904,51412,1718216,338.896,1208.629,0,0
16-12 19:15:31,0.250,0,99.045,0,0,1040648,4560904,51412,1718216,167.075,623.282,0,0
16-12 19:15:32,0.750,0,98.974,0.250,0,1040648,4560904,51412,1718216,166.956,622.836,0,199.947
16-12 19:15:33,3.001,4.251,90.525,0,0,1052144,4504764,51412,1762816,47790041.834,142367.072,0,12.003
16-12 19:15:34,0.500,0,98.753,0,0,1052028,4504764,51412,1762932,107195.726,104012.645,0,0
16-12 19:15:35,34.476,8.433,55.559,0,0,1082532,4428224,51420,1807740,8627.443,4294.871,0,79.369
16-12 19:15:36,48.752,5.277,43.726,0,0,1110500,4400252,51420,1807740,274.418,1197.188,0,0
16-12 19:15:37,55.104,4.759,38.823,0,0,1145272,4365476,51420,1807744,1426.700,6312.947,0,0
16-12 19:15:38,49.248,3.500,45.998,0,0,1188616,4322132,51420,1807744,166.992,666.968,0,4691.776
16-12 19:15:39,52.270,4.002,42.016,0,0,1224900,4285844,51420,1807748,7831.013,4608.773,0,0
16-12 19:15:40,65.242,6.249,26.997,0.250,0,1323888,4186836,51432,1807752,9742.794,5658.300,0,267.967
16-12 19:15:41,57.433,3.995,35.958,0,0,1334976,4175748,51432,1807752,9475.943,5503.578,0,0
16-12 19:15:42,70.518,2.751,23.756,0.250,0,1336400,4174320,51432,1807756,4795.217,9162.325,0,4601.168
16-12 19:15:43,72.072,4.254,23.023,0,0,1366712,4143884,51432,1807880,6203.230,127134.690,0,0
16-12 19:15:44,3.752,0.750,90.300,4.252,0,1374020,4136576,51432,1807880,5284.929,5662.138,0,40178.266
16-12 19:15:45,51.692,5.494,42.203,0,0,1437640,4072852,51444,1807968,5846.446,11079.580,0,175.803
16-12 19:15:46,68.175,11.238,15.483,0,0,1507956,4002124,51452,1808060,6107.277,13200.468,0,0
16-12 19:15:47,84.471,9.747,3.999,0.250,0,1529220,3980728,51456,1808096,4564.447,7798.346,0,40134.343
16-12 19:15:48,86.652,7.012,5.510,0,0,1560460,3949480,51456,1808104,4729.297,9584.815,0,0
16-12 19:15:49,84.861,6.489,7.488,0,0,1595064,3914732,51460,1808108,15831.101,8555.005,0,0
16-12 19:15:50,86.664,7.243,5.245,0,0,1629164,3880488,51472,1808236,24315.001,25791.544,0,167.834
16-12 19:15:51,79.302,7.005,10.507,0,0,1648164,3861348,51472,1808356,20003.110,8804.771,0,8.005
16-12 19:15:52,78.886,8.014,11.770,0,0,1715180,3794328,51472,1808360,21911.773,27851.012,0,0
16-12 19:15:53,87.358,5.741,6.489,0,0,1765788,3743704,51472,1808376,6692.112,10756.499,0,0
16-12 19:15:54,65.097,4.757,28.292,0,0,1833320,3676168,51472,1808380,6300.364,9443.035,0,0
16-12 19:15:55,19.014,1.501,78.810,0,0,1836060,3673408,51476,1808396,5895.482,8946.801,0,76.058
16-12 19:15:56,17.250,2.500,78.001,0,0,1840000,3669460,51476,1808404,9207.110,12491.150,0,4.000
16-12 19:15:57,33.755,3.250,62.509,0,0,1854996,3654464,51476,1808404,4395384.954,33024.974,0,8.001
16-12 19:15:58,13.751,1.750,84.258,0,0,1854928,3654532,51476,1808404,6584666.073,6763.631,0,0
16-12 19:15:59,6.751,0.750,90.509,0,0,1854564,3654896,51476,1808404,8776492.660,7594.778,0,376.039
16-12 19:16:00,44.480,3.998,50.227,0,0,1902364,3607092,51476,1808404,6420013.853,6404.110,0,43.980
16-12 19:16:01,15.006,2.251,81.534,0,0,1903852,3605600,51476,1808408,5652091.959,5749.377,0,0
16-12 19:16:02,12.999,0.750,85.995,0,0,1904684,3604768,51476,1808408,6581455.284,6827.627,0,4.000
