"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fair_worker2_4G_32partition.csv 1",,,,"Date:","17 Dec 2025 15:23:55 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
17-12 15:23:55,,792932,4897360,34372,1685208,,
17-12 15:23:56,0.250,0.250,98.076,0.250,0,792928,4897360,34372,1685212,2989.302,3399.618,0,188.145
17-12 15:23:57,0.748,0.249,98.293,0,0,792928,4897360,34372,1685212,375.211,1120.643,0,0
17-12 15:23:58,0.251,0.251,98.482,0,0,792928,4897360,34372,1685212,167.394,504.188,0,0
17-12 15:23:59,0.750,0.250,98.276,0,0,792928,4897360,34372,1685212,167.044,503.133,0,0
17-12 15:24:00,0.500,0.250,98.405,0,0,792928,4897360,34372,1685212,273.736,1026.009,0,0
17-12 15:24:01,0.500,0.750,97.990,0,0,792920,4897360,34380,1685212,232.976,556.942,0,43.995
17-12 15:24:02,4.254,4.254,89.328,0.500,0,791548,4873084,34380,1710296,27089795.068,146918.629,0,4331.763
17-12 15:24:03,46.758,13.502,35.006,1.500,0,807980,4790912,34380,1774740,20841463.778,37736.317,16578.775,20507.433
17-12 15:24:04,45.124,7.978,42.132,0,0,853312,4745584,34380,1774736,286.201,599.328,0,0
17-12 15:24:05,38.552,4.256,54.824,0,0,870668,4728196,34380,1774768,647.870,764.026,0,0
17-12 15:24:06,60.920,4.993,32.707,0,0,887140,4711592,34392,1774780,527.304,4622.901,0,17217.284
17-12 15:24:07,60.119,5.865,31.526,0,0,930216,4668500,34392,1774780,333.345,704.815,0,3.910
17-12 15:24:08,48.860,3.326,44.511,0,0,952140,4646576,34392,1774780,5641.180,1193.110,0,53.209
17-12 15:24:09,62.717,4.198,30.371,0,0,972296,4626416,34392,1774784,7154.650,8887.016,0,19.753
17-12 15:24:10,69.298,6.481,19.692,0,0,1055456,4543256,34392,1774784,9986.838,653.093,0,0
17-12 15:24:11,72.304,7.383,16.803,1.782,0,1101060,4497644,34400,1774784,9434.150,13886.449,0,28754.604
17-12 15:24:12,39.265,3.001,55.771,0,0,1101252,4497420,34400,1774784,316.119,1113.419,0,0
17-12 15:24:13,34.879,3.986,59.792,0,0,1111080,4487592,34400,1774784,555.070,2165.470,0,3.986
17-12 15:24:14,75.228,2.388,16.956,0,0,1111584,4487088,34400,1774784,274.166,625.709,0,7.642
17-12 15:24:15,76.658,6.301,14.439,0,0,1114044,4484624,34400,1774788,1936.402,3329.897,0,8.401
17-12 15:24:16,68.817,6.256,21.521,0.250,0,1135428,4463232,34408,1774788,4649.537,5470.337,0,112.109
17-12 15:24:17,30.297,2.003,66.603,0,0,1143092,4455448,34408,1774908,6012.271,126047.363,0,0
17-12 15:24:18,33.992,2.999,62.235,0,0,1164652,4433776,34408,1774916,9356.746,116877.850,0,3.999
17-12 15:24:19,2.748,0.500,96.173,0,0,1164904,4433524,34408,1774916,5355.688,7958.592,0,3.997
17-12 15:24:20,4.254,0.500,93.587,0,0,1165156,4433272,34408,1774916,6426.984,9633.970,0,0
17-12 15:24:21,2.999,0.250,96.481,0,0,1165144,4433272,34416,1774916,6531.736,9386.184,0,55.989
17-12 15:24:22,2.250,0.500,96.008,0,0,1165144,4433272,34416,1774916,5043.424,7234.608,0,0
17-12 15:24:23,2.001,0.500,97.276,0,0,1165396,4433020,34416,1774916,5110.382,7363.992,0,0
17-12 15:24:24,2.000,0.750,96.482,0,0,1167664,4430752,34416,1774916,7515.611,10900.986,0,0
17-12 15:24:25,3.000,1.000,95.000,0,0,1178500,4419916,34416,1774916,4862.983,7605.973,0,4.000
17-12 15:24:26,2.249,0.250,96.475,0,0,1178496,4419916,34416,1774920,5709.501,7997.901,0,0
17-12 15:24:27,3.502,0.750,95.295,0,0,1178488,4419916,34424,1774920,6517.109,25931.370,0,40.019
17-12 15:24:28,1.500,0.500,96.992,0,0,1169004,4429400,34424,1774920,1645.863,2523.791,0,0
17-12 15:24:29,1.999,0.250,96.722,0,0,1168732,4429672,34424,1774920,2854.168,1788.478,0,0
17-12 15:24:30,0.750,0,98.241,0,0,1168956,4429448,34424,1774920,1214.890,2193.801,0,0
17-12 15:24:31,1.000,0.500,97.765,0,0,1168956,4429448,34424,1774920,3099.471,1897.289,0,4.001
17-12 15:24:32,0.999,0.499,98.137,0,0,1168952,4429448,34424,1774924,1517.246,1836.876,0,0
17-12 15:24:33,1.001,0.751,97.852,0.250,0,1168952,4429448,34432,1774916,1438.500,2346.446,0,44.046
17-12 15:24:34,1.250,0.500,96.279,1.000,0,1168940,4429448,34432,1774928,3161.938,1905.565,0,8610.555
17-12 15:24:35,1.000,0.500,96.999,0.750,0,1168940,4429448,34432,1774928,1458.988,1838.984,0,11271.904
17-12 15:24:36,1.000,0.250,97.961,0,0,1168940,4429448,34432,1774928,1094.568,2147.153,0,0
17-12 15:24:37,2.001,0.500,97.290,0,0,1168940,4429448,34432,1774928,2895.200,1789.742,0,68.028
17-12 15:24:38,1.000,0,97.497,0,0,1168928,4429448,34444,1774928,2927.911,1838.944,0,71.998
17-12 15:24:39,0.749,0.749,97.928,0,0,1168928,4429448,34444,1774928,1853.630,2890.864,0,3.997
17-12 15:24:40,1.750,0.500,97.524,0,0,1168928,4429448,34444,1774928,3014.753,1851.462,0,20.005
17-12 15:24:41,0.749,0.499,98.120,0,0,1168924,4429448,34444,1774932,1604.871,1890.492,0,0
17-12 15:24:42,1.002,0,98.194,0,0,1168924,4429448,34444,1774932,1157.282,2198.335,0,44.087
17-12 15:24:43,1.000,0.500,98.475,0,0,1168924,4429448,34444,1774932,1440.641,1818.547,0,3.999
17-12 15:24:44,0.500,0.250,97.768,0,0,1168916,4429448,34452,1774932,1339.252,1723.324,0,36.007
17-12 15:24:45,2.500,0.250,96.758,0,0,1168916,4429448,34452,1774932,1769.137,3005.233,0,4.000
17-12 15:24:46,1.000,0.250,97.985,0,0,1168916,4429448,34452,1774932,1398.783,1776.725,0,3.999
17-12 15:24:47,1.250,0.500,97.500,0,0,1168916,4429448,34452,1774932,2885.992,1788.995,0,152.000
17-12 15:24:48,0.750,0.500,98.001,0,0,1168916,4429448,34452,1774932,1383.009,2344.015,0,0
17-12 15:24:49,1.000,0.500,97.748,0,0,1168916,4429448,34452,1774932,3013.929,1850.957,0,4.000
17-12 15:24:50,1.500,0.250,98.247,0,0,1168908,4429448,34460,1774932,1398.964,1776.955,0,151.996
17-12 15:24:51,0.500,0.250,97.750,0,0,1168908,4429448,34460,1774932,1155.004,2194.007,0,4.000
17-12 15:24:52,1.250,0,97.755,0,0,1168908,4429448,34460,1774932,1413.079,1777.099,0,0
17-12 15:24:53,0.750,0.250,98.250,0,0,1168908,4429448,34460,1774932,1381.001,1765.001,0,0
17-12 15:24:54,1.250,0.250,98.003,0,0,1168908,4429448,34460,1774932,1444.037,2650.068,0,0
17-12 15:24:55,0.750,0.750,97.739,0,0,1168908,4429448,34472,1774920,1404.837,1854.784,0,295.966
17-12 15:24:56,1.000,0.500,98.021,0,0,1168896,4429448,34472,1774932,1459.306,1785.374,0,0
17-12 15:24:57,0.250,0.250,98.480,0,0,1168896,4429448,34472,1774932,1394.719,2259.545,0,0
17-12 15:24:58,1.250,0.500,97.522,0,0,1168896,4429448,34472,1774932,3056.686,1940.435,0,4.001
17-12 15:24:59,0.750,0.500,97.987,0,0,1168896,4429448,34472,1774932,3305.547,2017.724,0,0
17-12 15:25:00,1.000,0,97.980,0,0,1168896,4429448,34472,1774932,1214.750,2194.548,0,0
17-12 15:25:01,5.997,12.744,79.713,0,0,1175716,4422476,34480,1774960,1398.358,1777.185,0,39.982
17-12 15:25:02,7.251,19.003,71.512,0,0,1177028,4421124,34480,1774932,1459.247,1786.303,0,28.005
17-12 15:25:03,2.001,0.750,96.775,0,0,1176364,4421788,34480,1774932,1137.298,2191.574,0,0
17-12 15:25:04,2.000,0.750,96.007,0,0,1178096,4420024,34480,1774964,1393.095,1840.126,0,0
17-12 15:25:05,1.000,1.000,97.521,0,0,1178096,4420024,34480,1774964,1459.315,1786.386,0,0
