"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fair_worker2_4G_false.csv 1",,,,"Date:","17 Dec 2025 15:15:54 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
17-12 15:15:54,,661796,5030320,33724,1684276,,
17-12 15:15:55,0.250,0.500,98.763,0,0,661792,5030320,33724,1684280,4065.526,4539.588,0,8.001
17-12 15:15:56,0.750,0.500,98.759,0,0,661792,5030320,33724,1684280,4377.404,4053.374,0,0
17-12 15:15:57,0.500,0,98.481,0,0,661792,5030320,33724,1684280,3181.388,3463.334,0,19.996
17-12 15:15:58,0.250,0.250,99.000,0,0,661792,5030320,33724,1684280,165.000,502.001,0,0
17-12 15:15:59,0.250,0,99.000,0,0,661784,5030320,33732,1684280,231.000,555.999,0,44.000
17-12 15:16:00,0.250,0.500,99.003,0,0,661784,5030320,33732,1684280,272.009,1026.033,0,4.000
17-12 15:16:01,1.000,0,99.011,0,0,661784,5030320,33732,1684280,207.024,544.063,0,0
17-12 15:16:02,1.250,0.500,97.751,0,0,662004,5030096,33732,1684284,12272.179,3927.057,0,0
17-12 15:16:03,10.000,7.250,79.250,0,0,658588,4987776,33732,1728936,47902374.860,45891795.380,0,0
17-12 15:16:04,14.747,2.000,82.483,0.250,0,678488,4967868,33740,1728936,3766.219,1391.711,0,79.983
17-12 15:16:05,40.006,3.250,55.508,0,0,712004,4934352,33740,1728936,588.087,1231.182,0,0
17-12 15:16:06,50.220,7.246,40.476,0,0,710288,4897740,33740,1766212,4189.498,4482.323,0,3.998
17-12 15:16:07,50.769,8.003,38.264,0,0,761192,4839036,33740,1773752,108172.231,2812.046,0,4.001
17-12 15:16:08,50.029,5.227,40.820,0,0,783628,4816608,33740,1773744,224.012,1698.507,0,51.772
17-12 15:16:09,46.047,4.254,48.800,0,0,794040,4806052,33752,1773752,392.402,3417.498,0,248.254
17-12 15:16:10,58.403,3.760,36.847,0,0,806636,4793452,33752,1773756,225.592,601.578,0,0
17-12 15:16:11,33.757,3.751,61.263,0,0,830576,4769512,33752,1773756,15033.071,2046.418,0,0
17-12 15:16:12,47.712,5.246,45.714,0,0,861572,4738516,33752,1773756,14040.925,19593.546,0,7.994
17-12 15:16:13,46.065,2.241,49.551,0,0,865856,4734232,33752,1773756,1572.685,2988.003,0,7.968
17-12 15:16:14,47.861,5.513,45.355,0,0,937152,4662916,33752,1773760,1574.644,1481.428,0,8.019
17-12 15:16:15,58.845,5.759,33.304,0,0,991800,4608260,33760,1773760,404.652,1258.028,0,60.097
17-12 15:16:16,52.986,3.749,39.990,0,0,995580,4604480,33760,1773760,290.925,1165.699,0,0
17-12 15:16:17,50.663,2.995,44.923,0,0,996588,4603472,33760,1773760,512.120,2262.111,0,0
17-12 15:16:18,77.469,3.748,17.243,0,0,1005320,4594736,33760,1773764,271.890,1069.567,0,7.997
17-12 15:16:19,66.765,6.251,25.256,0,0,1038080,4561976,33760,1773764,4142.904,5407.180,0,0
17-12 15:16:20,32.102,1.756,64.203,0,0,1040936,4558980,33768,1773888,8638.321,129601.902,0,88.279
17-12 15:16:21,12.757,2.752,84.047,0,0,1072680,4527228,33768,1773896,6590.719,13455.593,0,276.156
17-12 15:16:22,4.497,0.750,93.690,0,0,1073180,4526724,33768,1773900,5325.570,7432.214,0,0
17-12 15:16:23,3.501,1.250,94.524,0,0,1065340,4534564,33768,1773900,55785.116,45751776.167,0,0
17-12 15:16:24,2.998,0.749,95.426,0,0,1069120,4530784,33768,1773900,5340.884,8815.207,0,3.997
17-12 15:16:25,4.755,0.501,93.606,0,0,1069612,4530280,33776,1773900,6180.012,8459.599,0,96.109
17-12 15:16:26,2.250,0.750,95.766,0,0,1069864,4530028,33776,1773900,4999.854,7200.229,0,4.001
17-12 15:16:27,1.997,0.999,96.367,0,0,1072732,4527160,33776,1773900,5439.498,8208.679,0,19.972
17-12 15:16:28,2.754,0.250,95.889,0,0,1072984,4526908,33776,1773900,6187.947,8592.423,0,0
17-12 15:16:29,1.748,0.749,97.136,0,0,1073208,4526684,33776,1773900,5702.305,7614.061,0,0
17-12 15:16:30,2.253,0.751,96.360,0,0,1074456,4525424,33784,1773900,4979.697,8100.268,0,44.050
17-12 15:16:31,1.750,0,97.485,0,0,1074872,4524932,33784,1773900,5303.198,7968.794,0,0
17-12 15:16:32,6.751,1.500,91.016,0,0,1085204,4514600,33784,1773900,6692.158,25789.464,0,0
17-12 15:16:33,3.000,1.250,91.990,3.750,0,1092252,4507544,33788,1773904,1629.822,2621.714,0,44595.138
17-12 15:16:34,0.750,0.250,98.482,0,0,1092252,4507544,33788,1773904,985.820,1622.703,0,0
17-12 15:16:35,1.750,0.250,93.274,3.751,0,1092240,4507544,33800,1773904,2977.752,1788.452,0,37005.347
17-12 15:16:36,2.000,1.000,96.484,0,0,1100304,4499480,33800,1773904,2959.505,2319.612,0,7.999
17-12 15:16:37,0.500,0.250,98.249,0,0,1100528,4499256,33800,1773904,1087.991,1784.985,0,0
17-12 15:16:38,1.250,0.250,97.504,0,0,1100528,4499256,33800,1773904,3037.122,1842.074,0,16.001
17-12 15:16:39,1.250,0.500,98.032,0,0,1100528,4499256,33800,1773904,1518.499,2300.757,0,0
17-12 15:16:40,0.750,0.500,96.712,1.000,0,1100520,4499256,33808,1773904,1106.570,1730.327,0,8056.867
17-12 15:16:41,1.500,0.750,97.275,0,0,1103260,4496516,33808,1773904,3152.795,2045.516,0,0
17-12 15:16:42,1.750,0.750,96.723,0,0,1111324,4488452,33808,1773904,2963.174,4479.751,0,3.999
17-12 15:16:43,0.750,0.500,97.740,0,0,1111324,4488452,33808,1773904,1337.865,1729.825,0,0
17-12 15:16:44,1.250,0.500,97.532,0,0,1111324,4488452,33808,1773904,2923.974,1788.596,0,0
17-12 15:16:45,1.499,0.999,97.186,0,0,1108896,4490872,33816,1773904,1433.061,2551.328,0,111.927
17-12 15:16:46,0.750,0,98.296,0,0,1108896,4490872,33816,1773904,993.460,1825.845,0,0
