"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fair_worker3_4G.csv 1",,,,"Date:","17 Dec 2025 14:35:03 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
17-12 14:35:03,,660344,5252580,30164,1471192,,
17-12 14:35:04,0.749,0.749,97.664,0,0,660340,5252580,30164,1471196,4339.157,5968.714,0,19.982
17-12 14:35:05,0.751,0.751,97.827,0,0,660340,5252580,30164,1471196,3890.080,6351.028,0,0
17-12 14:35:06,0.750,0.250,97.703,0.250,0,660328,5252580,30172,1471196,603.711,1419.321,0,231.889
17-12 14:35:07,0.750,0.500,98.290,0,0,660328,5252580,30172,1471196,269.109,722.293,0,0
17-12 14:35:08,0.500,0.250,98.492,0,0,660328,5252580,30172,1471196,166.986,625.946,0,39.997
17-12 14:35:09,20.931,3.738,72.014,0,0,669156,5222380,30172,1492032,22660827.422,55085.504,0,3.987
17-12 14:35:10,16.553,5.267,75.239,0,0,668516,5198440,30172,1515908,25231689.430,67584.029,0,0
17-12 14:35:11,10.740,0.749,87.416,0,0,670204,5196676,30172,1515984,3387.741,1378.674,75.927,0
17-12 14:35:12,42.950,3.746,52.189,0.250,0,692108,5174752,30180,1515996,381.556,1370.404,7.991,79.907
17-12 14:35:13,44.819,6.009,43.818,0,0,710460,5156164,30180,1516128,3221.965,3998.161,124.191,0
17-12 14:35:14,45.425,10.233,42.430,0,0,698296,5122184,30184,1560844,4127.145,2569.732,0,0
17-12 14:35:15,55.110,9.018,30.811,0,0,769376,5050928,30224,1560928,755.505,11561.031,0,4.008
17-12 14:35:16,75.774,6.231,14.955,0,0,787580,5032544,30224,1560924,226.325,1840.511,0,0
17-12 14:35:17,69.928,4.762,24.312,0,0,808552,5011628,30236,1560928,750.911,11892.272,0,244.623
17-12 14:35:18,71.656,6.741,20.473,0,0,854416,4965764,30236,1560928,273.641,1184.445,0,0
17-12 14:35:19,45.232,3.749,49.481,0,0,865756,4954424,30236,1560928,14972.114,10219.982,0,0
17-12 14:35:20,37.722,2.998,57.957,0,0,873820,4946360,30236,1560928,6157.381,7895.077,0,3.997
17-12 14:35:21,32.100,3.260,64.199,0,0,880620,4939556,30236,1560932,6566.398,2178.768,0,4.012
17-12 14:35:22,63.129,5.989,28.695,0,0,953696,4866476,30236,1560936,4655.082,8621.484,0,0
17-12 14:35:23,77.743,5.999,12.499,0,0,1004700,4815320,30248,1560936,298.972,925.912,0,31.997
17-12 14:35:24,50.952,3.996,44.208,0,0,1013016,4807004,30248,1560936,339.681,1316.763,0,19.981
17-12 14:35:25,62.423,4.494,27.716,0,0,1017812,4802216,30248,1560936,226.721,715.120,0,0
17-12 14:35:26,71.724,5.016,21.066,0.251,0,1029852,4789924,30248,1561188,2034.357,3572.163,232.727,0
17-12 14:35:27,29.540,2.503,66.589,0.501,0,1048592,4764780,30248,1567588,7080.496,127638.176,6296.444,252.338
17-12 14:35:28,16.501,1.750,80.505,0,0,1076296,4737060,30256,1567592,6029.378,6488.407,0,112.007
