"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu04",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_fifo_new04.csv 1",,,,"Date:","15 Dec 2025 22:09:07 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 22:09:07,,251844,6745460,29872,393208,,
15-12 22:09:08,0.250,0.250,99.251,0.250,0,251816,6745460,29880,393212,2742.017,3320.021,0,32.000
15-12 22:09:09,0.250,0,99.010,0,0,251816,6745460,29880,393212,2580.272,2866.303,0,0
15-12 22:09:10,0.750,0,99.249,0,0,251816,6745460,29880,393212,2129.980,2227.979,0,0
15-12 22:09:11,0.250,0,99.502,0,0,251816,6745460,29880,393212,254.005,412.009,0,0
15-12 22:09:12,0,0,98.985,0,0,251816,6745460,29880,393212,203.969,445.932,0,0
15-12 22:09:13,0,0.250,99.513,0,0,251816,6745460,29880,393212,102.013,380.050,0,4.001
15-12 22:09:14,0.500,0.250,99.250,0,0,251808,6745460,29888,393212,60.000,345.999,0,20.000
15-12 22:09:15,0.250,0.250,99.250,0,0,251808,6745460,29888,393212,60.000,346.001,0,0
15-12 22:09:16,0,0,99.501,0,0,251808,6745460,29888,393212,60.000,338.002,0,0
15-12 22:09:17,0.500,0,99.243,0,0,251808,6745460,29888,393212,119.991,391.971,0,0
15-12 22:09:18,0,0.250,99.508,0,0,251808,6745460,29888,393212,102.008,380.031,0,0
15-12 22:09:19,0.250,0,98.998,0,0,251808,6745460,29888,393212,59.999,337.994,0,4.000
15-12 22:09:20,0.250,0,99.753,0,0,251800,6745460,29896,393212,180.005,400.011,0,12.000
15-12 22:09:21,0,0.250,98.995,0,0,251800,6745460,29896,393212,59.997,345.984,0,0
15-12 22:09:22,0.750,0,99.250,0,0,251800,6745460,29896,393212,60.000,338.001,0,0
15-12 22:09:23,0,0,99.257,0,0,251800,6745460,29896,393212,102.007,380.028,0,0
15-12 22:09:24,0.500,0,99.488,0,0,251800,6745460,29896,393212,59.993,337.960,0,0
15-12 22:09:25,0.250,0.250,99.253,0,0,251800,6745460,29896,393212,60.002,338.009,0,4.000
15-12 22:09:26,0.250,0,99.254,0,0,251792,6745460,29904,393212,60.002,346.014,0,12.000
15-12 22:09:27,0.250,0.500,98.993,0,0,251792,6745460,29904,393212,59.996,345.976,0,0
15-12 22:09:28,0.250,0,99.505,0,0,251792,6745460,29904,393212,102.005,380.017,0,0
15-12 22:09:29,0.250,0,99.239,0,0,251792,6745460,29904,393212,59.994,337.964,0,0
15-12 22:09:30,0.250,0,99.005,0,0,251792,6745460,29904,393212,126.006,392.019,0,0
