"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_capacity_4G.csv 1",,,,"Date:","16 Dec 2025 19:35:57 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 19:35:57,,1055828,4543284,52508,1719340,,
16-12 19:35:58,0.750,0,99.290,0,0,1055824,4543284,52508,1719344,3240.309,4130.668,0,0
16-12 19:35:59,0,0.250,99.011,0,0,1055824,4543284,52508,1719344,2987.321,4391.471,0,0
16-12 19:36:00,0.750,0,98.489,0,0,1055824,4543284,52508,1719344,1862.787,2316.735,0,0
16-12 19:36:01,0.500,0.500,98.760,0,0,1055824,4543284,52508,1719344,167.017,631.065,0,12.001
16-12 19:36:02,0.500,0,99.240,0,0,1055824,4543284,52508,1719344,166.983,630.937,0,0
16-12 19:36:03,0,0,99.012,0,0,1055820,4543284,52512,1719344,315.037,1189.139,0,40.005
16-12 19:36:04,3.500,4.500,89.497,0,0,1052700,4501984,52512,1763692,47775551.035,139215.711,0,0
16-12 19:36:05,3.247,1.249,93.927,0,0,1059512,4485628,52512,1773192,111869.522,4968.159,0,0
16-12 19:36:06,36.250,6.500,55.501,0,0,1115152,4393328,52512,1808716,2591.027,2357.025,0,0
16-12 19:36:07,58.472,4.498,36.232,0,0,1126796,4381484,52512,1808864,575.720,2008.024,0,0
16-12 19:36:08,49.509,4.251,45.008,0.250,0,1181216,4327052,52524,1808864,395.072,3111.571,0,264.048
16-12 19:36:09,52.209,3.497,43.216,0,0,1209440,4298828,52524,1808864,1233.041,2852.782,0,3.997
16-12 19:36:10,44.527,5.003,49.781,0,0,1273444,4234820,52524,1808868,1895.165,2324.429,0,0
16-12 19:36:11,71.321,5.505,19.519,0,0,1330620,4177644,52524,1808868,13884.795,5543.507,0,0
16-12 19:36:12,62.441,4.746,30.971,0,0,1362872,4145388,52524,1808872,10341.293,9452.128,0,7.992
16-12 19:36:13,75.243,2.750,20.748,0,0,1363084,4145164,52532,1808876,5291.523,6192.442,0,79.993
16-12 19:36:14,58.270,4.251,36.762,0,0,1385324,4122792,52532,1809004,6140.058,126752.490,0,0
16-12 19:36:15,3.003,0.500,95.583,0,0,1385324,4122792,52532,1809004,5482.772,6212.408,0,4.003
16-12 19:36:16,37.472,2.748,58.957,0,0,1412284,4095828,52532,1809008,5732.774,10210.474,0,0
16-12 19:36:17,10.758,0.250,87.812,0,0,1414300,4093812,52532,1809008,5641.971,8218.784,0,8.006
16-12 19:36:18,3.500,0.750,94.747,0,0,1414292,4093812,52540,1809008,6406.778,8898.692,0,63.998
16-12 19:36:19,2.250,0,97.246,0,0,1414292,4093812,52540,1809008,5317.766,8012.648,0,0
16-12 19:36:20,2.750,1.000,95.998,0,0,1422104,4086000,52540,1809008,4868.915,7253.873,0,0
16-12 19:36:21,1.500,0,97.485,0,0,1422100,4086000,52540,1809012,5405.142,8535.645,0,7.999
16-12 19:36:22,2.000,0.500,97.024,0,0,1422100,4086000,52540,1809012,5385.332,7506.856,0,0
16-12 19:36:23,1.500,0,97.737,0,0,1422100,4086000,52540,1809012,5281.312,7999.957,0,0
