"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fair_worker3_default.csv 1",,,,"Date:","16 Dec 2025 22:30:00 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 22:30:00,,1019060,4669840,40552,1658164,,
16-12 22:30:01,0.750,0.250,99.017,0,0,1019048,4669840,40552,1658176,3047.536,4185.736,0,4.001
16-12 22:30:02,0.750,0.250,98.761,0,0,1019048,4669840,40552,1658176,3064.341,3945.439,0,0
16-12 22:30:03,0.250,0,99.003,0,0,1019048,4669840,40552,1658176,587.020,991.033,0,0
16-12 22:30:04,0.500,0.250,98.992,0,0,1019048,4669840,40552,1658176,578.955,934.927,0,15.999
16-12 22:30:05,0.250,0.250,99.002,0,0,1019048,4669840,40552,1658176,274.007,1147.028,0,40.001
16-12 22:30:06,0.750,0,98.987,0,0,1019040,4669840,40560,1658176,306.961,730.907,0,43.994
16-12 22:30:07,0.500,0,99.008,0,0,1019040,4669840,40560,1658176,167.014,631.054,0,4.000
16-12 22:30:08,2.250,3.999,90.484,0,0,1018436,4640688,40560,1687244,31614842.205,30072169.329,0,3.999
16-12 22:30:09,2.000,2.750,94.005,0,0,1023300,4619740,40560,1702892,16487305.310,56841339.243,0,0
16-12 22:30:10,0.750,0,99.013,0,0,1023540,4619500,40560,1702892,7671.041,4802743.939,0,0
16-12 22:30:11,0.250,0.250,99.004,0,0,1023532,4619500,40568,1702892,274.012,1155.052,0,76.003
16-12 22:30:12,0.750,0,98.988,0,0,1023532,4619500,40568,1702892,166.980,622.924,0,7.999
16-12 22:30:13,0.500,0.250,98.503,0,0,1024024,4619008,40568,1702892,1173.035,1386.041,0,0
16-12 22:30:14,0.500,0.500,98.496,0,0,1025756,4617244,40568,1702924,399.984,1274.949,0,0
16-12 22:30:15,0.750,0.500,98.507,0,0,1025756,4617244,40568,1702924,126680.379,122883.098,0,0
16-12 22:30:16,0,0,98.998,0,0,1025636,4617244,40568,1703044,298.994,696.986,0,12.000
16-12 22:30:17,15.995,5.498,78.475,0,0,1061572,4535256,40576,1747780,7954.458,5236.327,0,71.977
16-12 22:30:18,68.197,8.993,21.483,0,0,1137152,4459684,40576,1747772,3723.117,1546.802,0,67.947
16-12 22:30:19,83.770,7.502,8.502,0,0,1179736,4416856,40576,1747920,287.070,1918.467,0,4.001
16-12 22:30:20,82.945,6.746,9.494,0,0,1207416,4389136,40576,1747932,2122.586,5491.342,0,0
16-12 22:30:21,86.673,5.728,6.476,0,0,1281604,4314824,40576,1748052,1428.608,5551.050,0,0
16-12 22:30:22,87.336,5.772,6.776,0,0,1300116,4296176,40588,1748172,167.645,706.718,0,236.911
16-12 22:30:23,72.288,7.254,19.010,0,0,1335532,4260684,40588,1748172,10728.613,7309.824,0,0
16-12 22:30:24,46.288,3.753,49.291,0,0,1393492,4202724,40588,1748172,34303.272,15892.098,0,12.010
16-12 22:30:25,3.750,0,95.250,0,0,1394244,4201968,40588,1748176,14086.941,18586.922,0,0
16-12 22:30:26,1.250,0.500,97.997,0,0,1394244,4201968,40588,1748176,5039.858,6675.812,0,0
16-12 22:30:27,11.245,1.749,86.711,0,0,1398496,4197684,40596,1748200,1521.308,3128.578,0,47.978
16-12 22:30:28,3.249,0.750,95.468,0,0,1398496,4197684,40596,1748200,166.944,703.763,0,0
16-12 22:30:29,11.510,1.251,86.577,0,0,1402200,4193904,40596,1748216,1093.971,4356.866,0,12.011
16-12 22:30:30,27.243,3.499,68.732,0,0,1408128,4187660,40596,1748220,1101063.770,7984.917,0,11.997
16-12 22:30:31,22.006,1.751,74.772,0,0,1409580,4186208,40596,1748220,8778950.679,8168.383,0,0
16-12 22:30:32,29.460,3.246,66.660,0,0,1459324,4136464,40596,1748220,12224760.402,9587.100,0,0
16-12 22:30:33,31.791,1.502,65.586,0,0,1463700,4132080,40604,1748220,11907873.558,7275.488,0,56.073
16-12 22:30:34,21.000,2.500,76.000,0,0,1492120,4103660,40604,1748220,13162142.170,8534.050,0,20.000
16-12 22:30:35,19.184,2.741,77.236,0,0,1524348,4071432,40604,1748220,9838172.132,9890.171,0,0
16-12 22:30:36,68.246,4.767,25.341,0,0,1576592,4019188,40604,1748220,9910634.902,8048.995,0,4.014
16-12 22:30:37,59.000,2.250,38.250,0,0,1616532,3979240,40604,1748228,4126161.207,3389.990,0,0
16-12 22:30:38,69.246,1.250,28.748,0,0,1633484,3962280,40612,1748228,3556236.278,4717.695,0,27.998
16-12 22:30:39,62.994,2.500,30.747,3.750,0,1655456,3940300,40612,1748232,2195492.884,2375.757,0,30100.927
16-12 22:30:40,1.500,0.500,95.745,1.750,0,1655740,3940016,40612,1748232,2193806.648,1823.911,0,14607.285
16-12 22:30:41,1.000,0,98.256,0,0,1655740,3940016,40612,1748232,1097498.406,2556.150,0,0
16-12 22:30:42,83.221,2.249,13.745,0,0,1673380,3922376,40612,1748232,502100.027,7492.419,0,7.997
16-12 22:30:43,98.170,1.499,0.749,0,0,1678420,3917336,40612,1748232,166.864,703.427,0,3.997
16-12 22:30:44,98.103,1.502,0,0,0,1678660,3917088,40620,1748232,274.289,1229.293,0,13518.221
16-12 22:30:45,95.976,2.999,0,0,0,1679484,3915892,40620,1748232,42957.186,46950.180,0,0
16-12 22:30:46,88.282,3.001,8.503,0,0,1339000,4256928,40620,1748240,160351.368,37916.802,0,0
16-12 22:30:47,1.500,1.000,96.508,0,0,1026092,4570148,40620,1748092,826.067,5752.468,0,0
16-12 22:30:48,0.250,0,99.237,0,0,1026088,4570228,40620,1748044,166.978,630.918,0,127.983
16-12 22:30:49,0.500,0.250,95.001,4.000,0,1026076,4570228,40632,1748044,299.002,689.005,0,32124.232
