"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fifo_2.csv 1",,,,"Date:","15 Dec 2025 15:22:23 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 15:22:23,,951292,4375220,37368,2015392,,
15-12 15:22:24,0,0,98.759,0,0,951288,4375220,37368,2015396,10003.937,11534.081,0,0
15-12 15:22:25,0.250,0,99.013,0,0,951288,4375220,37368,2015396,14148.866,14676.936,0,44.006
15-12 15:22:26,0.500,0,99.239,0,0,951280,4375220,37376,2015396,2380.734,2776.690,0,47.995
15-12 15:22:27,0.500,0,99.493,0,0,951280,4375220,37376,2015396,278.981,1158.920,0,0
15-12 15:22:28,0.250,0.250,99.018,0,0,951280,4375220,37376,2015396,2047.375,2509.459,0,0
15-12 15:22:29,0,0,99.483,0,0,951280,4375220,37376,2015396,172.971,634.893,0,7.999
15-12 15:22:30,0.246,0.246,97.838,0,0,951280,4375220,37376,2015396,2668.483,4624.254,0,0
15-12 15:22:31,0.254,0.254,100.455,0,0,952208,4374044,37384,2015636,416643.702,399687.018,0,24.353
15-12 15:22:32,2.750,3.250,92.006,0,0,953976,4326656,37384,2060112,47604021.090,45493876.255,0,0
15-12 15:22:33,0,0,99.251,0,0,953976,4326656,37384,2060112,1291.013,2059.021,0,0
15-12 15:22:34,0.500,0,99.747,0,0,953976,4326656,37384,2060112,451.989,802.980,0,0
15-12 15:22:35,0.500,0.250,98.984,0,0,953976,4326656,37384,2060112,521.916,816.869,0,3.999
15-12 15:22:36,0,0.250,99.516,0,0,953976,4326656,37384,2060112,279.046,1159.192,0,0
15-12 15:22:37,0,0,99.249,0,0,953976,4326656,37392,2060104,232.998,688.993,0,55.999
15-12 15:22:38,0,0.500,99.243,0,0,953968,4326656,37392,2060112,214.986,676.956,0,0
15-12 15:22:39,0,0,99.499,0,0,953968,4326656,37392,2060112,338.996,1212.987,0,0
