"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fifo.csv 1",,,,"Date:","15 Dec 2025 14:38:20 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 14:38:20,,980536,4724020,33280,1647500,,
15-12 14:38:21,0.500,0.250,99.012,0,0,980532,4724020,33280,1647504,12066.515,13624.711,0,0
15-12 14:38:22,0,0,98.763,0,0,980524,4724020,33288,1647504,10908.403,11408.468,0,52.007
15-12 14:38:23,0.750,0.250,99.256,0,0,980524,4724020,33288,1647504,10595.691,12053.786,0,0
15-12 14:38:24,0,0,99.202,0,0,980524,4724020,33288,1647504,2561.941,3440.661,0,0
15-12 14:38:25,0.253,0.505,99.547,0,0,980524,4724020,33288,1647504,2307.268,2768.115,0,0
15-12 14:38:26,0.250,0,99.001,0,0,980524,4724020,33288,1647504,293.004,751.009,0,0
15-12 14:38:27,0,0,99.499,0,0,980516,4724020,33296,1647504,2582.963,3322.953,0,16.000
15-12 14:38:28,1.500,1.250,96.719,0,0,968584,4723504,33296,1659872,13639428.493,12985191.556,0,0
15-12 14:38:29,3.001,3.001,92.028,0,0,973448,4685280,33296,1692220,34393842.830,33006525.130,0,0
15-12 14:38:30,0,0,99.249,0,0,973448,4685280,33296,1692220,320.995,1208.983,0,0
15-12 14:38:31,0.500,0,99.253,0,0,973448,4685280,33296,1692220,293.008,689.018,0,0
15-12 14:38:32,0,0.250,99.743,0,0,973448,4685280,33296,1692220,172.987,642.953,0,43.997
15-12 14:38:33,0,0,98.997,0,0,973688,4685028,33304,1692220,278.990,1158.960,0,59.998
15-12 14:38:34,0.250,0.250,99.256,0,0,973688,4685028,33304,1692220,173.010,635.036,0,0
15-12 14:38:35,0.500,0,99.740,0,0,973688,4685028,33304,1692220,232.977,688.932,0,0
15-12 14:38:36,0.250,0,99.012,0,0,973688,4685028,33304,1692220,381.048,1255.158,0,0
15-12 14:38:37,0,0.500,99.247,0,0,973568,4685028,33304,1692340,124902.568,2695.926,0,16.000
15-12 14:38:38,0,0,99.500,0,0,973568,4685028,33304,1692340,172.999,634.998,0,12.000
15-12 14:38:39,19.986,6.495,72.698,0,0,1007708,4604976,33312,1737120,10983.219,5425.157,0,55.960
15-12 14:38:40,77.151,7.740,14.731,0,0,1114288,4498128,33312,1737220,352.547,4210.586,0,19.974
15-12 14:38:41,86.350,6.508,6.257,0,0,1145420,4466880,33312,1737240,469.546,4321.028,0,0
15-12 14:38:42,81.019,4.751,14.003,0,0,1181204,4431096,33312,1737240,3418.791,4649.075,0,0
15-12 14:38:43,84.978,4.999,9.747,0,0,1234132,4377924,33312,1737480,19357.912,5719.497,0,0
15-12 14:38:44,74.253,7.000,18.001,0,0,1304288,4307684,33324,1737480,27848.950,27196.927,0,672.023
15-12 14:38:45,55.045,2.252,41.784,0,0,1368288,4243676,33324,1737488,10195.328,6353.189,0,0
15-12 14:38:46,0.500,0,99.498,0,0,1368284,4243676,33324,1737492,5389.878,9074.794,0,0
15-12 14:38:47,9.991,1.249,88.417,0,0,1371524,4240400,33324,1737524,2594.559,4549.720,0,3.996
15-12 14:38:48,59.748,4.730,34.604,0,0,1391632,4220284,33324,1737532,7461.553,530454.381,0,0
15-12 14:38:49,68.585,3.479,27.583,0,0,1394960,4216944,33332,1737536,3322.879,3654392.390,0,47.711
15-12 14:38:50,50.056,3.539,44.747,0,0,1403720,4208184,33332,1737536,4741.675,4251963.854,0,242.696
15-12 14:38:51,49.238,4.499,45.739,0,0,1444312,4167588,33332,1737540,5425.639,5776585.492,0,0
15-12 14:38:52,58.667,2.746,38.945,0,0,1485036,4126860,33332,1737544,3228.405,3670826.515,0,3.994
15-12 14:38:53,59.073,3.755,36.295,0,0,1518124,4093772,33332,1737544,3937.865,4737223.679,0,0
15-12 14:38:54,52.495,2.750,43.746,0.250,0,1548076,4063808,33340,1737548,3970.630,3677221.176,0,31.997
15-12 14:38:55,41.258,3.501,55.011,0,0,1583996,4027888,33340,1737548,5344.096,5777938.501,0,12.002
15-12 14:38:56,59.263,2.501,37.508,0,0,1613420,3998460,33340,1737552,3363.720,3153398.209,0,0
15-12 14:38:57,92.750,0.750,6.000,0,0,1622784,3989096,33340,1737552,838.996,526471.274,0,0
15-12 14:38:58,76.209,1.494,22.165,0,0,1623184,3988696,33340,1737552,1612.839,1570822.530,0,0
15-12 14:38:59,86.088,0.753,12.549,0,0,1626580,3985292,33340,1737556,1121.408,529831.497,0,4.016
15-12 14:39:00,75.738,1.750,22.497,0,0,1629356,3982496,33348,1737568,8913.643,779940.242,0,39.994
15-12 14:39:01,95.360,1.747,2.746,0,0,1640948,3970904,33348,1737568,473.304,1168.283,0,44654.367
15-12 14:39:02,92.137,0.751,7.010,0,0,1651496,3960352,33348,1737572,1735.584,3191.753,0,0
15-12 14:39:03,27.006,2.751,66.016,3.751,0,1321832,4290028,33348,1737624,198659.743,14329.372,0,41041.657
15-12 14:39:04,0.250,0,99.002,0,0,1322048,4289864,33348,1737572,677.013,5787.109,0,0
15-12 14:39:05,23.494,0.250,76.231,0,0,1322284,4289612,33360,1737572,1238.691,1714.573,0,187.953
15-12 14:39:06,30.757,0.250,68.015,0,0,1322284,4289612,33360,1737572,677.145,1633.349,0,4.001
