"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_fifo_w03.csv 1",,,,"Date:","15 Dec 2025 16:54:22 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 16:54:22,,934816,4379228,43684,2021136,,
15-12 16:54:23,0.250,0.250,99.502,0,0,934812,4379228,43684,2021140,8595.183,9534.203,0,0
15-12 16:54:24,0.500,0,98.503,0,0,934812,4379228,43684,2021140,10533.348,11102.367,0,0
15-12 16:54:25,0.500,0,99.261,0,0,934812,4379228,43684,2021140,5547.608,6038.661,0,0
15-12 16:54:26,0.500,0.250,98.996,0,0,934812,4379228,43684,2021140,1276.948,1807.927,0,0
15-12 16:54:27,0,0,98.998,0,0,934812,4379228,43684,2021140,2688.935,3419.918,0,0
15-12 16:54:28,0.250,0.250,99.497,0,0,934812,4379228,43692,2021132,2736.916,3085.906,0,103.997
15-12 16:54:29,2.250,1.750,94.487,0,0,932112,4361264,43692,2041392,22041879.817,20832385.128,0,0
15-12 16:54:30,3.750,2.500,93.761,0,0,932960,4335364,43692,2065740,25974963.177,25153882.895,0,0
15-12 16:54:31,26.247,6.999,64.743,0,0,987816,4234360,43692,2110664,8745.113,4338.560,0,0
15-12 16:54:32,55.440,4.995,38.458,0,0,1018560,4203620,43692,2110660,406.561,4253.410,0,0
15-12 16:54:33,46.013,4.251,48.263,0,0,1088088,4134068,43704,2110664,399.111,1300.363,0,232.065
15-12 16:54:34,51.049,3.503,45.294,0,0,1091616,4130540,43704,2110664,6412.168,3179.058,0,4.004
15-12 16:54:35,53.108,4.987,40.891,0,0,1185832,4036320,43704,2110668,11120.277,6550.491,0,0
15-12 16:54:36,69.626,4.759,24.294,0,0,1229928,3992220,43704,2110672,9610.340,5991.811,0,0
15-12 16:54:37,72.220,2.999,23.740,0,0,1246280,3975868,43704,2110672,4620.052,8780.299,0,7.997
15-12 16:54:38,72.051,3.740,23.435,0,0,1282376,3939636,43712,2110796,6126.109,126657.772,0,91.747
15-12 16:54:39,4.769,0.502,94.120,0,0,1282376,3939636,43712,2110796,5367.111,6166.255,0,4.016
15-12 16:54:40,23.252,1.250,74.256,0,0,1307824,3914184,43712,2110800,5713.452,10007.791,0,8.001
15-12 16:54:41,2.249,0,97.476,0,0,1307824,3914184,43712,2110800,5436.660,7806.076,0,0
15-12 16:54:42,1.750,0.500,97.488,0,0,1307824,3914184,43712,2110800,4974.385,8227.982,0,35.996
15-12 16:54:43,1.500,0.250,97.779,0,0,1307820,3914184,43712,2110804,4864.443,7311.169,0,4.001
15-12 16:54:44,1.750,0,97.749,0,0,1307812,3914184,43720,2110804,5662.969,8463.953,0,56.000
15-12 16:54:45,2.500,0.500,96.735,0,0,1307812,3914184,43720,2110804,5965.106,8448.733,0,0
15-12 16:54:46,1.250,0,97.753,0,0,1307812,3914184,43720,2110804,5438.166,8068.247,0,24.001
15-12 16:54:47,1.250,0.750,97.740,0,0,1307812,3914184,43720,2110804,4987.475,7254.237,0,0
15-12 16:54:48,1.250,0,98.019,0,0,1307812,3914184,43720,2110804,5227.992,8485.609,0,0
15-12 16:54:49,1.500,0.250,97.766,0,0,1307812,3914184,43720,2110804,5240.858,7961.304,0,0
15-12 16:54:50,1.500,0,97.994,0.250,0,1307804,3914184,43728,2110804,5327.663,8097.487,0,23.998
15-12 16:54:51,1.500,0.750,97.254,0,0,1307804,3914184,43728,2110804,5346.243,8484.386,0,0
15-12 16:54:52,1.750,0,97.736,0,0,1307804,3914184,43728,2110804,4868.313,7253.977,0,3.999
15-12 16:54:53,2.500,0.500,96.517,0,0,1308280,3913708,43728,2110804,8322.426,28021.802,0,0
15-12 16:54:54,1.000,0,98.500,0,0,1308280,3913708,43728,2110804,1835.999,3186.998,0,0
15-12 16:54:55,0.500,0.250,98.750,0,0,1308280,3913708,43728,2110804,1150.004,3005.012,0,0
15-12 16:54:56,1.000,0.250,98.242,0,0,1308280,3913708,43736,2110796,2911.771,1917.849,0,19.998
15-12 16:54:57,0.500,0,99.249,0,0,1308268,3913708,43736,2110808,1093.990,2268.980,0,0
15-12 16:54:58,0.500,0.250,98.746,0,0,1308268,3913708,43736,2110808,1047.962,1790.936,0,4.000
15-12 16:54:59,0.500,0,99.008,0,0,1308268,3913708,43736,2110808,1174.100,1845.157,0,236.020
15-12 16:55:00,0.250,0,99.003,0,0,1308268,3913708,43736,2110808,3146.086,2496.068,0,0
15-12 16:55:01,1.000,0.750,98.216,0,0,1308768,3913208,43736,2110808,1029.642,1410.509,0,0
15-12 16:55:02,0.750,0.250,94.023,4.751,0,1308736,3913208,43748,2110812,402.100,1332.332,0,44867.182
15-12 16:55:03,0.500,0,98.760,0,0,1308736,3913208,43748,2110812,3147.329,2496.261,0,0
15-12 16:55:04,5.498,11.496,77.225,4.748,0,1311832,3910004,43748,2110844,1760.420,2501.175,0,44737.249
15-12 16:55:05,1.250,0.250,97.524,0,0,1303776,3918068,43748,2110812,988.248,1745.437,0,4.001
15-12 16:55:06,1.250,0.250,98.002,0,0,1304000,3917844,43748,2110812,3129.060,2484.047,0,0
15-12 16:55:07,0.750,0.250,98.495,0.250,0,1304220,3917592,43776,2110812,987.952,1744.914,0,519.975
15-12 16:55:08,0.750,0.250,98.760,0,0,1304220,3917592,43776,2110812,1602.157,2556.251,0,0
15-12 16:55:09,0.250,0.250,98.752,0,0,1304220,3917592,43776,2110812,3087.063,2442.050,0,124.003
15-12 16:55:10,1.000,0,98.498,0,0,1304724,3917088,43776,2110812,987.975,1736.956,0,4.000
15-12 16:55:11,0.250,0.500,98.997,0,0,1304692,3917088,43776,2110844,1029.969,1786.946,0,4.000
15-12 16:55:12,0.500,0,99.211,0,0,1304692,3917088,43776,2110844,1093.576,2260.123,0,0
15-12 16:55:13,1.501,0.250,98.042,0,0,1304684,3917088,43784,2110844,988.421,1737.740,0,40.017
15-12 16:55:14,0.250,0.500,98.751,0,0,1304684,3917088,43784,2110844,988.013,1745.022,0,0
15-12 16:55:15,0.750,0,98.748,0,0,1304684,3917088,43784,2110844,3031.943,2441.954,0,0
15-12 16:55:16,0.500,0,98.749,0,0,1304684,3917088,43784,2110844,1029.993,1786.988,0,4.000
15-12 16:55:17,0.750,0.250,98.749,0,0,1304684,3917088,43784,2110844,987.989,2298.974,0,16.000
15-12 16:55:18,0.750,0.250,98.744,0,0,1304684,3917088,43784,2110844,1159.934,2400.862,0,0
15-12 16:55:19,1.250,0.250,98.243,0,0,1304676,3917088,43792,2110844,1047.925,1798.872,0,23.998
15-12 16:55:20,1.000,0,98.483,0,0,1304676,3917088,43792,2110844,987.829,1744.699,0,0
15-12 16:55:21,0.250,0,99.026,0,0,1304676,3917088,43792,2110844,1136.296,2312.603,0,0
15-12 16:55:22,1.750,0.250,97.749,0,0,1304676,3917088,43792,2110844,3102.966,2018.978,0,4.000
15-12 16:55:23,0.250,0.250,99.005,0,0,1304676,3917088,43792,2110844,988.046,1746.082,0,0
15-12 16:55:24,1.000,0,98.755,0,0,1304676,3917088,43792,2110844,1094.051,2262.106,0,0
15-12 16:55:25,0.750,0.500,98.501,0,0,1304668,3917088,43800,2110844,2981.044,1919.028,0,20.000
15-12 16:55:26,0.250,0.250,98.743,0,0,1304664,3917088,43800,2110848,1029.922,1787.865,0,0
15-12 16:55:27,0.250,0.250,99.506,0,0,1304664,3917088,43800,2110848,1214.079,2316.151,0,0
15-12 16:55:28,0.750,0,98.737,0,0,1304664,3917088,43800,2110848,987.869,1737.770,0,3.999
15-12 16:55:29,0.500,0,99.012,0,0,1304664,3917088,43800,2110848,3022.368,1919.233,0,0
15-12 16:55:30,0.500,0.250,99.002,0.250,0,1304664,3917088,43808,2110840,1094.025,2270.053,0,24.001
15-12 16:55:31,0.500,0,98.491,0,0,1304656,3917088,43808,2110848,1029.908,1787.841,0,0
15-12 16:55:32,0.250,0,99.252,0,0,1304656,3917088,43808,2110848,1048.025,1792.043,0,168.004
15-12 16:55:33,1.000,0.500,98.745,0,0,1304656,3917088,43808,2110848,1093.947,2261.890,0,19.999
15-12 16:55:34,0.750,0.250,98.756,0,0,1304656,3917088,43808,2110848,3022.174,1919.110,0,4.000
15-12 16:55:35,0.500,0,98.983,0,0,1304656,3917088,43808,2110848,987.827,1745.694,0,11.998
15-12 16:55:36,0.250,0,99.006,0,0,1304648,3917088,43816,2110848,1094.065,2262.135,0,24.001
15-12 16:55:37,0.500,0.500,98.765,0,0,1304648,3917088,43816,2110848,3165.494,2007.313,0,0
15-12 16:55:38,0.500,0,98.500,0,0,1304648,3917088,43816,2110848,1601.997,2557.995,0,8.000
15-12 16:55:39,0.500,0,99.251,0,0,1304648,3917088,43816,2110848,1094.013,2262.027,0,0
15-12 16:55:40,1.000,0.250,98.969,0,0,1304648,3917088,43816,2110848,987.687,1745.448,0,3.999
15-12 16:55:41,0.250,0,99.028,0,0,1304648,3917088,43816,2110848,3063.851,1919.533,0,4.001
15-12 16:55:42,0.500,0.250,98.751,0,0,1304640,3917088,43824,2110848,1196.008,2358.015,0,36.000
15-12 16:55:43,0.500,0.250,98.737,0,0,1304640,3917088,43824,2110848,1047.865,1799.768,0,7.999
15-12 16:55:44,0.750,0,99.006,0,0,1304640,3917088,43824,2110848,3105.183,2383.140,0,0
15-12 16:55:45,0.250,0,98.757,0,0,1304640,3917088,43824,2110848,1094.074,2270.153,0,0
15-12 16:55:46,2.000,3.500,93.996,0,0,1307668,3914064,43832,2110840,987.961,1737.932,0,95.996
15-12 16:55:47,0.750,0,98.251,0,0,1307688,3914064,43832,2110852,3207.022,2015.014,0,0
15-12 16:55:48,0.750,0.500,99.250,0,0,1307688,3914064,43832,2110852,1160.000,2402.001,0,24.000
15-12 16:55:49,0.750,0,98.742,0,0,1307688,3914064,43832,2110852,987.923,1745.864,0,0
15-12 16:55:50,0.250,0.250,99.009,0,0,1307688,3914064,43832,2110852,988.090,1746.160,0,0
15-12 16:55:51,0.500,0,98.747,0,0,1307688,3914064,43832,2110852,1153.966,2315.932,0,4.000
15-12 16:55:52,0.500,0.250,98.999,0,0,1307676,3914064,43844,2110852,3247.974,1952.984,0,91.999
15-12 16:55:53,0.500,0,98.976,0,0,1307676,3914064,43844,2110852,987.764,1737.585,0,0
15-12 16:55:54,0.500,0,99.282,0,0,1307676,3914064,43844,2110852,1218.397,2322.757,0,0
15-12 16:55:55,0.500,0.250,98.749,0,0,1307676,3914064,43844,2110852,1047.994,2909.984,0,0
15-12 16:55:56,0.250,0.500,98.992,0,0,1307676,3914064,43844,2110852,3145.731,1910.837,0,0
15-12 16:55:57,0.750,0.250,99.001,0,0,1307676,3914064,43844,2110852,1322.019,2412.034,0,0
15-12 16:55:58,0.500,0.250,98.254,0,0,1307668,3914064,43852,2110852,1048.039,1800.067,0,32.001
15-12 16:55:59,0.750,0,98.497,0,0,1307668,3914064,43852,2110852,3246.918,1972.950,0,0
15-12 16:56:00,0.750,0.250,99.005,0,0,1307668,3914064,43852,2110852,1094.053,2270.111,0,0
15-12 16:56:01,0.750,0.250,98.734,0,0,1307668,3914064,43852,2110852,1807.705,2556.583,0,0
15-12 16:56:02,0.750,0,98.515,0,0,1307668,3914064,43852,2110852,3229.479,1961.291,0,0
15-12 16:56:03,0.250,0,98.997,0,0,1307660,3914064,43860,2110852,1093.970,2269.937,0,23.999
15-12 16:56:04,0.500,0.250,99.005,0,0,1307660,3914064,43860,2110852,988.047,1738.082,0,24.001
15-12 16:56:05,0.250,0.250,98.725,0,0,1307660,3914064,43860,2110852,3186.186,1918.510,0,0
15-12 16:56:06,0.750,0.250,99.274,0,0,1307660,3914064,43860,2110852,1094.262,2262.542,0,12.003
15-12 16:56:07,1.000,0.250,98.495,0,0,1307660,3914064,43860,2110852,1029.945,1787.904,0,83.996
15-12 16:56:08,0.500,0.250,98.754,0,0,1307656,3914064,43860,2110856,3842.157,2731.111,0,0
15-12 16:56:09,0.250,0.250,98.727,0,0,1307648,3914064,43868,2110856,1093.742,2269.465,0,23.994
15-12 16:56:10,0.750,0,99.258,0,0,1307648,3914064,43868,2110856,988.084,1738.148,0,4.000
15-12 16:56:11,0.750,0,98.266,0,0,1307888,3913824,43868,2110856,3228.526,2481.404,0,0
15-12 16:56:12,0.500,0.250,99.501,0,0,1307856,3913824,43868,2110888,1136.013,2312.027,0,0
15-12 16:56:13,1.000,0,98.500,0,0,1307856,3913824,43868,2110888,987.997,1745.995,0,4.000
15-12 16:56:14,0,0.250,98.995,0,0,1307856,3913824,43868,2110888,3268.838,1918.905,0,8.000
15-12 16:56:15,0.250,0,99.258,0.250,0,1307840,3913824,43880,2110888,1094.083,2262.171,0,64.005
15-12 16:56:16,1.000,0,98.742,0,0,1307840,3913824,43880,2110888,987.919,1737.857,0,4.000
15-12 16:56:17,0,0.500,99.247,0,0,1307840,3913824,43880,2110888,1047.971,1799.950,0,187.995
15-12 16:56:18,0.500,0,99.010,0,0,1307840,3913824,43880,2110888,1202.121,2436.246,0,0
15-12 16:56:19,0.750,0,98.989,0,0,1307840,3913824,43880,2110888,987.892,1745.810,0,15.998
15-12 16:56:20,0.250,0,98.760,0,0,1307840,3913824,43880,2110888,3618.352,2101.205,0,0
15-12 16:56:21,0.750,0.250,98.742,0,0,1307832,3913824,43888,2110888,1213.900,2315.810,0,23.998
15-12 16:56:22,0.500,0.250,99.006,0,0,1307828,3913824,43888,2110892,988.059,1746.105,0,4.000
15-12 16:56:23,0.250,0.250,98.995,0,0,1307828,3913824,43888,2110892,3412.826,2014.897,0,0
15-12 16:56:24,0.250,0,98.991,0,0,1307828,3913824,43888,2110892,1154.898,2261.799,0,0
15-12 16:56:25,3.250,0.500,96.496,0,0,1307828,3913824,43888,2110892,1048.956,1791.925,0,0
15-12 16:56:26,0.500,0,98.501,0,0,1307828,3913824,43888,2110892,3353.038,1919.022,0,0
15-12 16:56:27,0.500,0,99.497,0,0,1307828,3913824,43896,2110884,1094.967,2269.932,0,23.999
15-12 16:56:28,0.500,0,98.769,0,0,1307820,3913824,43896,2110892,1031.198,1780.342,0,4.001
15-12 16:56:29,0.750,0.250,98.972,0,0,1307820,3913824,43896,2110892,3414.047,1918.464,0,0
15-12 16:56:30,0.500,0.250,98.766,0,0,1307820,3913824,43896,2110892,1095.174,2270.361,0,0
15-12 16:56:31,0.750,0,98.508,0,0,1307820,3913824,43896,2110892,989.082,1746.145,0,0
15-12 16:56:32,1.000,0.500,98.001,0,0,1305004,3911556,43896,2115852,5307189.636,13971.183,0,0
15-12 16:56:33,1.750,1.250,95.991,0,0,1306740,3898200,43904,2127204,12313686.546,30898.040,0,47.995
15-12 16:56:34,0.750,0.250,99.254,0,0,1306548,3898200,43904,2127344,1205.051,1800.076,0,28.001
15-12 16:56:35,0,0,98.998,0,0,1306548,3898200,43904,2127344,1048.979,1799.964,0,0
15-12 16:56:36,3.500,1.250,94.509,0,0,1307352,3882084,43904,2142296,16194522.592,38398.525,0,20.002
15-12 16:56:37,2.250,1.250,95.240,0,0,1312908,3859656,43904,2158840,17819573.140,46059.012,0,0
15-12 16:56:38,1.000,0.250,97.966,0,0,1312348,3857136,43912,2161660,2747959.812,10451.371,0,35.988
15-12 16:56:39,0.250,0.250,98.798,0,0,1312348,3857136,43912,2161660,3496.712,2444.197,0,56.027
15-12 16:56:40,0.500,0.250,99.001,0,0,1312348,3857136,43912,2161660,989.014,1738.025,0,4.000
15-12 16:56:41,0.500,0,98.998,0,0,1312348,3857136,43912,2161660,988.979,1745.962,0,0
15-12 16:56:42,0.500,0,98.989,0,0,1312348,3857136,43912,2161660,3554.606,2488.724,0,39.996
15-12 16:56:43,0.500,0,98.760,0.250,0,1312340,3857136,43920,2161660,1031.106,1780.182,0,56.006
15-12 16:56:44,10.992,1.249,87.186,0,0,1312784,3856660,43920,2161692,12212.969,31778.502,0,3.997
15-12 16:56:45,27.018,2.001,69.796,0,0,1329068,3840308,43920,2161760,11011.203,188565.348,0,0
15-12 16:56:46,1.750,0.500,97.753,0,0,1307900,3861348,43920,2161884,5356.144,13510.363,0,4.000
15-12 16:56:47,0,0,98.992,0,0,1298676,3870572,43920,2161884,582.955,1011.922,0,0
15-12 16:56:48,0.500,0,98.995,0,0,1298676,3870572,43920,2161884,374.983,1225.944,0,0
