"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_stanford_capacity.csv 1",,,,"Date:","15 Dec 2025 01:23:32 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 01:23:32,,970192,4917796,55484,1431904,,
15-12 01:23:33,0.250,0,98.768,0,0,970192,4917796,55484,1431904,3213.588,4636.849,0,0
15-12 01:23:34,0.500,0.500,98.986,0,0,970188,4917796,55484,1431908,3256.528,6129.111,0,0
15-12 01:23:35,0.250,0,98.983,0,0,970188,4917796,55484,1431908,2626.544,2923.493,0,0
15-12 01:23:36,0.500,0,99.266,0,0,970188,4917796,55484,1431908,315.052,1150.191,0,0
15-12 01:23:37,0,0.250,99.022,0,0,970188,4917796,55492,1431900,1184.263,1546.344,0,44.010
15-12 01:23:38,0.749,0,98.809,0,0,970180,4917796,55492,1431908,166.679,582.876,0,3.992
15-12 01:23:39,0.250,0,99.424,0,0,970180,4917796,55492,1431908,345.606,1164.040,0,0
15-12 01:23:40,0.250,0.250,98.751,0,0,970180,4917796,55492,1431908,233.003,638.008,0,0
15-12 01:23:41,7.746,6.496,81.453,0,0,969448,4874760,55492,1474616,46020380.656,120647.553,0,0
15-12 01:23:42,1.501,0.751,97.071,0,0,971888,4870224,55500,1476624,1843500.368,10548.750,0,60.044
15-12 01:23:43,0.250,0.250,99.237,0,0,971888,4870224,55500,1476624,166.978,583.924,0,19.997
15-12 01:23:44,0,0,99.241,0,0,971888,4870224,55500,1476624,166.985,583.948,0,4.000
15-12 01:23:45,0.500,0,98.752,0,0,971888,4870224,55500,1476624,273.005,1108.019,0,0
15-12 01:23:46,0.250,0.250,99.250,0,0,971888,4870224,55500,1476624,209.000,626.000,0,0
15-12 01:23:47,0.500,0,99.258,0,0,971888,4870224,55500,1476624,173.015,584.049,0,0
15-12 01:23:48,0.249,0.498,98.920,0,0,971880,4870224,55508,1476624,331.894,1158.140,0,15.947
15-12 01:23:49,0.752,0.251,98.823,0,0,971760,4870224,55508,1476744,125325.695,2455.026,0,12.039
15-12 01:23:50,0.250,0,98.972,0,0,971760,4870224,55508,1476744,166.953,583.837,0,3.999
15-12 01:23:51,29.980,11.742,56.711,0,0,979976,4815728,55536,1521536,8672.103,6341.688,0,0
15-12 01:23:52,65.138,15.166,17.652,0,0,1025988,4769388,55560,1521616,3666.627,1492.706,0,0
15-12 01:23:53,79.880,11.806,7.285,0,0,1050176,4745196,55560,1521616,167.798,660.141,0,0
