"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_stanford_fifo.csv 1",,,,"Date:","15 Dec 2025 13:57:42 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 13:57:42,,933324,5684736,30108,762560,,
15-12 13:57:43,0.750,0.500,99.023,0,0,933320,5684736,30108,762564,5274.202,6414.462,0,0
15-12 13:57:44,0,0.250,98.489,0,0,933320,5684736,30108,762564,5314.420,5784.368,0,0
15-12 13:57:45,0.750,0,98.744,0,0,933320,5684736,30108,762564,1706.891,2586.835,0,0
15-12 13:57:46,0.250,0.250,99.008,0,0,933312,5684736,30116,762564,173.014,643.051,0,32.003
15-12 13:57:47,0.500,0.500,98.980,0,0,933312,5684736,30116,762564,172.966,634.875,0,0
15-12 13:57:48,0,0,99.209,0,0,933312,5684736,30116,762564,338.861,1212.501,0,19.992
15-12 13:57:49,0.750,0,99.063,0,0,933312,5684736,30116,762564,275.176,731.469,0,0
15-12 13:57:50,1.998,3.246,92.885,0,0,930424,5657016,30116,792428,32070082.483,86966.699,0,0
15-12 13:57:51,5.257,1.502,91.618,0,0,928724,5643480,30116,807280,15793152.168,48215.948,0,52.067
15-12 13:57:52,18.502,7.751,72.258,0,0,933980,5592144,30124,852092,9551.058,5191.575,0,64.007
15-12 13:57:53,41.210,5.245,50.950,0,0,977332,5548800,30124,852084,472.538,3997.089,0,0
15-12 13:57:54,49.252,3.750,38.002,0,0,995688,5530404,30124,852092,649.026,3751.151,0,0
15-12 13:57:55,44.876,3.740,48.367,0,0,1048104,5477988,30124,852092,379.952,1941.642,0,0
15-12 13:57:56,47.379,3.242,47.379,0,0,1060928,5465164,30124,852092,1190.957,2390.891,0,3.990
15-12 13:57:57,45.961,5.246,45.462,0,0,1124416,5401660,30136,852096,16320.202,7970.261,0,203.828
15-12 13:57:58,66.933,5.284,25.163,0,0,1189180,5336896,30136,852096,9746.102,8741.598,0,0
15-12 13:57:59,63.474,3.499,30.488,0,0,1193716,5332360,30136,852096,4848.039,5453.794,0,3.998
15-12 13:58:00,72.020,3.751,17.755,0,0,1207264,5318808,30136,852100,847.239,2325.656,0,0
15-12 13:58:01,57.794,5.254,28.772,0,0,1230264,5295680,30136,852224,5781.444,125996.851,0,0
15-12 13:58:02,6.246,0.500,92.438,0,0,1234036,5291900,30144,852224,5560.241,5930.991,0,99.932
15-12 13:58:03,59.824,8.226,29.164,0,0,1298444,5227008,30144,852404,7507.949,15323.993,0,0
15-12 13:58:04,74.493,9.531,12.541,0,0,1388888,5136540,30144,852408,5041.431,9830.038,0,0
15-12 13:58:05,81.255,5.500,3.250,0,0,1399724,5125704,30144,852408,4672.289,12359.764,0,0
15-12 13:58:06,73.199,8.244,13.241,0,0,1434264,5090996,30144,852424,7407.836,11039.304,0,0
15-12 13:58:07,79.557,6.750,5.786,0,0,1473816,5051432,30156,852424,18702.236,7087.833,0,142.721
15-12 13:58:08,84.402,7.012,4.675,0,0,1509100,5015900,30156,852668,23148.592,22141.996,0,0
15-12 13:58:09,74.416,7.741,13.235,0,0,1537976,4986960,30156,852672,18224.446,14859.241,0,7.991
15-12 13:58:10,70.759,6.251,20.503,0,0,1596884,4928048,30156,852676,12895.579,21774.666,0,0
15-12 13:58:11,51.062,3.504,40.799,0,0,1656564,4868336,30156,852708,5583.737,7617.191,0,4.005
15-12 13:58:12,2.999,1.000,95.204,0,0,1656564,4868336,30156,852708,5163.521,8197.065,0,0
15-12 13:58:13,27.522,2.502,67.553,0,0,1662752,4862048,30168,852748,7440.881,11897.403,0,72.057
15-12 13:58:14,4.000,1.000,94.251,0,0,1662752,4862048,30168,852748,8269.047,29075.166,0,8.000
