"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_fifo.csv 1",,,,"Date:","15 Dec 2025 14:46:21 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 14:46:21,,1492408,4916908,33892,960436,,
15-12 14:46:22,8.589,3.190,82.459,3.190,0,1330900,5078596,33892,960420,21180.061,188230.234,0,62083.416
15-12 14:46:23,1.275,0,100.187,0,0,1300724,5108772,33892,960420,14984.638,18982.920,0,5135.259
15-12 14:46:24,0.500,0.500,98.740,0,0,1300964,5108520,33904,960420,9584.042,11475.853,0,163.984
15-12 14:46:25,0.250,0.250,99.266,0,0,1300960,5108520,33904,960424,611.099,1073.174,0,4.001
15-12 14:46:26,0.250,0,99.499,0,0,1300960,5108520,33904,960424,1338.984,1800.979,0,0
15-12 14:46:27,0.500,0.500,98.998,0,0,1306156,5148840,33904,915560,757.988,1488.977,0,4.000
15-12 14:46:28,1.000,1.250,96.755,0,0,969824,5485412,33904,915476,1849.089,5270.254,0,0
15-12 14:46:29,1.249,1.000,96.953,0,0,976812,5559672,33916,836516,10267066.415,32104.442,0,163.921
15-12 14:46:30,2.501,3.001,93.042,0,0,983324,5517204,33916,871924,37629439.481,220599.177,0,0
15-12 14:46:31,0,0,99.235,0,0,983324,5517204,33916,871924,486.927,1178.824,0,0
15-12 14:46:32,0.250,0,99.505,0,0,983324,5517204,33916,871924,173.009,635.033,0,0
15-12 14:46:33,0.750,0.250,98.754,0,0,990512,5605908,33916,778376,350.014,1159.048,0,4.000
15-12 14:46:34,0,0,99.498,0,0,990512,5605908,33916,778376,172.997,642.988,0,0
15-12 14:46:35,0,0,99.255,0,0,990500,5605908,33928,778376,293.014,689.033,0,160.008
15-12 14:46:36,0.500,0.500,99.246,0,0,990500,5605908,33928,778376,320.988,1200.954,0,0
15-12 14:46:37,0,0,99.000,0,0,990500,5605908,33928,778376,173.001,635.003,0,20.000
15-12 14:46:38,0,0,99.501,0,0,990204,5606084,33928,778496,124099.050,2750.023,0,0
15-12 14:46:39,0.250,0.250,99.253,0,0,990204,5606084,33928,778496,279.008,1159.032,0,4.000
15-12 14:46:40,9.486,4.493,84.876,0,0,1010708,5539824,33928,823044,7102.610,3875.331,0,0
15-12 14:46:41,53.067,4.756,40.551,0.250,0,1050668,5499756,33940,823280,215.270,721.906,0,216.271
15-12 14:46:42,46.487,3.999,48.986,0,0,1095772,5454648,33940,823284,1303.628,2454.299,0,91.974
15-12 14:46:43,44.011,4.251,51.263,0,0,1142252,5408028,33940,823404,2137.531,5424.349,0,0
15-12 14:46:44,40.754,3.250,55.005,0,0,1225132,5325148,33940,823404,2062.205,1822.181,0,0
15-12 14:46:45,38.480,1.749,59.969,0,0,1225132,5325148,33940,823404,352.820,1256.358,0,3.998
15-12 14:46:46,54.019,1.000,43.765,0,0,1228900,5321368,33952,823404,9955.425,1288.443,0,132.045
15-12 14:46:47,25.504,0.500,74.011,0,0,1228896,5321368,33952,823408,14080.061,13275.943,0,336.049
15-12 14:46:48,27.705,0.736,71.345,0,0,1228464,5317840,33952,827368,4701.443,5823.357,0,27.459
15-12 14:46:49,31.358,2.040,66.285,0,0,1235740,5265676,33952,871044,407.910,1536.800,0,0
15-12 14:46:50,39.249,1.000,58.748,0,0,1235740,5265676,33952,871044,298.991,2034.938,0,0
15-12 14:46:51,28.755,0.500,71.263,0,0,1235740,5265676,33952,871044,671.125,2097.391,0,4.001
15-12 14:46:52,29.005,0.250,70.011,0,0,1235728,5265676,33960,871044,400.065,1562.255,0,64.010
15-12 14:46:53,26.996,0.500,71.989,0.500,0,1235728,5265676,33960,871044,238.964,732.889,0,5351.188
15-12 14:46:54,25.253,0.250,71.758,2.000,0,1235728,5265676,33960,871044,569.062,1559.171,0,19406.130
15-12 14:46:55,28.494,1.750,68.485,0,0,1241964,5209480,33960,919756,279.940,1453.691,0,0
15-12 14:46:56,30.654,0.981,67.439,0,0,1241960,5209480,33960,919760,315.861,1468.458,0,7.847
15-12 14:46:57,25.504,0.510,74.216,0,0,1241952,5209480,33968,919760,678.405,1578.184,0,77.532
15-12 14:46:58,26.735,0.500,69.211,2.998,0,1241952,5209480,33968,919760,279.843,1455.186,0,37598.957
15-12 14:46:59,24.999,0,72.748,1.500,0,1241952,5209480,33968,919760,232.995,732.984,0,20267.552
15-12 14:47:00,25.257,0.500,74.020,0,0,1241952,5209480,33968,919760,503.137,1427.389,0,0
15-12 14:47:01,25.250,1.250,73.750,0,0,1241960,5177476,33968,951068,321.998,1497.991,0,0
15-12 14:47:02,31.257,1.250,66.015,0,0,1241376,5133628,33976,994404,173.040,679.157,0,136.031
15-12 14:47:03,24.001,3.000,67.502,5.250,0,1241240,5090536,33976,1036432,279.006,1203.028,0,72913.680
15-12 14:47:04,23.794,2.208,71.628,0,0,1252068,5038120,33976,1077100,274.737,1435.502,0,30244.640
15-12 14:47:05,28.274,1.528,71.830,0,0,1245804,5004100,33976,1116408,176.265,691.813,0,0
15-12 14:47:06,9.007,2.752,88.319,0,0,1134348,5262108,33976,973292,20710.125,8279.446,0,0
15-12 14:47:07,0.250,0,99.247,0,0,1121916,5274540,33976,973292,404.987,874.972,0,0
15-12 14:47:08,23.293,2.942,72.331,0,0,1102064,5294292,33988,973380,3794.558,1485.850,0,156.921
15-12 14:47:09,50.212,4.078,44.859,0,0,1111888,5284460,33988,973388,522.001,3040.250,0,4.078
15-12 14:47:10,50.008,4.001,45.257,0,0,1129408,5266820,33988,973508,1538.253,4383.721,0,0
15-12 14:47:11,37.343,9.211,49.044,3.983,0,1131456,5110860,33988,1123596,1379.218,3574.018,0,65262.417
15-12 14:47:12,74.567,7.281,17.073,0,0,1159580,5184464,33992,1024424,30774.913,7853030.914,0,84877.057
15-12 14:47:13,34.007,3.251,61.513,0,0,1150604,5178864,34004,1038676,53920.292,14464315.160,0,184.039
15-12 14:47:14,31.495,4.499,62.490,0.750,0,1153048,5161700,34004,1052980,57797.395,14660694.583,0,7538.747
15-12 14:47:15,29.755,4.001,64.761,0.750,0,1147736,5152012,34004,1067612,46420.553,15046815.237,0,17382.828
15-12 14:47:16,28.752,3.250,66.755,0,0,1142160,5143332,34004,1081576,42262.023,14327289.888,0,0
15-12 14:47:17,32.501,3.500,64.003,0,0,1133364,5138224,34004,1095172,41188.708,13806504.666,0,0
15-12 14:47:18,31.235,3.248,65.218,0,0,1131288,5126460,34012,1108580,41228.784,13799668.374,0,55.973
15-12 14:47:19,8.003,2.251,88.788,0,0,969680,5439740,34012,960596,191989.227,2054361.867,0,32.014
15-12 14:47:20,0.250,1.000,95.746,2.750,0,968164,5441088,34012,960764,410936.663,6309.765,0,68241.453
15-12 14:47:21,7.250,5.250,85.750,0,0,966004,5355584,34012,1046432,47480301.614,238638.254,0,4.000
15-12 14:47:22,40.732,6.247,51.727,0,0,1039504,5278020,34028,1050108,2647.825,3033.654,0,0
15-12 14:47:23,53.727,4.248,41.482,0.250,0,1065944,5251560,34040,1050108,292.876,2993.730,0,271.885
15-12 14:47:24,49.265,3.751,46.264,0,0,1115056,5202448,34040,1050108,1504.454,4376.321,0,0
15-12 14:47:25,49.209,3.997,46.711,0,0,1189644,5127856,34040,1050112,1898.435,2333.077,0,0
15-12 14:47:26,76.549,5.754,17.261,0,0,1250620,5157304,34040,961864,18347.748,13270.497,0,0
15-12 14:47:27,66.759,3.500,28.254,0,0,1294088,5159292,34040,916996,6063.807,1672.223,0,12.002
15-12 14:47:28,45.275,2.251,51.528,0,0,1300192,5153048,34052,917124,8723.811,128800.030,0,204.113
15-12 14:47:29,1.500,0.750,97.999,0,0,1304724,5148512,34052,917128,1667.979,2609.967,0,20.000
15-12 14:47:30,44.981,4.998,48.729,0,0,1340888,5112252,34052,917224,2127.093,4475.091,0,0
15-12 14:47:31,50.485,4.249,43.987,0,0,1372100,5081016,34052,917232,1245.621,4207.718,0,0
15-12 14:47:32,54.040,4.753,40.280,0,0,1426384,5026612,34052,917352,1102.808,1904.396,0,0
15-12 14:47:33,45.721,4.747,48.969,0.250,0,1540684,4912216,34064,917352,3729.647,3627.711,0,175.889
15-12 14:47:34,37.753,1.000,59.755,0,0,1542420,4910480,34064,917352,5819.518,1783.159,0,388.035
15-12 14:47:35,46.258,2.000,51.258,0,0,1546956,4905944,34064,917352,10445.694,6645.078,0,0
15-12 14:47:36,45.247,1.250,53.496,0,0,1546956,4905944,34064,917352,10553.253,7203.490,0,0
15-12 14:47:37,27.012,0.250,72.031,0,0,1547208,4905692,34064,917352,5813.532,9673.213,0,0
15-12 14:47:38,29.502,0.250,69.505,0,0,1547460,4905440,34064,917352,994.071,1783.128,0,0
15-12 14:47:39,32.736,0.750,66.222,0,0,1548204,4904684,34076,917352,1099.532,2252.041,0,63.973
15-12 14:47:40,30.507,2.251,67.015,0,0,1553384,4840928,34076,975056,1404.313,2139.477,0,12.003
15-12 14:47:41,28.989,1.999,68.474,0,0,1554392,4839920,34076,975056,1807.323,2535.051,0,3.999
15-12 14:47:42,41.526,0.750,57.035,0,0,1554644,4839668,34076,975056,1160.713,2308.418,0,44.027
15-12 14:47:43,25.734,0.250,73.454,0,0,1554644,4839668,34076,975056,1325.176,1789.888,0,0
15-12 14:47:44,26.507,0.250,73.019,0,0,1554636,4839668,34076,975060,348.089,1294.331,0,0
15-12 14:47:45,28.760,2.001,68.523,0,0,1566296,4769108,34084,1032624,1220.411,2307.777,0,72.024
15-12 14:47:46,27.250,1.250,70.750,0.250,0,1566576,4768628,34084,1032716,1060.002,1783.003,0,468.001
15-12 14:47:47,43.249,0.750,55.499,0,0,1566572,4768628,34084,1032720,1053.975,1782.957,0,0
15-12 14:47:48,26.999,0.250,72.497,0,0,1566572,4768628,34084,1032720,1141.957,2294.914,0,0
15-12 14:47:49,26.002,0.500,73.256,0,0,1569132,4760564,34084,1038224,994.083,2193.184,0,0
15-12 14:47:50,25.985,1.999,69.210,2.499,0,1572532,4704116,34092,1089796,1217.298,1951.875,0,24633.802
15-12 14:47:51,36.751,1.750,56.252,4.250,0,1572780,4703868,34092,1089796,1100.044,2253.089,0,44781.773
15-12 14:47:52,27.261,0,71.529,0,0,1572780,4703868,34092,1089796,1259.518,1891.779,0,0
15-12 14:47:53,25.752,0.750,74.005,0,0,1572780,4703868,34092,1089796,1218.086,1953.138,0,0
15-12 14:47:54,25.002,1.750,72.755,0,0,1568056,4647924,34092,1149008,1202.084,2349.164,0,0
15-12 14:47:55,30.247,4.250,50.995,13.499,0,1580640,4576612,34104,1206120,1053.892,1728.823,0,141433.506
15-12 14:47:56,23.751,3.250,69.004,4.000,0,1577728,4514496,34104,1269380,1218.075,1953.120,0,51775.187
15-12 14:47:57,24.250,2.750,72.750,0,0,1585936,4444156,34104,1329948,1099.995,2252.990,0,4.000
15-12 14:47:58,24.242,2.749,72.475,0,0,1586660,4381952,34104,1389604,1727.413,2640.103,0,3.999
15-12 14:47:59,8.253,3.251,88.281,0,0,1329816,4878228,34104,1155540,3321.155,24092.382,0,0
15-12 14:48:00,0.750,0,98.504,0.250,0,1329804,4878228,34116,1155540,1269.050,2855.113,0,192.008
