"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu02",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_fifo_new02.csv 1",,,,"Date:","15 Dec 2025 22:09:02 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 22:09:02,,665412,6104640,31984,615188,,
15-12 22:09:03,0.250,0.250,99.247,0,0,665384,6104640,31992,615192,3014.911,4557.866,0,31.999
15-12 22:09:04,0,0,98.997,0,0,665384,6104640,31992,615192,2986.912,6099.821,0,0
15-12 22:09:05,0.500,0,99.493,0,0,665384,6104640,31992,615192,1126.921,1527.893,0,0
15-12 22:09:06,0.250,0.500,99.005,0,0,665384,6104640,31992,615192,273.014,1150.059,0,0
15-12 22:09:07,0.250,0,99.510,0,0,665384,6104640,31992,615192,167.016,636.061,0,0
15-12 22:09:08,0,0,99.496,0,0,665384,6104640,31992,615192,166.994,627.976,0,4.000
15-12 22:09:09,0.500,0.250,99.005,0,0,665376,6104640,32000,615192,435.022,1246.063,0,20.001
15-12 22:09:10,0,0,99.744,0,0,665376,6104640,32000,615192,166.991,635.965,0,0
15-12 22:09:11,0.250,0,99.257,0,0,665376,6104640,32000,615192,167.012,628.044,0,12.001
15-12 22:09:12,0.250,0,99.245,0,0,665376,6104640,32000,615192,272.986,1149.941,0,0
15-12 22:09:13,0.250,0,99.003,0,0,665376,6104640,32000,615192,167.006,628.021,0,4.000
15-12 22:09:14,0.250,0,99.749,0.250,0,665368,6104640,32008,615192,208.999,669.996,0,24.000
15-12 22:09:15,1.500,0.750,96.727,0,0,667992,6096604,32008,620468,5713242.564,17354.940,0,0
15-12 22:09:16,3.751,1.500,93.269,0,0,675140,6072160,32008,637344,18096963.763,50927.476,0,0
15-12 22:09:17,3.000,1.500,94.992,0,0,671380,6064348,32008,648592,12038382.916,33270.261,0,0
15-12 22:09:18,5.750,0.750,92.008,0,0,679020,6045196,32008,659784,11921064.193,34559.984,0,0
15-12 22:09:19,0.750,0.750,97.746,0,0,679120,6044972,32008,659904,108045.519,105404.628,0,0
15-12 22:09:20,4.498,0.500,94.959,0.250,0,680876,6043208,32016,659904,3312.565,1377.403,75.967,67.971
15-12 22:09:21,41.255,4.001,53.507,0,0,741684,5982236,32016,660000,459.061,1392.184,8.001,0
15-12 22:09:22,61.232,8.997,28.991,0,0,759368,5918260,32044,704736,5621.312,8039.586,123.963,0
15-12 22:09:23,55.266,5.752,38.011,0,0,824524,5852992,32084,704920,167.048,672.194,0,0
15-12 22:09:24,60.704,4.497,34.724,0,0,844316,5833112,32084,704920,632.525,9079.186,0,0
15-12 22:09:25,51.743,3.500,43.244,0,0,893176,5784224,32096,704924,1355.808,4771.323,0,355.950
15-12 22:09:26,51.535,4.003,43.780,0,0,929460,5747936,32096,704928,2441.674,10995.538,0,4.003
15-12 22:09:27,78.186,5.745,15.987,0,0,1029752,5647640,32100,704928,452.631,4402.413,0,0
15-12 22:09:28,77.234,3.249,17.496,0,0,1048844,5628544,32100,704932,1164.752,6408.634,0,19.996
15-12 22:09:29,39.547,2.503,56.567,1.001,0,1072100,5598624,32100,711576,22468.554,128060.345,6527.715,0
15-12 22:09:30,1.000,0.500,97.534,0,0,1078716,5591832,32108,711576,6785.370,8281.893,0,116.041
15-12 22:09:31,19.749,1.000,78.497,0,0,1113492,5557056,32108,711576,7235.717,13873.457,0,0
15-12 22:09:32,1.750,0.500,98.256,0,0,1113492,5557056,32108,711576,1054.060,2470.141,0,4.000
15-12 22:09:33,0.500,0,98.240,0,0,1113488,5557056,32108,711580,1303.870,2335.768,0,0
15-12 22:09:34,1.000,0,99.012,0,0,1113488,5557056,32108,711580,988.122,1674.207,0,388.048
15-12 22:09:35,0.750,0,98.741,0,0,1113480,5557056,32116,711580,1029.908,1723.847,0,0
15-12 22:09:36,0.750,0,98.503,0,0,1113300,5557224,32128,711580,1094.039,2204.078,0,72.003
15-12 22:09:37,0.250,0,99.251,0,0,1110784,5559740,32128,711580,988.012,1682.021,0,4.000
15-12 22:09:38,0.750,0.500,98.498,0,0,1108588,5561936,32128,711580,987.981,1673.967,0,4.000
15-12 22:09:39,0.250,0.500,99.005,0,0,1106872,5563652,32128,711580,1094.054,2204.109,0,0
15-12 22:09:40,0.750,0,99.249,0,0,1106872,5563652,32128,711580,1029.986,1723.977,0,0
15-12 22:09:41,0.750,0,98.246,0,0,1106872,5563652,32128,711580,1173.947,1867.916,0,0
15-12 22:09:42,0.750,0.250,98.755,0,0,1105152,5565328,32136,711616,1094.053,2204.106,0,40.002
15-12 22:09:43,0.250,0,99.004,0,0,1103776,5566704,32136,711616,988.044,1682.076,0,0
15-12 22:09:44,0.750,0,98.999,0,0,1103776,5566704,32136,711616,1107.985,1727.977,0,12.000
15-12 22:09:45,2.000,0,97.752,0,0,1103496,5566984,32136,711616,1136.025,2246.050,0,0
15-12 22:09:46,0.500,0.250,98.996,0,0,1103748,5566732,32136,711616,987.958,1681.928,0,0
15-12 22:09:47,1.250,0,97.754,0,0,1103740,5566732,32144,711616,988.040,1674.068,0,80.003
15-12 22:09:48,0.500,0.250,99.250,0,0,1103740,5566732,32144,711616,1094.004,2204.009,0,0
15-12 22:09:49,0,0.750,93.749,5.000,0,1103740,5566732,32144,711616,1047.994,2841.985,0,44715.758
15-12 22:09:50,1.000,0,98.989,0,0,1103740,5566732,32144,711616,1029.881,1723.801,0,4.000
15-12 22:09:51,1.000,0,98.509,0,0,1103836,5566632,32144,711620,1094.100,2207.202,0,0
15-12 22:09:52,0.500,0,98.000,1.000,0,1103820,5566632,32156,711624,987.999,1684.998,0,4795.993
15-12 22:09:53,0.250,0,98.752,0,0,1103820,5566632,32156,711624,988.016,1685.027,0,0
15-12 22:09:54,0.750,0,98.999,0,0,1103820,5566632,32156,711624,1093.990,2198.980,0,0
15-12 22:09:55,0.250,0.250,98.995,0,0,1103820,5566632,32156,711624,987.950,1684.914,0,0
15-12 22:09:56,1.250,0.500,97.758,0,0,1096008,5574444,32156,711624,1515.121,2148.171,0,4.000
15-12 22:09:57,1.000,0,94.501,4.250,0,1096000,5574444,32164,711624,1457.011,2657.020,0,40244.297
15-12 22:09:58,0.750,0.250,98.493,0,0,1096000,5574444,32164,711624,1876.862,2259.833,0,0
15-12 22:09:59,1.000,0.250,98.000,0,0,1103560,5566884,32164,711624,1735.992,2603.988,0,0
15-12 22:10:00,0.500,0,98.999,0,0,1103560,5566884,32164,711624,1093.993,2206.986,0,139.999
15-12 22:10:01,0.250,0.250,99.007,0,0,1103560,5566884,32164,711624,1030.070,2191.149,0,4.000
15-12 22:10:02,1.250,0,98.753,0,0,1111612,5558820,32176,711624,988.025,1677.043,0,200.005
15-12 22:10:03,0.250,0.250,98.993,0,0,1111612,5558820,32176,711624,1093.926,2206.851,0,0
15-12 22:10:04,0.250,0,99.252,0,0,1111612,5558820,32176,711624,988.019,1677.033,0,0
15-12 22:10:05,0.500,0,98.751,0,0,1111612,5558820,32176,711624,1048.009,1731.014,0,0
15-12 22:10:06,0.500,0.250,98.500,0,0,1111612,5558820,32176,711624,1154.005,2207.010,0,168.001
15-12 22:10:07,0.500,0.250,99.249,0,0,1111612,5558820,32176,711624,1089.990,1780.984,0,0
15-12 22:10:08,1.750,0.500,97.734,0,0,1119668,5550756,32184,711624,2504.581,2429.593,0,19.997
15-12 22:10:09,7.251,0.500,91.517,0,0,1120116,5550308,32184,711624,4936.900,22040.019,0,0
15-12 22:10:10,0.500,0,98.999,0,0,1120092,5550308,32184,711648,987.990,1741.982,0,0
15-12 22:10:11,1.500,1.000,98.002,0,0,1122340,5548044,32192,711652,1058.018,1696.029,0,52.001
15-12 22:10:12,1.000,0,97.496,0,0,1122336,5548044,32192,711656,2364.904,6403.740,0,4.000
15-12 22:10:13,0.500,0,99.500,0,0,1122336,5548044,32192,711656,1090.001,1800.002,0,0
15-12 22:10:14,3.000,0.250,96.252,0,0,1123344,5547036,32192,711656,1048.025,1686.041,0,4.000
15-12 22:10:15,0.500,0,99.247,0,0,1123344,5547036,32192,711656,1093.962,2207.924,0,4.000
15-12 22:10:16,0.250,0,99.004,0,0,1123336,5547036,32200,711656,988.044,1678.075,0,68.003
15-12 22:10:17,1.000,0.250,98.252,0,0,1129384,5540988,32200,711656,1048.024,1732.039,0,152.003
15-12 22:10:18,0.250,0,99.246,0,0,1129384,5540988,32200,711656,1093.959,2207.917,0,0
15-12 22:10:19,0.500,0,98.997,0,0,1129384,5540988,32200,711656,1161.970,1905.951,0,0
15-12 22:10:20,1.000,0.500,98.255,0,0,1131148,5539224,32200,711656,988.046,1678.078,0,48.002
15-12 22:10:21,0.500,0.250,99.000,0,0,1131140,5539224,32208,711656,1094.002,2208.004,0,40.000
15-12 22:10:22,0.250,0.250,99.001,0,0,1131140,5539224,32208,711656,988.012,1686.021,0,0
15-12 22:10:23,1.250,0,98.750,0,0,1137188,5533176,32208,711656,988.003,1678.005,0,40.000
15-12 22:10:24,0.250,0,98.994,0,0,1137188,5533176,32208,711656,1027.942,2207.876,0,0
15-12 22:10:25,0.750,0.250,99.005,0,0,1137188,5533176,32208,711656,1849.088,2300.110,0,12.001
15-12 22:10:26,0.750,0.250,98.499,0,0,1145252,5525112,32216,711648,2377.970,3106.961,0,36.000
15-12 22:10:27,0.250,0.250,99.249,0,0,1145244,5525112,32216,711656,1093.994,2207.989,0,0
15-12 22:10:28,0.750,0,98.996,0,0,1145240,5525112,32216,711660,987.958,1677.928,0,15.999
15-12 22:10:29,0.250,0.500,98.738,0,0,1145240,5525112,32216,711660,1287.849,1840.784,0,0
15-12 22:10:30,0.500,0,99.014,0,0,1145240,5525112,32216,711660,928.134,2714.392,0,12.002
15-12 22:10:31,0.500,0.250,98.996,0,0,1145240,5525112,32216,711660,987.960,1685.932,0,0
15-12 22:10:32,0.500,0,98.498,0.250,0,1146992,5523348,32224,711664,987.976,1677.959,0,39.999
15-12 22:10:33,0.750,0.250,98.758,0,0,1146992,5523348,32224,711664,1566.124,2481.196,0,52.004
15-12 22:10:34,0.250,0.250,99.494,0,0,1146992,5523348,32224,711664,1459.918,1899.893,0,0
15-12 22:10:35,0.750,0.500,97.974,0,0,1153036,5517300,32224,711664,2827.246,2040.456,0,11.997
15-12 22:10:36,0.500,0.250,99.281,0,0,1153036,5517300,32224,711664,1094.345,2208.695,0,0
15-12 22:10:37,0.750,0,98.996,0,0,1153028,5517300,32232,711664,1107.955,1739.930,0,47.998
15-12 22:10:38,0.750,0,98.721,0,0,1153244,5517076,32232,711672,5764.331,4244.771,0,3.999
15-12 22:10:39,1.751,0.750,97.535,0,0,1157024,5513296,32232,711672,3495.240,2956.049,0,108.038
15-12 22:10:40,8.487,0.998,89.361,0,0,1156992,5513296,32232,711704,13337.325,71715.831,0,0
15-12 22:10:41,1.502,0.250,98.151,0,0,1157040,5513072,32232,711872,2544.922,123201.856,0,232.358
15-12 22:10:42,5.000,2.500,91.495,0,0,1144748,5509520,32232,727300,16827956.157,15740314.126,0,0
15-12 22:10:43,12.249,3.250,81.995,0,0,1154540,5475152,32240,751200,25881309.448,24868795.795,0,87.995
15-12 22:10:44,26.218,2.247,70.665,0,0,1166944,5455596,32260,757664,5304528.792,5295489.710,0,3.995
15-12 22:10:45,58.573,10.263,30.538,0,0,1230564,5346984,32320,801420,2812.482,6090.540,0,0
15-12 22:10:46,48.480,4.248,45.981,0,0,1257624,5319812,32320,801420,526.783,8569.465,0,3.998
15-12 22:10:47,52.983,4.998,41.237,0,0,1068568,5509268,32320,801364,1621.487,4053.718,23.992,39.987
15-12 22:10:48,49.503,3.750,45.503,0,0,1085132,5584552,32332,711792,3590.233,14130.916,0,228.015
15-12 22:10:49,72.754,5.000,21.501,0,0,1134272,5535412,32332,711792,167.010,672.041,0,0
15-12 22:10:50,74.993,3.250,20.998,0,0,1145600,5524084,32332,711792,10244.018,8731.163,0,4.000
15-12 22:10:51,62.042,3.002,33.773,0,0,1153224,5516328,32332,711924,18159.275,138570.668,0,0
15-12 22:10:52,2.000,0.250,97.254,0,0,1158008,5511540,32332,711928,5845.219,7002.263,0,8.000
15-12 22:10:53,31.733,3.248,64.465,0.250,0,1203984,5465452,32344,712020,2375.726,11998.567,0,191.897
15-12 22:10:54,51.511,4.751,42.759,0,0,1247464,5421884,32344,712024,1406.290,5901.219,0,0
15-12 22:10:55,47.766,4.001,47.516,0,0,1288508,5380836,32344,712028,1336.453,6718.276,0,0
15-12 22:10:56,42.499,4.750,51.749,0,0,1422916,5246280,32344,712148,6039.872,4383.907,0,8.000
15-12 22:10:57,21.250,2.500,75.001,0,0,1289304,5380140,32344,711992,8041.143,29025.515,0,36.001
15-12 22:10:58,1.000,0.750,98.243,0,0,1282120,5387312,32356,711992,11092.186,10302.244,0,139.990
15-12 22:10:59,21.738,3.248,73.209,0,0,1310740,5358604,32356,712080,1326.257,5910.690,0,3.998
15-12 22:11:00,54.489,4.249,40.992,0,0,1340680,5328616,32356,712092,1255.742,4643.047,0,0
15-12 22:11:01,55.537,4.503,38.525,0,0,1363236,5305936,32356,712216,1114.738,2969.966,0,0
15-12 22:11:02,45.227,4.248,49.975,0,0,1387276,5281812,32356,712232,2536.714,3441.255,11.994,19.990
15-12 22:11:03,22.015,3.002,73.050,0,0,1275608,5393436,32368,712236,17912.182,197289.180,0,188.128
15-12 22:11:04,1.000,0.250,98.248,0,0,1228400,5440644,32368,712236,6574.842,14168.659,0,0
15-12 22:11:05,4.000,2.000,93.494,0,0,1222700,5432104,32368,726172,15107192.881,50882.588,0,7.999
15-12 22:11:06,12.502,1.750,84.512,0,0,1227804,5409424,32368,743316,18369320.120,56271.910,0,0
15-12 22:11:07,1.250,1.250,95.748,0,0,1230292,5393048,32368,756848,14302589.763,46463.836,0,0
15-12 22:11:08,0.750,0,98.742,0,0,1229392,5393832,32380,756948,105443.965,102497.189,0,143.989
15-12 22:11:09,1.500,0.500,97.752,0,0,1248712,5420552,32380,712084,518.011,1260.026,0,32.001
15-12 22:11:10,1.500,1.000,97.006,0,0,884712,5785040,32380,712000,1778.102,5672.324,0,32.002
15-12 22:11:11,0.250,0.500,99.248,0,0,872744,5842912,32380,667276,316.994,689.987,0,24.000
15-12 22:11:12,0.250,0,99.251,0,0,869244,5846408,32380,667280,453.005,5185.056,0,0
15-12 22:11:13,0.250,0,98.994,0.250,0,866176,5849476,32380,667280,166.990,627.964,0,107.994
15-12 22:11:14,0,0,99.251,0.250,0,863492,5852148,32392,667280,227.003,682.008,0,180.002
15-12 22:11:15,0.500,0.250,99.252,0,0,861364,5854276,32392,667280,381.010,1258.032,0,0
15-12 22:11:16,0,0.250,99.503,0,0,859280,5856360,32392,667280,287.009,744.022,0,20.001
15-12 22:11:17,0,0.250,99.502,0,0,858608,5857032,32392,667280,167.003,628.012,0,4.000
15-12 22:11:18,0.500,0,99.249,0,0,858860,5856780,32392,667280,272.996,1149.984,0,0
15-12 22:11:19,0,0,99.248,0,0,858860,5856780,32392,667280,166.997,627.989,0,0
15-12 22:11:20,0.250,0,99.743,0,0,858608,5857024,32400,667280,460.967,789.943,0,95.993
15-12 22:11:21,0.250,0,99.003,0,0,858608,5857024,32400,667280,335.009,1204.033,0,0
15-12 22:11:22,0,0.247,97.889,0,0,858608,5857024,32400,667280,283.066,672.651,0,0
15-12 22:11:23,0.254,0,100.654,0,0,858608,5857024,32400,667280,366.108,746.414,0,0
15-12 22:11:24,0,0,99.750,0.250,0,858608,5857024,32400,667280,272.999,1149.995,0,123.999
15-12 22:11:25,0.750,0.250,98.990,0,0,858860,5856772,32408,667272,166.983,627.935,0,43.995
15-12 22:11:26,0,0,99.504,0,0,858852,5856772,32408,667280,209.008,678.025,0,4.000
15-12 22:11:27,0.250,0,99.255,0,0,858852,5856772,32408,667280,273.013,1150.053,0,0
15-12 22:11:28,0.250,0,99.240,0,0,858852,5856772,32408,667280,166.983,1099.890,0,0
15-12 22:11:29,0,0,99.512,0,0,858852,5856772,32408,667280,167.019,628.073,0,0
15-12 22:11:30,0.250,0.250,99.242,0,0,858844,5856772,32416,667280,1228.896,2053.826,0,27.998
15-12 22:11:31,0.250,0,99.258,0,0,858844,5856772,32416,667280,209.017,670.053,0,0
15-12 22:11:32,0,0.250,99.494,0,0,858844,5856772,32416,667280,226.987,681.961,0,4.000
15-12 22:11:33,0.500,0,99.261,0,0,858844,5856772,32416,667280,333.035,1204.128,0,0
15-12 22:11:34,0.250,0.250,98.989,0,0,858844,5856772,32416,667280,166.981,635.929,0,0
15-12 22:11:35,0,0,99.749,0,0,858844,5856772,32416,667280,166.998,627.991,0,12.000
15-12 22:11:36,0.750,0,99.009,0,0,858832,5856772,32428,667280,375.033,1246.110,0,56.005
15-12 22:11:37,0,0.250,94.004,4.750,0,858832,5856772,32428,667280,167.006,636.024,0,44769.723
15-12 22:11:38,0.250,0.250,99.248,0,0,858832,5856772,32428,667280,166.996,635.987,0,4.000
15-12 22:11:39,0,0.250,99.504,0,0,858832,5856772,32428,667280,273.012,1150.050,0,0
15-12 22:11:40,0.250,0,99.242,0,0,858832,5856772,32428,667280,166.987,627.952,0,19.998
15-12 22:11:41,1.000,0,98.246,0,0,858820,5856772,32440,667280,11796.502,3530.851,0,75.997
15-12 22:11:42,0.500,0.500,99.008,0,0,859028,5856532,32440,667312,273.022,1158.094,0,0
15-12 22:11:43,0.500,0,99.249,0,0,859028,5856532,32440,667312,166.998,635.993,0,135.998
15-12 22:11:44,0.250,0.250,99.501,0,0,859028,5856532,32440,667312,167.002,628.009,0,4.000
15-12 22:11:45,0.250,0,99.249,0,0,859028,5856532,32440,667312,272.997,1149.988,0,12.000
15-12 22:11:46,0,0,99.250,0,0,859028,5856532,32448,667304,209.001,670.002,0,64.000
15-12 22:11:47,0.250,0.250,99.250,0,0,859020,5856532,32448,667312,167.001,628.002,0,44.000
15-12 22:11:48,0.250,0,99.490,0,0,859020,5856532,32448,667312,272.972,1149.884,0,0
15-12 22:11:49,0,0.250,99.259,0,0,859020,5856532,32448,667312,167.015,628.056,0,4.000
15-12 22:11:50,0.250,0,99.502,0,0,859020,5856532,32448,667312,227.005,1788.039,0,16.000
15-12 22:11:51,0.500,0,99.248,0,0,859020,5856532,32448,667312,314.992,1191.970,0,4.000
15-12 22:11:52,0.250,0,98.999,0,0,859012,5856532,32456,667312,166.999,627.995,0,28.000
15-12 22:11:53,0.250,0,99.752,0,0,859012,5856532,32456,667312,227.006,682.017,0,0
15-12 22:11:54,0.250,0.250,98.995,0,0,859012,5856532,32456,667312,392.980,1633.916,0,0
15-12 22:11:55,0.250,0.250,99.253,0,0,859012,5856532,32456,667312,347.011,2108.068,0,140.005
15-12 22:11:56,0.500,0.500,98.998,0,0,859012,5856532,32456,667312,274.994,723.984,0,4.000
15-12 22:11:57,0,0,99.501,0,0,859004,5856532,32464,667312,1028.015,2037.029,0,28.000
15-12 22:11:58,0.500,0,99.253,0,0,859120,5856308,32464,667420,123369.182,2212.057,0,0
15-12 22:11:59,0.250,0,99.498,0,0,859120,5856308,32464,667420,166.997,635.990,0,0
15-12 22:12:00,0,0,98.738,0,0,859116,5856308,32464,667424,1057.871,1587.807,0,15.998
15-12 22:12:01,55.711,7.994,35.725,0,0,914212,5755228,32464,712212,5970.852,2987.924,0,0
15-12 22:12:02,49.255,4.500,45.505,0,0,943388,5726008,32476,712212,413.044,4834.513,0,364.039
15-12 22:12:03,47.237,3.749,47.737,0,0,996188,5673088,32476,712332,1609.558,5994.354,0,0
15-12 22:12:04,31.778,4.504,62.304,0,0,1105916,5563248,32476,712352,3546.097,8757.650,0,0
15-12 22:12:05,2.250,1.000,96.505,0,0,978924,5690524,32476,712172,19337.946,2677.131,0,36.002
15-12 22:12:06,0,0.250,98.249,0.750,0,971364,5698084,32476,712172,653.991,6326.911,0,8707.877
15-12 22:12:07,0.500,0,99.504,0,0,963556,5705880,32488,712172,9901.428,798.035,0,164.007
15-12 22:12:08,0.250,0,98.994,0,0,955492,5713944,32488,712172,5491.677,13499.205,0,0
15-12 22:12:09,0.250,0,99.255,0,0,947428,5722008,32488,712172,273.014,1150.057,0,0
15-12 22:12:10,0.500,0.250,99.249,0,0,939364,5730072,32488,712172,166.998,627.992,0,0
15-12 22:12:11,0.250,0.250,94.497,4.250,0,931552,5737884,32488,712172,274.991,801.973,0,36050.805
15-12 22:12:12,0,0,99.253,0.250,0,923480,5745948,32496,712172,273.009,1158.039,0,188.006
15-12 22:12:13,0.250,0,99.506,0,0,915416,5754012,32496,712172,167.010,628.039,0,24.001
15-12 22:12:14,0.250,0,99.498,0,0,907352,5762076,32496,712172,166.996,627.986,0,0
15-12 22:12:15,0.250,0,99.005,0,0,899764,5769664,32496,712172,339.016,1204.055,0,0
15-12 22:12:16,0.250,0.250,99.243,0,0,893124,5776304,32496,712172,208.985,669.952,0,0
15-12 22:12:17,0.250,0,99.752,0,0,887320,5782108,32496,712172,167.003,628.011,0,0
15-12 22:12:18,0.250,0,99.247,0,0,887312,5782108,32504,712172,272.993,1149.969,0,16.000
15-12 22:12:19,0,0,99.255,0,0,882236,5787184,32504,712172,167.009,628.032,0,0
15-12 22:12:20,0,0,99.252,0,0,877788,5791632,32504,712172,289.004,744.011,0,4.000
15-12 22:12:21,0.500,0.250,99.496,0,0,873896,5795524,32504,712172,374.984,1245.947,0,0
15-12 22:12:22,0,0,99.496,0,0,870488,5798932,32504,712172,286.989,681.974,0,0
15-12 22:12:23,0.250,0.500,99.006,0,0,870488,5798932,32504,712172,167.009,628.035,0,0
15-12 22:12:24,0.500,0,99.498,0.250,0,867508,5801904,32512,712172,466.989,1265.971,0,16.000
15-12 22:12:25,0,0,99.242,0,0,864900,5804512,32512,712172,388.969,789.936,0,0
15-12 22:12:26,0.750,0,99.501,0,0,862620,5806792,32512,712172,557.003,1448.007,0,0
15-12 22:12:27,0,0,99.260,0,0,860624,5808788,32512,712172,333.033,1212.120,0,0
