"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu02",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_random100_fifo_w02.csv 1",,,,"Date:","15 Dec 2025 16:20:02 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 16:20:02,,983168,4230896,51140,2100184,,
15-12 16:20:03,0,0.500,98.995,0,0,983272,4230644,51276,2100196,3106.833,4181.775,135.993,0
15-12 16:20:04,0.500,0.250,98.766,0,0,983272,4230644,51276,2100196,3377.544,3734.601,0,0
15-12 16:20:05,0.500,0,99.252,0,0,983272,4230644,51276,2100196,2237.036,2988.048,0,0
15-12 16:20:06,0.250,0,99.241,0,0,983272,4230644,51276,2100196,166.985,647.940,0,11.999
15-12 16:20:07,0.250,0.250,99.273,0,0,983272,4230644,51276,2100196,209.047,698.158,0,0
15-12 16:20:08,0.250,0,98.995,0.250,0,983264,4230644,51284,2100196,610.970,1351.933,0,39.998
15-12 16:20:09,0.750,0,99.003,0,0,983264,4230644,51284,2100196,557.015,800.022,0,0
15-12 16:20:10,0.500,0.250,99.488,0,0,983264,4230644,51284,2100196,166.980,647.921,0,0
15-12 16:20:11,0.250,0,99.006,0,0,983264,4230644,51284,2100196,333.021,1224.079,0,0
15-12 16:20:12,0,0.250,99.248,0,0,983264,4230644,51284,2100196,328.993,743.983,0,0
15-12 16:20:13,0,0,99.250,0,0,983264,4230644,51284,2100196,173.000,986.001,0,0
15-12 16:20:14,5.729,5.729,85.181,0,0,971236,4215420,51296,2126804,28687173.215,27409468.033,0,59.776
15-12 16:20:15,4.768,4.015,89.583,0,0,966980,4201072,51296,2144912,19286076.575,18553921.882,0,0
15-12 16:20:16,11.961,7.725,77.750,0,0,977648,4143984,51356,2189684,8656.131,4287.197,0,0
15-12 16:20:17,56.249,8.250,33.499,0,0,1016104,4105468,51356,2189740,314.992,1247.967,0,19.999
15-12 16:20:18,56.653,5.241,36.188,0,0,1039540,4082032,51356,2189740,226.610,1844.829,0,7.986
15-12 16:20:19,73.190,4.496,20.983,0,0,1044200,4077256,51368,2189744,286.764,3057.487,0,199.836
15-12 16:20:20,68.166,5.012,25.061,0,0,1059568,4061884,51368,2189748,273.666,1216.964,0,4.010
15-12 16:20:21,71.904,4.259,22.548,0,0,1071664,4049788,51368,2189748,167.358,693.485,0,0
15-12 16:20:22,54.540,7.720,35.364,0,0,1088788,4032652,51376,2189752,9638.833,5602.397,0,71.723
15-12 16:20:23,67.066,3.503,27.277,0,0,1095088,4026352,51376,2189752,14890.558,7639.469,0,4.004
15-12 16:20:24,55.259,5.251,37.506,0,0,1125824,3995608,51376,2189760,6918.085,10676.675,0,0
15-12 16:20:25,57.638,6.238,33.435,0,0,1143716,3977716,51376,2189760,256.503,772.504,0,0
15-12 16:20:26,75.253,6.000,16.501,0,0,1167656,3953776,51376,2189760,1286.055,2215.095,0,4.000
15-12 16:20:27,82.762,4.251,11.752,0,0,1179232,3942184,51392,2189760,627.092,1316.194,0,276.041
15-12 16:20:28,73.414,7.266,15.535,0,0,1218796,3902620,51392,2189760,167.375,693.553,0,8.018
15-12 16:20:29,59.785,4.252,33.269,0,0,1228120,3893296,51392,2189760,273.158,1214.702,0,8.005
15-12 16:20:30,73.189,2.998,22.232,0,0,1228624,3892792,51392,2189760,166.862,781.353,0,0
15-12 16:20:31,80.791,4.752,13.757,0,0,1229628,3891784,51392,2189764,167.085,684.349,0,0
15-12 16:20:32,76.602,7.260,14.770,0,0,1247660,3873736,51392,2189764,1725.302,3799.069,0,4.005
15-12 16:20:33,85.386,5.742,7.490,0,0,1264032,3857356,51400,2189764,3845.864,4675.756,0,79.893
15-12 16:20:34,37.324,4.008,56.863,0,0,1297616,3823644,51404,2189888,5403.766,125162.359,0,0
15-12 16:20:35,39.047,2.253,57.068,0,0,1298372,3822888,51404,2189888,5052.028,10771.853,0,4.005
15-12 16:20:36,3.749,0.500,95.234,0,0,1298372,3822888,51404,2189888,4922.151,8491.536,0,0
15-12 16:20:37,2.500,0.500,96.001,0,0,1298368,3822888,51404,2189892,4803.066,7271.100,0,20.000
15-12 16:20:38,2.250,0.250,97.011,0,0,1298360,3822888,51412,2189892,5388.621,8548.985,0,56.006
15-12 16:20:39,2.500,0.750,96.490,0,0,1298360,3822888,51412,2189892,4802.521,7278.275,0,0
15-12 16:20:40,7.251,1.250,91.009,0,0,1298360,3822888,51412,2189892,6121.597,8362.816,0,0
15-12 16:20:41,1.250,0,97.997,0,0,1298360,3822888,51412,2189892,4908.835,7792.738,0,0
15-12 16:20:42,1.750,0,97.504,0,0,1298356,3822888,51412,2189896,5360.246,8030.369,0,0
15-12 16:20:43,2.000,0.250,97.492,0,0,1298356,3822888,51412,2189896,4844.606,7312.406,0,0
15-12 16:20:44,2.000,0.500,97.262,0,0,1298348,3822888,51420,2189896,5005.627,7847.983,0,36.005
