"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_roadNet_fifo.csv 1",,,,"Date:","15 Dec 2025 14:26:41 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 14:26:41,,947772,5701992,31880,729936,,
15-12 14:26:42,0.500,0.250,99.011,0,0,947768,5701992,31880,729940,5375.570,6507.690,0,0
15-12 14:26:43,0,0.250,99.252,0,0,947768,5701992,31880,729940,8443.152,8783.158,0,0
15-12 14:26:44,0.250,0,98.752,0,0,947768,5701992,31880,729940,10623.246,11503.266,0,0
15-12 14:26:45,0.750,0.250,99.251,0,0,947768,5701992,31880,729940,6923.085,7385.091,0,0
15-12 14:26:46,0,0,99.251,0,0,947760,5701992,31888,729940,1859.026,2263.032,0,40.001
15-12 14:26:47,0,0.250,99.236,0,0,947760,5701992,31888,729940,278.961,1158.837,0,3.999
15-12 14:26:48,0.250,0,99.763,0,0,947760,5701992,31888,729940,511.069,961.129,0,0
15-12 14:26:49,2.500,3.000,91.998,0,0,947544,5656800,31888,774316,47774151.730,149539.709,0,0
15-12 14:26:50,0,0,99.243,0,0,947348,5656548,31888,774648,106754.514,104061.703,0,0
15-12 14:26:51,0.500,0,98.999,0,0,947348,5656548,31888,774648,172.997,634.990,0,24.000
15-12 14:26:52,0.500,0,99.500,0,0,947340,5656548,31896,774648,233.000,689.000,0,60.000
15-12 14:26:53,0,0,98.988,0,0,947340,5656548,31896,774648,278.966,1166.859,0,4.000
15-12 14:26:54,0,0.250,99.521,0,0,947340,5656548,31896,774648,215.046,677.145,0,0
15-12 14:26:55,0.250,0.250,99.502,0,0,947340,5656548,31896,774648,173.003,635.010,0,0
15-12 14:26:56,0.500,0,99.239,0,0,947340,5656548,31896,774648,278.969,1158.869,0,0
15-12 14:26:57,0,0,99.001,0,0,947340,5656548,31896,774648,173.001,635.005,0,48.000
15-12 14:26:58,0.500,0.500,99.502,0,0,947456,5656296,31904,774772,123894.950,2366.037,0,12.000
15-12 14:26:59,0,0,99.006,0,0,947456,5656296,31904,774772,809.050,1697.106,0,4.000
15-12 14:27:00,0.500,0,99.750,0,0,947456,5656296,31904,774772,173.000,634.999,0,0
15-12 14:27:01,0,0,99.003,0,0,947456,5656296,31904,774772,239.007,1209.036,0,0
15-12 14:27:02,0.500,0,99.492,0,0,947456,5656296,31904,774772,338.973,1212.903,0,0
15-12 14:27:03,0,0.250,99.248,0,0,947456,5656296,31904,774772,232.995,688.985,0,0
15-12 14:27:04,0.250,0,99.008,0,0,947448,5656296,31912,774772,275.022,731.058,0,48.004
15-12 14:27:05,0.250,0,99.001,0,0,947448,5656296,31912,774772,279.003,1159.012,0,24.000
15-12 14:27:06,0.250,0.500,99.492,0,0,947448,5656296,31912,774772,172.987,634.952,0,0
15-12 14:27:07,0.500,0,99.497,0,0,947448,5656296,31912,774772,172.995,634.981,0,12.000
15-12 14:27:08,0.500,0,99.010,0,0,947448,5656296,31912,774772,2155.227,2017.212,0,0
15-12 14:27:09,0.250,0.500,98.745,0,0,947448,5656296,31920,774764,172.991,642.968,0,55.997
15-12 14:27:10,1.000,0.250,98.490,0,0,947436,5656296,31920,774776,11672.842,3440.659,0,0
15-12 14:27:11,0.250,0,99.259,0,0,947400,5656296,31920,774812,623.054,1445.126,0,16.001
15-12 14:27:12,0.500,0,99.248,0,0,947400,5656296,31920,774812,172.996,634.984,0,0
15-12 14:27:13,0,0.250,99.004,0,0,947400,5656296,31920,774812,173.008,635.028,0,0
15-12 14:27:14,0.250,0,99.496,0,0,947400,5656296,31920,774812,502.979,1382.943,0,8.000
15-12 14:27:15,0.750,0.250,99.253,0,0,947392,5656296,31928,774812,275.009,731.024,0,40.001
15-12 14:27:16,0,0,99.249,0,0,947392,5656296,31928,774812,238.998,1216.992,0,52.000
15-12 14:27:17,0,0,99.000,0,0,947392,5656296,31928,774812,339.001,1213.005,0,4.000
15-12 14:27:18,0,0.250,99.502,0,0,947392,5656296,31928,774812,173.004,635.016,0,0
15-12 14:27:19,0.750,0,99.249,0,0,947392,5656296,31928,774812,172.997,634.991,0,0
15-12 14:27:20,0,0.250,96.249,2.500,0,947392,5656296,31940,774800,544.995,1432.988,0,44815.628
15-12 14:27:21,0.491,0,99.596,0,0,947376,5656296,31940,774812,228.629,1773.099,0,3.925
15-12 14:27:22,0,0,98.891,0,0,947376,5656296,31940,774812,176.373,647.380,0,0
15-12 14:27:23,0.245,0.245,99.588,0,0,947372,5656296,31940,774816,332.614,1190.148,0,7.849
15-12 14:27:24,0.255,0,99.403,0,0,947372,5656296,31940,774816,237.549,647.397,0,0
15-12 14:27:25,0.250,0,99.256,0,0,947372,5656296,31940,774816,215.012,677.039,0,0
15-12 14:27:26,0,0.250,99.260,0,0,947364,5656296,31948,774816,503.049,1383.134,0,104.010
15-12 14:27:27,0.750,0.250,98.996,0,0,947596,5656044,31948,774836,18200.189,2747.878,0,0
15-12 14:27:28,0,0,99.502,0,0,947596,5656044,31948,774836,465.010,1363.030,0,4.000
15-12 14:27:29,0.500,0,99.206,0,0,947596,5656044,31948,774836,278.877,1657.268,0,3.998
15-12 14:27:30,0.250,0.250,99.291,0,0,947596,5656044,31948,774836,314.130,743.308,0,0
15-12 14:27:31,0.250,0,99.254,0,0,947588,5656044,31956,774836,173.007,635.027,0,160.007
15-12 14:27:32,0.250,0,99.247,0,0,947588,5656044,31956,774836,344.989,1212.960,0,0
15-12 14:27:33,0.750,0,99.251,0,0,947588,5656044,31956,774836,648.006,846.007,0,0
15-12 14:27:34,0.750,1.000,96.738,0,0,952140,5637648,31956,788460,14622106.648,41812.700,0,0
15-12 14:27:35,1.748,1.249,97.159,0,0,946244,5629344,31960,802180,14682830.428,43169.733,0,3.996
15-12 14:27:36,1.001,0.751,95.594,0.500,0,950976,5609940,31964,816472,15459962.306,44938.015,0,72.071
15-12 14:27:37,0.750,0.750,97.252,0,0,961140,5585508,31964,830356,14900414.698,43679.051,0,0
15-12 14:27:38,0.750,0.750,97.251,0,0,956008,5577444,31964,843164,13605134.854,40537.479,0,20.000
15-12 14:27:39,1.750,1.000,96.743,0,0,958492,5561316,31964,856484,14284285.995,41043.851,0,0
15-12 14:27:40,0.750,1.000,96.753,0,0,955264,5552244,31964,868384,12675633.488,37567.054,0,0
15-12 14:27:41,1.250,0,98.232,0,0,955064,5552244,31972,868572,182084.476,6689.805,0,47.991
15-12 14:27:42,0,0,99.264,0,0,955064,5552244,31972,868572,1405.195,1802.250,0,4.001
15-12 14:27:43,2.250,3.000,93.005,0,0,963296,5498316,31972,913036,47781281.848,161255.558,0,0
15-12 14:27:44,21.238,6.746,71.208,0,0,982272,5432708,31972,958048,114909.471,107074.075,0,0
15-12 14:27:45,53.985,3.999,40.739,0,0,1031404,5383580,31972,958088,446.876,1400.610,0,0
15-12 14:27:46,46.516,4.502,47.266,0,0,1094360,5320608,31984,958088,419.142,4286.451,0,272.092
15-12 14:27:47,46.256,2.250,50.257,0,0,1104912,5310052,31984,958092,2858.399,3819.533,0,4.001
15-12 14:27:48,59.966,5.723,33.591,0,0,1243892,5217064,31984,913228,578.258,1430.217,0,0
15-12 14:27:49,71.093,3.505,24.282,0,0,1268336,5192620,31984,913228,9946.021,896.173,0,0
15-12 14:27:50,73.875,3.506,21.536,0,0,1274292,5186656,31984,913236,10692.115,13038.090,0,0
15-12 14:27:51,14.781,1.002,83.677,0,0,1286200,5174616,31992,913360,12770.064,131142.935,0,156.331
15-12 14:27:52,9.733,1.248,88.848,0,0,1310136,5150676,31992,913364,2627.518,3508.016,0,0
15-12 14:27:53,11.019,0.501,87.650,0,0,1318196,5142612,31992,913368,1841.143,5242.950,0,4.007
15-12 14:27:54,0.250,0.250,99.001,0,0,1318196,5142612,31992,913368,1298.008,2414.015,0,0
15-12 14:27:55,1.500,0.250,97.749,0,0,1319824,5140984,31992,913368,2407.964,2804.958,0,0
15-12 14:27:56,0.750,0.250,98.995,0,0,1315948,5144860,31992,913368,993.950,1691.914,0,4.000
15-12 14:27:57,0.500,0,98.759,0.250,0,1312336,5148464,32000,913368,1160.107,2270.210,0,44.004
15-12 14:27:58,1.000,0,97.998,0,0,1312964,5147836,32000,913368,1053.982,1745.970,0,0
15-12 14:27:59,0.500,0.250,99.003,0,0,1310232,5150568,32000,913368,1345.038,1799.051,0,4.000
15-12 14:28:00,0.500,0.500,98.995,0,0,1307876,5152924,32000,913368,1141.943,2257.888,0,0
15-12 14:28:01,0.500,0.250,98.754,0.500,0,1305792,5155008,32000,913368,1054.042,1738.069,0,332.013
15-12 14:28:02,4.749,0.250,94.490,0,0,1305460,5155332,32008,913368,1829.806,1930.795,0,31.997
15-12 14:28:03,0.750,0,98.998,0,0,1305460,5155332,32008,913368,1099.976,2215.951,0,0
15-12 14:28:04,0.750,0.250,99.002,0,0,1312516,5148276,32008,913368,1278.026,1970.039,0,0
15-12 14:28:05,1.000,0,98.247,0,0,1312740,5148052,32008,913368,1809.952,1840.952,0,4.000
15-12 14:28:06,0.750,0,96.008,2.500,0,1312740,5148052,32008,913368,1100.092,2216.186,0,24406.052
15-12 14:28:07,1.250,1.000,90.999,6.250,0,1320796,5139988,32016,913368,1217.985,1915.976,0,69207.126
15-12 14:28:08,0.500,0,98.003,0.750,0,1320788,5139988,32020,913372,1769.052,1799.053,0,13820.405
15-12 14:28:09,1.000,0.500,98.994,0,0,1320788,5139988,32020,913372,1099.932,2215.863,0,3175.804
15-12 14:28:10,1.000,0.250,98.752,0,0,1320788,5139988,32020,913372,1320.032,2012.049,0,0
15-12 14:28:11,1.250,0.500,98.247,0,0,1321276,5139500,32020,913372,1768.945,1798.944,0,8.000
15-12 14:28:12,0.500,0,98.511,0.250,0,1321244,5139500,32032,913392,1160.131,2270.256,0,256.029
15-12 14:28:13,0.250,0.250,98.742,0,0,1321232,5139500,32032,913404,1217.906,1915.853,0,7.999
15-12 14:28:14,1.000,0.250,98.748,0,0,1321228,5139500,32036,913404,1768.961,1790.961,0,27859.388
15-12 14:28:15,0.250,0.250,98.999,0,0,1321228,5139500,32036,913404,1141.991,2257.982,0,0
15-12 14:28:16,0.750,0.250,98.755,0,0,1321228,5139500,32036,913404,1338.074,1962.108,0,36.002
15-12 14:28:17,1.250,0.500,92.746,5.250,0,1321216,5139500,32048,913404,2546.886,1905.915,0,44801.991
15-12 14:28:18,0.250,0.250,99.004,0,0,1321216,5139500,32048,913404,1100.046,2216.093,0,0
15-12 14:28:19,1.500,0,97.993,0,0,1321468,5139248,32048,913404,6747.501,3496.741,0,0
15-12 14:28:20,0.750,0,98.511,0,0,1321468,5139248,32048,913404,2434.279,2651.304,0,0
15-12 14:28:21,0.500,0.250,98.998,0,0,1321468,5139248,32048,913404,1159.981,3379.944,0,0
15-12 14:28:22,1.000,0,98.759,0,0,1321468,5139248,32060,913392,1218.106,1908.167,0,196.017
15-12 14:28:23,0.250,0.250,99.250,0,0,1321456,5139248,32060,913404,1778.004,1799.004,0,4.000
15-12 14:28:24,4.000,0.500,94.751,0,0,1323676,5137008,32060,913424,4319.059,22133.303,0,4.000
15-12 14:28:25,0.750,0,98.498,0,0,1323672,5137008,32060,913428,1329.967,2031.950,0,0
15-12 14:28:26,1.250,0.250,98.255,0,0,1323672,5137008,32060,913428,2061.102,5365.264,0,0
15-12 14:28:27,0.999,0,98.436,0,0,1323660,5137008,32068,913432,1408.089,2929.106,0,55.964
