"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu04",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_roadNet_fifo_new04.csv 1",,,,"Date:","16 Dec 2025 17:09:41 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 17:09:41,,252408,6647580,33788,485164,,
16-12 17:09:42,0.250,0.250,99.500,0,0,252404,6647580,33788,485168,2609.998,3421.997,0,0
16-12 17:09:43,0,0,99.244,0,0,252404,6647580,33788,485168,2463.851,2071.875,0,0
16-12 17:09:44,0.500,0.250,99.500,0.250,0,252404,6647580,33796,485160,2142.005,1820.004,0,36.000
16-12 17:09:45,0,0.250,99.405,0,0,252396,6647580,33796,485168,59.943,345.669,0,0
16-12 17:09:46,0,0,99.352,0,0,252396,6647580,33796,485168,60.062,338.348,0,0
16-12 17:09:47,0.250,0,99.250,0,0,252396,6647580,33796,485168,60.000,338.001,0,4.000
16-12 17:09:48,0.250,0,99.247,0,0,252396,6647580,33796,485168,59.998,345.989,0,0
16-12 17:09:49,0.248,0,99.456,0,0,252396,6647580,33796,485168,160.717,430.562,0,0
16-12 17:09:50,0.252,0.503,99.395,0,0,252388,6647580,33804,485168,60.392,340.206,0,28.183
16-12 17:09:51,0.250,0.250,99.150,0,0,252388,6647580,33804,485168,126.191,400.607,0,0
16-12 17:09:52,0,0,99.499,0,0,252388,6647580,33804,485168,60.000,337.998,0,0
16-12 17:09:53,0,0,99.251,0,0,252388,6647580,33804,485168,60.000,338.002,0,4.000
16-12 17:09:54,0.500,0.250,99.255,0,0,252608,6647328,33804,485200,60.003,346.017,0,0
16-12 17:09:55,0,0,99.665,0,0,252608,6647328,33804,485200,221.811,433.630,0,0
16-12 17:09:56,0.250,0,99.331,0,0,252600,6647328,33812,485200,60.049,338.275,0,24.020
16-12 17:09:57,0,0,99.249,0,0,252600,6647328,33812,485200,119.999,399.996,0,36.000
16-12 17:09:58,0.250,0,99.245,0,0,252600,6647328,33812,485200,1140.942,1305.933,0,0
16-12 17:09:59,0.748,0.499,98.996,0,0,252600,6647328,33812,485200,59.846,337.135,0,39.898
16-12 17:10:00,0.250,0.250,98.557,0,0,252600,6647328,33812,485200,102.059,388.225,0,0
16-12 17:10:01,0.501,0,99.203,0,0,252600,6647328,33812,485200,60.123,338.692,0,0
16-12 17:10:02,0.500,0.250,98.500,0.250,0,253064,6646828,33836,485208,120.000,1013.999,0,72.000
16-12 17:10:03,0,0,99.254,0,0,253064,6646828,33836,485208,60.003,346.014,0,4.000
16-12 17:10:04,0,0,99.745,0,0,253064,6646828,33836,485208,119.994,393.981,0,0
16-12 17:10:05,0,0.250,99.157,0,0,253064,6646828,33836,485208,101.904,379.643,0,3.996
16-12 17:10:06,0.500,0,99.343,0,0,253064,6646828,33836,485208,60.056,346.325,0,0
16-12 17:10:07,0.250,0.500,99.743,0,0,253064,6646828,33844,485200,133.991,391.972,0,39.997
16-12 17:10:08,0.250,0,99.007,0,0,253056,6646828,33844,485208,194.014,454.033,0,4.000
16-12 17:10:09,0,0.250,99.755,0,0,253056,6646828,33844,485208,134.007,400.020,0,0
16-12 17:10:10,0,0,99.173,0,0,253056,6646828,33844,485208,101.921,379.707,0,0
16-12 17:10:11,0,0,99.328,0,0,253056,6646828,33844,485208,180.141,1026.802,0,4.003
16-12 17:10:12,0.500,0,99.501,0,0,253056,6646828,33844,485208,60.000,346.002,0,0
16-12 17:10:13,0,0,99.434,0,0,253048,6646828,33852,485208,59.960,337.775,0,31.979
16-12 17:10:14,0,0,99.564,0,0,253048,6646828,33852,485208,60.039,346.224,0,4.003
16-12 17:10:15,0,0,99.126,0,0,253048,6646828,33852,485208,59.925,345.569,0,0
16-12 17:10:16,0.751,0,99.124,0,0,253048,6646828,33852,485208,102.128,380.477,0,0
16-12 17:10:17,0,0.500,99.752,0,0,253048,6646828,33852,485208,120.003,1502.033,0,4.000
16-12 17:10:18,0,0,98.998,0,0,253048,6646828,33860,485200,59.999,345.993,0,16.000
16-12 17:10:19,0.250,0.250,99.995,0,0,253040,6646828,33860,485208,59.997,345.981,0,0
16-12 17:10:20,0,0,98.910,0,0,253040,6646828,33860,485208,59.946,337.693,0,0
16-12 17:10:21,0.250,0,99.590,0,0,253040,6646828,33860,485208,102.092,380.344,0,4.004
16-12 17:10:22,0.250,0,99.502,0,0,253040,6646828,33860,485208,60.001,346.007,0,0
16-12 17:10:23,0.750,0.500,98.754,0,0,253292,6646576,33860,485204,60.002,338.012,0,4.000
16-12 17:10:24,0,0,99.245,0,0,253524,6646324,33872,485208,59.997,345.983,0,83.996
16-12 17:10:25,0,0,99.672,0,0,253524,6646324,33872,485208,119.906,399.687,0,0
16-12 17:10:26,0.250,0.250,99.328,0,0,253524,6646324,33872,485208,60.047,338.264,0,4.003
16-12 17:10:27,0.250,0,99.255,0,0,253524,6646324,33872,485208,286.015,502.026,0,0
16-12 17:10:28,0.250,0,99.501,0,0,253524,6646324,33872,485208,60.001,338.003,0,0
16-12 17:10:29,0.250,0.250,99.000,0,0,253516,6646324,33880,485208,60.000,338.002,0,36.000
16-12 17:10:30,0.250,0.250,99.666,0,0,253516,6646324,33880,485208,59.950,345.710,0,0
16-12 17:10:31,0.250,0,99.078,0,0,253516,6646324,33880,485208,60.047,338.266,0,0
16-12 17:10:32,0,0.250,99.250,0,0,253516,6646324,33880,485208,162.001,434.002,0,92.000
16-12 17:10:33,0.500,0,99.754,0,0,253516,6646324,33880,485208,60.002,346.013,0,212.008
16-12 17:10:34,0,0.250,98.994,0,0,253768,6646072,33888,485200,59.996,345.979,0,35.998
16-12 17:10:35,0,0.250,99.340,0,0,253756,6646072,33888,485208,59.904,345.444,0,3.994
16-12 17:10:36,0,0,99.167,0,0,253756,6646072,33888,485208,60.101,346.583,0,0
16-12 17:10:37,0,0,99.995,0,0,253756,6646072,33888,485208,101.995,379.980,0,0
16-12 17:10:38,0.500,0,99.004,0,0,253756,6646072,33888,485208,60.002,338.013,0,0
16-12 17:10:39,0.500,0,99.496,0,0,253756,6646072,33888,485208,119.995,391.983,0,4.000
16-12 17:10:40,0,0,99.362,0,0,253748,6646072,33896,485208,59.917,970.648,0,15.978
16-12 17:10:41,0,0.250,99.395,0,0,253748,6646072,33896,485208,180.262,400.582,0,4.006
16-12 17:10:42,0,0,99.244,0,0,253748,6646072,33896,485208,101.994,387.977,0,0
16-12 17:10:43,0,0,99.754,0,0,253748,6646072,33896,485208,60.002,338.014,0,0
