"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_stanford_capacity.csv 1",,,,"Date:","15 Dec 2025 01:46:43 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 01:46:43,,982516,4876512,56948,1458272,,
15-12 01:46:44,0.500,0,98.793,0,0,982512,4876512,56948,1458276,3000.300,3997.733,0,4.002
15-12 01:46:45,0.250,0.250,99.460,0,0,982512,4876512,56948,1458276,466.812,811.673,0,0
15-12 01:46:46,0.500,0.250,99.052,0,0,982504,4876512,56956,1458276,273.144,1148.606,0,120.063
15-12 01:46:47,0.250,0,99.251,0,0,982504,4876512,56956,1458276,227.001,686.004,0,0
15-12 01:46:48,0,0.250,99.498,0,0,982504,4876512,56956,1458276,172.996,623.985,0,0
15-12 01:46:49,0.500,0,99.239,0,0,982504,4876512,56956,1458276,314.964,1189.863,0,4.000
15-12 01:46:50,0,0,99.012,0,0,982504,4876512,56956,1458276,167.020,624.076,0,0
15-12 01:46:51,12.000,11.000,74.247,0,0,974156,4839096,56968,1502888,47943731.649,45887921.880,0,55.998
15-12 01:46:52,0.500,0,98.996,0,0,974276,4838872,56968,1502988,105951.233,102990.366,0,0
15-12 01:46:53,0.500,0,98.924,0,0,974276,4838872,56968,1502988,166.871,623.518,0,0
15-12 01:46:54,0,0.500,99.096,0,0,974276,4838872,56968,1502988,209.202,666.643,0,0
15-12 01:46:55,0.500,0,99.486,0,0,974276,4838872,56968,1502988,272.962,1155.841,0,3.999
15-12 01:46:56,0.750,0.250,99.224,0,0,974268,4838872,56976,1502988,172.954,623.834,0,59.984
15-12 01:46:57,0,0,99.007,0,0,974268,4838872,56976,1502988,167.012,632.047,0,20.001
