"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_stanford_fifo.csv 1",,,,"Date:","15 Dec 2025 13:47:51 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
15-12 13:47:51,,644552,6252172,28524,493436,,
15-12 13:47:52,0.250,0,98.494,0,0,644592,6251920,28656,493480,5494.683,8618.503,131.992,19.999
15-12 13:47:53,1.248,0.250,97.840,0,0,644584,6251920,28664,493480,6658.088,14078.926,0,35.941
15-12 13:47:54,0,0.501,98.922,0,0,644584,6251920,28664,493480,3166.515,3553.188,0,0
15-12 13:47:55,0.500,0.250,99.026,0,0,645592,6250912,28664,493480,173.045,643.168,0,0
15-12 13:47:56,0.500,0.250,98.991,0,0,645592,6250912,28664,493480,278.974,1166.893,0,0
15-12 13:47:57,0.250,0.250,98.758,0,0,645592,6250912,28664,493480,233.019,689.057,0,8.001
15-12 13:47:58,0.750,0,98.989,0,0,645592,6250912,28664,493480,172.980,634.928,0,0
15-12 13:47:59,3.250,0.500,95.498,0.250,0,663196,6233300,28672,493480,947.981,1731.965,0,43.999
15-12 13:48:00,32.202,12.481,42.686,0,0,671756,6181708,28672,535352,45264743.178,43134394.745,0,0
15-12 13:48:01,3.505,1.252,94.634,0,0,667848,6182688,28672,538180,2701000.574,2704170.056,0,0
15-12 13:48:02,8.740,0.499,89.648,0,0,680104,6170340,28672,538272,1062.785,1669.092,79.909,0
15-12 13:48:03,41.786,4.254,49.043,0,0,675696,6174424,28680,538272,2487.162,1019.886,8.007,4.003
15-12 13:48:04,38.729,4.747,54.970,0,0,721260,6114724,28696,552180,3121.288,2707.515,123.932,131.928
15-12 13:48:05,53.731,10.746,31.989,0,0,733504,6070284,28756,583208,2810.030,6310.821,0,3.999
15-12 13:48:06,53.819,5.757,36.297,0,0,771788,6032008,28756,583200,173.222,679.872,0,0
15-12 13:48:07,49.235,3.749,45.236,0,0,788540,6015124,28756,583208,712.783,10797.713,0,0
15-12 13:48:08,51.164,4.742,37.187,0,0,840452,5963212,28756,583208,398.330,2412.940,0,0
15-12 13:48:09,56.579,4.006,36.802,0,0,854048,5949604,28768,583208,2129.984,13582.029,0,172.241
15-12 13:48:10,50.353,5.983,40.382,0,0,927624,5876024,28768,583212,6357.492,1690.080,0,0
15-12 13:48:11,69.474,6.270,16.804,0,0,998636,5804972,28772,583248,19291.238,14642.239,0,0
15-12 13:48:12,45.248,3.500,49.247,0,0,1022064,5781536,28780,583248,4627.759,8555.555,0,8.000
15-12 13:48:13,75.446,3.498,17.488,0,0,1029536,5774060,28780,583252,570.593,2032.549,0,0
15-12 13:48:14,37.794,2.253,55.815,0.751,0,1037912,5762524,28792,586380,5585.464,125849.643,3011.485,152.176
15-12 13:48:15,2.749,0.500,95.980,0,0,1046728,5753704,28792,586384,12902.250,4846.967,0,3.999
15-12 13:48:16,31.256,2.751,64.013,0,0,1072432,5728000,28792,586384,2778.548,6186.221,0,36.007
15-12 13:48:17,1.242,0.248,97.343,0,0,1072428,5728000,28792,586388,1426.368,2549.782,0,0
15-12 13:48:18,0.755,0.252,98.891,0,0,1072428,5728000,28792,586388,1060.874,1828.850,0,0
15-12 13:48:19,1.000,0.250,97.764,0,0,1074188,5726236,28792,586392,1054.153,1817.263,0,12.002
15-12 13:48:20,1.498,0.250,97.616,0,0,1074176,5726236,28800,586392,2524.531,3457.250,0,59.918
15-12 13:48:21,1.250,0.750,97.972,0,0,1074176,5726236,28800,586392,927.734,1762.495,0,3.999
15-12 13:48:22,1.252,0.250,97.627,0,0,1074284,5725996,28800,586392,1182.536,1934.513,0,0
15-12 13:48:23,1.250,0.250,98.534,0,0,1074284,5725996,28800,586392,1280.444,3782.313,0,0
15-12 13:48:24,1.999,0.250,96.945,0,0,1074284,5725996,28800,586392,1543.122,1534.127,0,267.848
15-12 13:48:25,0.750,0.250,98.313,0,0,1074276,5725996,28808,586392,861.552,1533.983,0,24.015
15-12 13:48:26,1.000,0,98.499,0,0,1074276,5725996,28808,586392,1165.989,2418.978,0,0
15-12 13:48:27,0.748,0.249,98.521,0,0,1074528,5725744,28808,586392,1057.544,1812.790,0,7.981
15-12 13:48:28,1.252,0.501,97.127,0,0,1076544,5723728,28808,586392,1835.391,1926.510,0,0
15-12 13:48:29,5.253,0.750,93.806,0,0,1078792,5721460,28808,586412,4768.851,22057.189,0,0
15-12 13:48:30,1.750,0.500,96.981,0,0,1078792,5721460,28808,586412,1236.754,2008.601,0,27.994
15-12 13:48:31,2.001,0.750,96.801,0.250,0,1079280,5720956,28816,586420,1064.559,1781.935,0,60.031
15-12 13:48:32,4.001,0.500,95.012,0,0,1082776,5717456,28816,586424,2244.287,6425.821,0,0
15-12 13:48:33,0.749,0,98.403,0,0,1082776,5717456,28816,586424,1066.952,1833.200,0,7.992
15-12 13:48:34,1.501,0.250,97.324,0,0,1086808,5713424,28816,586424,2247.700,2863.166,0,0
15-12 13:48:35,1.500,1.000,82.765,15.003,0,1086792,5713424,28828,586428,10634.878,6881.215,0,89447.794
15-12 13:48:36,7.239,1.248,90.114,0,0,1094840,5701580,28840,590116,4077982.039,12607.989,0,131.801
15-12 13:48:37,8.510,2.002,88.605,0,0,1104016,5681924,28840,600316,10828490.634,25907.609,0,0
15-12 13:48:38,4.251,1.500,92.024,0,0,1115124,5662016,28840,608876,9150153.613,27323.058,0,0
15-12 13:48:39,11.738,2.248,85.161,0,0,1133668,5643396,28840,608948,12886.476,190675.887,0,3.996
15-12 13:48:40,2.253,1.251,95.107,0,0,1124100,5652836,28840,609072,1248.399,2159.419,0,124.139
15-12 13:48:41,19.498,6.499,70.243,0,0,1120508,5617744,28848,646860,40615741.901,113593.990,0,83.991
15-12 13:48:42,2.750,0.750,95.757,0,0,1125532,5605424,28848,653784,7269620.279,124149.885,0,0
15-12 13:48:43,0.750,0.750,97.718,0,0,1126288,5604668,28848,653784,238.921,732.757,0,0
15-12 13:48:44,0.750,0,98.787,0,0,1126288,5604668,28848,653784,345.128,1257.467,0,0
15-12 13:48:45,6.250,1.250,91.755,0.250,0,755812,5975484,28848,653728,1651.087,2126.112,24.001,144.008
15-12 13:48:46,8.245,1.499,89.951,0,0,757860,6019288,28860,609020,642.649,6417.496,0,131.928
15-12 13:48:47,3.002,0.250,95.555,0,0,763620,6059608,28860,564156,638.367,4429.550,0,0
15-12 13:48:48,0.750,0.500,98.989,0,0,763620,6059608,28860,564156,382.957,786.911,0,0
15-12 13:48:49,1.250,0.250,97.751,0,0,764320,6058908,28860,564156,123626.664,1930.026,0,0
15-12 13:48:50,0.500,0.500,98.493,0,0,764452,6058656,28860,564276,540.961,1940.861,0,4.000
15-12 13:48:51,0.750,0,98.511,0.250,0,764424,6058656,28872,564276,1066.114,1311.141,0,148.016
15-12 13:48:52,44.726,11.244,38.729,0,0,797244,5979896,28872,609064,5850.800,2885.422,0,0
15-12 13:48:53,38.631,4.237,51.591,0,0,847652,5929496,28872,609056,523.384,2511.244,0,0
15-12 13:48:54,52.637,3.760,40.605,0,0,870180,5906828,28872,609064,1123.918,3839.968,0,0
15-12 13:48:55,61.490,3.999,30.995,0,0,901304,5875580,28872,609184,1329.794,1996.690,0,0
