"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu04",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output mr_stanford_fifo_new04.csv 1",,,,"Date:","16 Dec 2025 16:49:27 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ"
16-12 16:49:27,,266960,6636036,32280,483956,,
16-12 16:49:28,0.500,0,99.218,0,0,266620,6636036,32416,484076,2863.085,10834.539,135.957,0
16-12 16:49:29,0.500,0,99.065,0,0,266620,6636036,32416,484076,2131.399,1931.267,0,4.003
16-12 16:49:30,0.250,0,99.408,0,0,266620,6636036,32416,484076,101.905,387.640,0,0
16-12 16:49:31,0.250,0,99.092,0,0,266620,6636036,32416,484076,60.056,338.316,0,0
16-12 16:49:32,0,0.250,99.478,0,0,266620,6636036,32416,484076,59.987,337.924,0,0
16-12 16:49:33,0.500,0,99.271,0,0,266608,6636036,32424,484076,120.026,392.084,0,112.024
16-12 16:49:34,0,0,99.250,0,0,266608,6636036,32424,484076,120.000,399.999,0,0
16-12 16:49:35,0.250,0.500,99.496,0,0,266608,6636036,32424,484076,221.990,487.978,0,0
16-12 16:49:36,0,0,99.260,0,0,266608,6636036,32424,484076,60.006,338.033,0,0
16-12 16:49:37,0,0,99.499,0,0,266608,6636036,32424,484076,119.999,391.998,0,0
16-12 16:49:38,0.500,0,99.232,0,0,266600,6636036,32432,484076,125.977,391.930,0,107.981
16-12 16:49:39,0.250,0.250,99.273,0,0,266600,6636036,32432,484076,120.028,400.094,0,4.001
16-12 16:49:40,0,0,99.490,0,0,266600,6636036,32432,484076,101.989,387.959,0,7.999
16-12 16:49:41,0,0.250,99.511,0,0,266600,6636036,32432,484076,60.007,346.038,0,0
16-12 16:49:42,0,0,99.407,0,0,266600,6636036,32432,484076,119.888,391.633,0,0
16-12 16:49:43,0.250,0.250,99.346,0,0,266600,6636036,32432,484076,134.130,392.380,0,0
16-12 16:49:44,0.250,0,99.485,0,0,266600,6636036,32440,484068,59.991,337.949,0,27.996
16-12 16:49:45,0.250,0.250,99.239,0,0,266592,6636036,32440,484076,59.993,435.952,0,4.000
16-12 16:49:46,0.250,0,99.020,0,0,266592,6636036,32440,484076,996.202,1251.254,0,0
16-12 16:49:47,0,0.250,99.502,0,0,266592,6636036,32440,484076,180.004,446.009,0,0
16-12 16:49:48,0.250,0.250,99.223,0,0,266592,6636036,32440,484076,179.952,391.895,0,0
16-12 16:49:49,0.250,0,99.257,0,0,266592,6636036,32440,484076,60.004,338.024,0,0
16-12 16:49:50,0.750,0,99.512,0.250,0,266584,6636036,32448,484076,60.007,338.042,0,16.002
16-12 16:49:51,0,0,99.506,0,0,266584,6636036,32448,484076,102.006,388.024,0,4.000
16-12 16:49:52,0,0,99.252,0,0,266584,6636036,32448,484076,304.005,460.008,0,0
16-12 16:49:53,0,0.250,99.498,0,0,266584,6636036,32448,484076,193.995,445.989,0,0
16-12 16:49:54,0.500,0.250,99.252,0,0,266552,6636036,32448,484108,120.003,392.009,0,0
16-12 16:49:55,0.250,0,99.250,0,0,266552,6636036,32448,484108,60.000,337.998,0,0
16-12 16:49:56,0,0.250,99.750,0,0,266544,6636036,32456,484108,60.000,337.999,0,20.000
16-12 16:49:57,0,0,99.253,0,0,266544,6636036,32456,484108,162.005,1068.030,0,4.000
16-12 16:49:58,0,0.249,99.048,0,0,266544,6636036,32456,484108,59.878,345.297,0,3.992
16-12 16:49:59,0.501,0.250,98.912,0,0,266544,6636036,32456,484108,120.197,400.655,0,36.059
16-12 16:50:00,1.000,0,98.772,0,0,266544,6636036,32456,484108,60.013,346.076,0,4.001
16-12 16:50:01,0,0,99.016,0,0,266536,6636036,32464,484108,60.009,346.055,0,28.004
16-12 16:50:02,0.500,0.750,99.004,0,0,267268,6635280,32464,484112,120.005,1054.045,0,0
16-12 16:50:03,0.500,0,99.251,0,0,267268,6635280,32464,484112,102.001,380.004,0,4.000
16-12 16:50:04,0,0.250,99.492,0,0,267268,6635280,32464,484112,119.991,399.969,0,0
16-12 16:50:05,0,0,99.252,0,0,267268,6635280,32464,484112,60.001,338.008,0,0
16-12 16:50:06,0.250,0,99.499,0,0,267260,6635280,32472,484112,60.000,337.997,0,32.000
16-12 16:50:07,0.250,0,99.247,0,0,267260,6635280,32472,484112,179.994,453.986,0,8.000
16-12 16:50:08,0.500,0.250,99.737,0,0,267260,6635280,32472,484112,221.971,441.942,0,0
16-12 16:50:09,0,0,99.269,0,0,267260,6635280,32472,484112,180.035,392.076,0,52.010
16-12 16:50:10,0.250,0,99.251,0,0,267256,6635280,32472,484116,60.001,346.004,0,0
16-12 16:50:11,0,0.250,99.235,0,0,267256,6635280,32472,484116,149.978,427.936,0,0
